Id,Name,Description,Filedataid
"1","溢流","超過目標生命力上限的過量治療會造成吸收治療效果。","463570"
"2","輕浮","敵人沒那麼在乎坦克產生的威脅值。","135994"
"3","火山","在戰鬥中敵人會週期性的在遠處玩家的腳下引爆噴發的烈火。","451169"
"4","壞死","所有敵人的近戰攻擊都會造成可堆疊的瘟疫腐疽，造成持續性傷害，並且降低受到的治療效果。","1029009"
"5","擁擠","額外的非首領敵人會出現在地城各處。","136054"
"6","狂怒","非首領敵人的生命力剩下30%時，造成的傷害提高100%，直到被擊敗為止。","132345"
"7","激勵","非首領敵人的死亡哀號會激勵附近的盟友，使其生命力上限和造成的傷害提高20%。","132333"
"8","膿血","非首領敵人死亡時會留下一灘膿血，對其盟友造成治療效果，對玩家造成傷害。","136124"
"9","暴君","首領的生命力提高40%，造成的傷害提高15%。","236401"
"10","強悍","非首領敵人生命力提高20%，造成的傷害提高30%。","463829"
"11","屍爆","當非首領敵人死亡時，身體會爆炸、在4秒內對所有玩家造成其最大生命力14% 的傷害。此效果會堆疊。","1035055"
"12","兇殘","當玩家的生命力低於90%時，會受到漸漸提高的持續性傷害，直到恢復超過90%生命力為止。","132090"
"13","火爆","戰鬥期間，敵人會週期性召喚爆炸球體，如果沒有迅速摧毀則會爆炸。","2175503"
"14","震地","所有玩家會週期性釋放衝擊波，對所有附近的盟友造成傷害並且中斷施法。","136025"
"15","堅毅","非首領敵人暫時獲得免疫控場效果的能力。","132739"
"16","感染","有部分非首領敵人受到古翰幼體感染。","2032223"
"117","奪魂","非首領敵人得到伯昂撒姆第的力量，會定期死而復生，向生者復仇。","2446016"
"119","誘惑","艾薩拉的特使會出現在地城各處。","237565"
"120","甦醒","遍布地城的方尖碑可以讓玩家進入奈奧羅薩，面對威力強大的恩若司僕人。如果不先解決這些僕人，就得在最後首領戰中與他們交手。","442737"
