Id,Name,MapId,Flags,CriteriaCount0,CriteriaCount1,CriteriaCount2
"2","玉蛟寺","960","2","2700","1500","900"
"56","風暴烈酒酒坊","961","2","2700","1260","720"
"57","落陽關","962","2","2700","1320","780"
"58","影潘僧院","959","2","3600","2100","1260"
"59","圍攻怒兆寺","1011","2","3000","1800","1050"
"60","魔古山宮","994","2","2700","1440","720"
"76","通靈學院","1007","2","3300","1980","1140"
"77","血色大廳","1001","2","2700","1320","780"
"78","血色修道院","1004","2","2700","1320","780"
"161","擎天峰","1209","2","3400","1700","1020"
"163","血槌熔渣礦場","1175","2","3600","2100","1320"
"164","奧齊頓","1182","2","3300","1920","1140"
"165","影月墓地","1176","2","3600","1800","1050"
"166","恐軌車站","1208","2","3000","1500","870"
"167","黑石塔上層","1358","2","5100","2580","1500"
"168","永茂林","1279","2","3600","1800","1050"
"169","鋼鐵碼頭","1195","2","3600","2040","1200"
"197","艾薩拉之眼","1456","6","2100","1680","1260"
"198","暗心灌木林","1466","6","1800","1440","1080"
"199","玄鴉堡","1501","6","2340","1872","1404"
"200","英靈殿","1477","6","2700","2160","1620"
"206","奈薩里奧巢穴","1458","6","1980","1584","1188"
"207","看守者鐵獄","1493","6","1980","1584","1188"
"208","靈魂之喉","1492","6","1440","1152","864"
"209","幽暗地道","1516","6","2700","2160","1620"
"210","眾星之廷","1571","6","1800","1440","1080"
"227","重返卡拉贊：下層","1651","6","2340","1872","1404"
"233","永夜聖殿","1677","6","2100","1680","1260"
"234","重返卡拉贊：上層","1651","2","2100","1680","1260"
"239","三傑議會之座","1753","6","2100","1680","1260"
"244","阿塔達薩","1763","4","1800","1440","1080"
"245","自由港","1754","4","1980","1584","1188"
"246","托達戈爾","1771","4","2160","1728","1296"
"247","晶喜鎮！","1594","4","2340","1872","1404"
"248","威奎斯特莊園","1862","4","2340","1872","1404"
"249","諸王之眠","1762","4","2520","2016","1512"
"250","瑟沙利斯神廟","1877","4","2160","1728","1296"
"251","幽腐深窟","1841","4","1980","1584","1188"
"252","風暴聖壇","1864","4","2520","2016","1512"
"353","波拉勒斯圍城戰","1822","4","2160","1728","1296"
"369","機械岡行動 - 廢料場","2097","4","2280","1824","1368"
"370","機械岡行動 - 工坊","2097","4","1920","1536","1152"
