Id,Name,UiTextureKitId,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationId,Flags,ArtifactCategoryId,UiModelSceneId,SpellVisualKitId
"1","丹鐸之怒","207","-11776","-382936","-2816","0","0","1","0","0"
"2","灰燼使者","207","-11776","16765504","4006400","70","0","1","28","82183"
"3","欺詐者雙刃","206","-2200833","16122111","8650889","577","0","1","23","82147"
"4","亞魯涅斯，尊者之杖","208","-1267719","6343151","8615067","62","0","1","26","82174"
"11","大地守護者之鱗","215","-44766","11010048","3276800","73","0","1","20","82029"
"12","墮落王子之刃","214","-3804673","9152481","1447762","251","0","1","22","82144"
"13","格哈尼爾，始祖之樹","217","-2031755","-5579161","-16291053","105","0","1","24","82149"
"15","遭譴者之顎","214","-3804673","-1494733","-12778752","250","0","1","22","82144"
"16","天啟","214","-3804673","-12517523","-16761586","252","0","1","22","82144"
"17","吞噬者之牙","216","-45544","-1278118","-6935508","261","0","1","21","82029"
"34","猛禽之爪，荒野神靈長矛","226","-2031755","-13053570","-16760525","255","0","1","46","82153"
"35","華爾拉亞戰劍","215","-44766","11010048","3276800","72","0","1","20","82029"
"36","斯托姆卡，破戰巨劍","215","-44766","11010048","3276800","71","0","1","20","82029"
"37","曼那瑞之顱","229","-4163342","-11204234","-16121829","266","2","1","32","82197"
"38","薩格拉斯權杖","229","-4163342","-7319653","-13500291","267","0","1","32","82197"
"39","烏薩萊許，逆風收割者","229","-4163342","-6665828","-11199626","265","0","1","32","82197"
"40","萊公之拳","225","-9057793","-11808266","-16711616","262","0","1","31","82193"
"41","末日錘","225","-9057793","-11806981","-13022058","263","2","1","31","82193"
"42","薩拉達爾，海潮權杖","225","-9057793","-16473972","-16753298","264","0","1","31","82193"
"43","弒君之刃","216","-45544","-2522525","-9889768","259","0","1","21","82029"
"44","驚懼雙刀","216","-45544","-1589760","0","260","0","1","21","82029"
"45","杜爾，那魯光杖","227","-8851726","-9699335","-16766881","257","0","1","29","82184"
"46","聖光之怒","227","-8851726","-10424321","-16739937","256","0","1","29","82184"
"47","薩拉塔斯，黑暗帝國之刃","241","-4163342","-7580513","-11986828","258","2","1","30","82190"
"48","白銀之手","207","-11776","16765504","4006400","65","0","1","28","82183"
"49","真理之盾","207","-11776","16765504","4006400","66","0","1","28","82183"
"50","蒼天之拳","228","-9044026","-12779585","-15226471","269","0","1","27","82181"
"51","雪崙，迷霧之杖","228","-9044026","-11733812","-16755897","270","0","1","27","82181"
"52","福山之杖，漫行者之伴","228","-9044026","-12452628","-16083317","268","0","1","27","82181"
"53","黯凜，艾洛岱巨杖","208","-1267719","6343151","8615067","64","0","1","26","82174"
"54","費羅米隆","208","-1267719","-1065376","-6281667","63","2","1","26","82174"
"55","薩斯朵拉，風行者之遺","226","-2031755","-526230","-12430833","254","0","1","46","82153"
"56","泰坦之擊","226","-2031755","-143103","0","253","0","1","46","82153"
"57","厄索克之爪","217","-2031755","-5579161","-16291053","104","0","1","24","82149"
"58","亞夏曼之牙","217","-2031755","-5579161","-16291053","103","0","1","24","82149"
"59","伊露恩之鐮","217","-2031755","-5579161","-16291053","102","0","1","24","82149"
"60","奧達奇戰刃","206","-2200833","16122111","8650889","581","0","1","23","82147"
"73","粼光釣竿","227","-1","-10976565","-16772353","0","0","2","0","0"
"74","橡木使者","207","-11776","16765504","4006400","70","0","1","0","0"
"80","測試神兵2","207","-11776","16765504","4006400","70","0","1","18","23596"
"81","測試神兵","207","-11776","16765504","4006400","65","0","1","0","0"
"82","測試神兵3","207","-11776","16765504","4006400","66","0","1","0","0"
"89","Owen Test Artifact","0","-16777216","-1732055","0","0","0","1","0","0"
