Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","Test Brawl","Test brawl description.","","0","2041"
"2","亂鬥：南海鎮大戰塔倫米爾","死亡決鬥","- 擊殺敵方玩家可得分
- 榮譽擊殺可提高階級
- 擊殺高階玩家得分較高","789","0"
"3","亂鬥：熱力魔古神廟","異能球","- 加速提高
- 移動速度提高
- 重生時間縮短","858","0"
"4","亂鬥：重力流逝","空中之王","- 重力會定期改變
- 旗幟持有者身體會變重
- 所有其他人身體會變輕","859","0"
"5","亂鬥：阿拉希暴風雪","冰雪之王","- 占據目標
- 視線不佳
- 地面結凍","847","0"
"6","亂鬥：深風峽谷籃球賽","籃球賽","- 礦坑可拾取球
- 將球帶往敵方基地
- 投籃或灌籃","860","0"
"7","亂鬥：號角之眼","咩咩之王","- 享受騎乘山羊的樂趣！
- 山羊有擊退效果
- 距離可強化擊退效果","862","0"
"8","亂鬥：座無虛席","15v15競技場","- 死亡決鬥
- 每隊15名玩家
- 最後還活著的隊伍勝利","866","0"
"9","亂鬥：戰歌大亂鬥","搶旗大戰","- 每一隊有好幾支旗幟
- 只需要奪取一支旗幟就算奪旗成功
- 拾取隨機的增益效果方塊","861","0"
"10","亂鬥：影潘決戰場","5v5競技場","- 5v5競技場
- 擊敗敵隊的魔古首領以獲得勝利
- 收集召喚寶箱以獲得增益","853","0"
"11","亂鬥：六人對戰","6v6戰場","- 每隊6名玩家
- 全新遊戲模式","879","0"
"12","亂鬥：六人對戰 - 吉爾尼斯之戰","6v6戰場","- 每隊6名玩家
- 全新遊戲模式","885","0"
"13","亂鬥：六人對戰 - 戰歌峽谷","6v6戰場","- 每隊6名玩家
- 全新遊戲模式","886","0"
"14","亂鬥：六人對戰 - 碎銀礦坑","6v6戰場","- 每隊6名玩家
- 全新遊戲模式","883","0"
"15","亂鬥：六人對戰 - 科特魔古神廟","6v6戰場","- 每隊6名玩家
- 全新遊戲模式","884","0"
"16","亂鬥：六人對戰 - 暴風之眼","6v6戰場","- 每隊6名玩家
- 全新遊戲模式","882","0"
"17","亂鬥：烹飪：不可能的任務","蒐集大賽","- 在農場四處蒐集食材，帶回來給主廚
- 搶先蒐集足夠食材的隊伍獲勝！
- 擊敗敵對陣營的砰砰跳兔妖，就能使牠改效忠友方","887","0"
"18","亂鬥：補給滿倉","死亡決鬥","- 死亡決鬥
- 每隊3名玩家 
- 每隊首兩次死亡的玩家會立即復活","905","0"
"19","騰湧海岸","收集艾澤萊晶岩","我們發現菲拉斯沿岸某座未知的島嶼上，有著大量的艾澤萊晶岩，現在那裡叫做騰湧海岸。","894","0"
"120","亂鬥：經典艾斯蘭","無盡史詩戰場","- 艾斯蘭的戰鬥永無終止之日！
- 透過擊殺敵對陣營首領，以及佔領活動來獲得獎勵
- 從生物身上取得文物碎片，然後繳回，為己方陣營獲取增益效果","1021","0"
"121","亂鬥：對抗電腦","佔領據點","- 占據目標
- 擊殺敵人
- 獲勝","0","1966"
"122","冬握湖","防禦或進攻冬握堡壘","- 以防禦方身分保護堡壘
- 以進攻方身分摧毀堡壘的最後一道城牆","1030","0"
"123","亂鬥：擁擠之島","10v10海嶼","我們需要更大的船…","0","2025"
"124","科爾拉克復仇之地","魔獸世界15週年紀念","","1033","0"
"125","深風峽谷","佔領目標","- 佔領並守住目標
- 獲得1,500點資源","1039","0"
