Id,Text,SortIndex,MinLevel,MaxLevel
"201","|cffffd100小提示：|r當你施展法術時可以藉由移動、跳躍或是按下<ESC>鍵取消。","2","20","250"
"221","|cffffd100小提示：|r按下M鍵可以打開地圖。","0","1","60"
"222","|cffffd100小提示：|r你可以按下<Ctrl>鍵並點擊一件物品來看看你穿上那件物品後的樣子。","4","20","250"
"223","|cffffd100小提示：|r名字是灰色的物品一般來說表示粗糙的品質，也通常可以把它賣給商人。","5","6","250"
"224","|cffffd100小提示：|r名字為白色的物品一般來說對玩家是有某種用處的，你可以將它拿到拍賣場去販售。","6","20","250"
"225","|cffffd100小提示：|r你可以使用遊戲中任何一個郵箱來郵寄物品給其他同一伺服器的玩家，或者是你自己的其他角色。","7","20","250"
"226","|cffffd100小提示：|r你可以按下<Shift>鍵並點擊某物品來放置一個物品連結於對話訊息中。","8","40","250"
"227","|cffffd100小提示：|r 按下<ESC>並使用快捷鍵設定介面，可以重新指定快捷列上各自對應的熱鍵。","11","40","250"
"229","|cffffd100小提示：|r如果你的目標在小地圖呈現灰色，表示它和你不在同個地方，位於洞穴或建築物內部。","12","0","0"
"230","|cffffd100小提示：|r你可以使用情感指令系統來表達許多有趣的動作，舉例來說你可以輸入/dance來跳舞！","17","40","250"
"231","|cffffd100小提示：|r 按下<ESC>可以在介面選項中調整你的遊戲設定。","20","20","250"
"234","|cffffd100小提示：|r小地圖旁出現郵件圖示表示你有新的郵件！去找一個郵箱來收取郵件。","21","10","250"
"235","|cffffd100小提示：|r你可以在介面選項中按<ESC>鍵為你的遊戲介面增加額外的快捷列。","22","20","250"
"236","|cffffd100小提示：|r如果你在搜括屍體的時候按住Shift鍵並以右鍵點擊拾取目標時，你就會自動撿取該屍體中所有的物品。","23","1","60"
"237","|cffffd100小提示：|r如果你覺得跟某人一起遊戲很有樂趣，把他們加到你的好友名單中吧！","27","20","250"
"240","|cffffd100小提示：|r如果你不想收到任何來自某位玩家的訊息，你可以對其使用/ignore(/忽略)。你也可以隨時變更忽略的狀態。","159","0","0"
"241","|cffffd100小提示：|r 你可以用功能鍵來選定自己的隊友作為目標。F1鍵可選定自己，F2鍵可選定第二個隊友，以此類推。","31","40","250"
"242","|cffffd100小提示：|r在一個隊伍中對其他人保持禮貌可以讓你持續受到邀請！","30","0","0"
"243","|cffffd100小提示：|r你可以點擊聲望介面中的陣營以獲取更多關於該陣營的資訊與選項。","32","0","0"
"244","|cffffd100小提示：|r頭像旁帶有銀龍標誌的怪物是較為稀少的怪物，牠們身上通常會有比平常還好的物品。","33","0","0"
"245","|cffffd100小提示：|r在觀看大地圖時使用滑鼠滾輪可放大顯示該處。","36","0","0"
"247","|cffffd100小提示：|r你可以在介面選項視窗中鎖定你的快捷列，這樣你就不會不小心移除法術。","39","0","0"
"248","|cffffd100小提示：|r你可以在不取消目前選定目標的狀態下，按下Alt鍵跟快捷鍵來對自己施展法術。","161","0","0"
"251","|cffffd100小提示：|r執行任務和探索地城是練功升級的最佳方式。","45","1","20"
"254","|cffffd100小提示：|r按下<Alt>+Z鍵可以打開或關閉遊戲介面以便你使用<Print Screen>鍵擷取遊戲畫面。","44","0","0"
"256","|cffffd100小提示：|r在大地圖點擊滑鼠右鍵可切換至大陸或世界地圖，點擊左鍵可放大為區域地圖。","40","1","20"
"258","|cffffd100小提示：|r如果你按下<Shift>鍵並在對話欄中點擊一個玩家的姓名，就可以獲得該玩家的額外資訊。","3","20","250"
"261","|cffffd100小提示：|r當任務給予者的頭上有著藍色問號時表示這個任務是可重複進行的。","48","0","0"
"263","|cffffd100小提示：|r你可以使用<Tab>鍵來選擇在你前方最接近的敵人。","13","1","60"
"281","|cffffd100小提示：|r按住<Shift>鍵並點擊商人販售的物品可以讓你選擇購買商品的數量。","50","0","0"
"282","|cffffd100小提示：|r 當你學會一項專業技能時，可以在你的法術書中的專業技能類分頁中找到使用該技能的按鈕。","10","1","250"
"321","|cffffd100小提示：|r如果你在各主城中找不到某個人時，試著點擊守衛詢問一下方向。","14","5","250"
"341","|cffffd100小提示：|r凡事不要太超過、太入迷。即使玩魔獸世界也一樣！","143","0","0"
"381","|cffffd100小提示：|r你可以按住<Shift>鍵點擊堆疊的物品來將它們分成更小的堆疊。","54","0","0"
