Id,Name,Unknown2,Unknown3,Unknown4
"6","利用傳送門從巫師聖所前往翠玉林","7262","67395","4"
"7","巫師聖所，翠玉林傳送門","7263","924","0"
"8","離開巫師聖所","7264","924","4"
"9","進入巫師聖所","7266","924","0"
"10","利用傳送門從東大地神殿前往奧丹姆","7267","37426","0"
"11","利用傳送門從東大地神殿前往海加爾山","7268","37427","0"
"12","利用傳送門從東大地神殿前往暮光高地","7269","37428","0"
"13","利用傳送門從東大地神殿前往瓦許伊爾","7270","57340","0"
"14","利用傳送門從東大地神殿前往托巴拉德","7271","924","0"
"15","利用傳送門從東大地神殿前往地深之源","7272","37429","0"
"16","奧丹姆","7273","0","0"
"17","海加爾山","7274","0","0"
"18","利用傳送門從諾達希爾前往暴風城","7275","924","0"
"19","暴風城，東大地神殿","7276","924","0"
"20","暮光高地","7277","924","0"
"21","瓦許伊爾","7278","924","0"
"22","東大地神殿，托巴拉德傳送門","7279","924","0"
"23","利用傳送門從巴拉丁營地前往暴風城","7280","924","0"
"24","地深之源","7281","924","0"
"25","利用傳送門從大地神殿前往暴風城","7282","924","0"
"26","利用傳送門從坡東村前往暴風城","7283","924","0"
"27","利用傳送門從巫師聖所前往水晶之歌森林","7284","76876","4"
"28","巫師聖所，水晶之歌森林傳送門","7285","924","0"
"29","利用傳送門從白銀領區前往暴風城","7286","924","0"
"30","利用傳送門從巫師聖所前往艾克索達","7287","924","4"
"31","巫師聖所，艾克索達傳送門","7288","924","0"
"32","利用傳送門從藍謎島前往達納蘇斯","7289","924","1"
"33","黑海岸，達納蘇斯傳送門","7290","924","0"
"36","利用傳送門從命運階梯前往暴風城","7293","924","0"
"37","利用傳送門從巫師聖所前往撒塔斯","7294","6289","4"
"38","撒塔斯，聖光露臺","7295","0","0"
"39","利用傳送門從聖光露臺前往奎爾達納斯之島","7296","0","0"
"40","聖光露臺，奎爾達納斯之島","7297","0","0"
"41","利用傳送門從聖光露臺前往暴風城","7298","924","0"
"42","利用傳送門從巫師聖所前往艾斯蘭","7299","67397","4"
"43","艾斯蘭，暴風之盾","7300","924","2"
"44","利用傳送門從暴風之盾前往達納蘇斯","7301","924","1"
"45","利用傳送門從暴風之盾前往鐵爐堡","7302","924","1"
"46","暴風之盾，鐵爐堡傳送門","7303","924","0"
"47","利用傳送門從暴風之盾前往暴風城","7304","924","0"
"48","利用傳送門從巫師聖所前往艾蘇納","7305","67396","4"
"49","巫師聖所，艾蘇納傳送門","7306","924","0"
"50","利用傳送門從崩裂之殿前往暴風城","7307","924","0"
"51","利用傳送門從巫師聖所前往波拉勒斯","7308","67398","4"
"52","巫師聖所，波拉勒斯傳送門","7309","924","0"
"53","利用傳送門從狼牙領區前往暴風城","7314","924","0"
"54","利用傳送門從七星廟前往暴風城","7315","924","0"
"55","利用傳送門從秘法大廳前往地獄火半島","7316","924","1"
"56","命運階梯，暴風城傳送門","7317","924","1"
"57","進入礦道地鐵","7318","924","0"
"58","離開至鐵爐堡","7319","924","0"
"59","搭乘地鐵","7320","924","0"
"60","搭乘地鐵","7321","924","0"
"61","利用傳送門從賢者聖所前往暴風城","7322","62085","0"
"62","利用傳送門從賢者聖所前往艾克索達","7323","62085","0"
"63","利用傳送門從賢者聖所前往鐵爐堡","7324","62085","0"
"64","在暴風城搭船前往波拉勒斯","7325","924","0"
"65","在波拉勒斯搭船前往暴風城","7326","924","0"
"66","在暴風城搭船前往驍勇要塞","7327","924","0"
"67","在驍勇要塞搭船前往暴風城","7343","924","0"
"68","在巴拉丁海灣搭船前往塞拉摩島","7328","924","0"
"69","在塞拉摩島搭船前往米奈希爾港","7329","924","0"
"70","在米奈希爾港搭船前往匕鞘海灣","7330","924","0"
"71","在匕鞘海灣搭船前往米奈希爾港","7331","924","0"
"72","在藏寶海灣搭船前往棘齒城","7332","0","0"
"73","在棘齒城搭船前往藏寶海灣","7333","0","0"
"74","在昂紐沛搭船前往默亞基港","7334","0","0"
"75","在默亞基港搭船前往昂紐沛","7335","0","0"
"76","在默亞基港搭船前往卡瑪廓","7336","0","0"
"77","在卡瑪廓搭船前往默亞基港","7337","0","0"
"78","進入巫師聖所","7338","924","1"
"79","進入礦道地鐵","7339","924","0"
"80","離開至暴風城","7340","924","0"
"81","波拉勒斯港","7344","924","0"
"82","和碼頭管理員交談前往波拉勒斯","7345","924","0"
"83","和碼頭管理員交談前往波拉勒斯","7346","924","0"
"84","在沃魯敦搭船前往波拉勒斯","7347","924","0"
"85","前往德拉諾的黑暗之門","7348","69532","0"
"86","前往暴風之盾的黑暗之門，艾斯蘭","7349","33093","2"
"87","前往影月谷的黑暗之門","7350","924","2"
"88","前往塔南突襲的黑暗之門","7351","33093","0"
"89","前往地獄火半島的黑暗之門","7352","0","0"
"90","前往詛咒之地的黑暗之門","7353","0","0"
"91","詛咒之地，黑暗之門","7348","0","0"
"92","前往外域的黑暗之門","7348","69535","0"
"93","利用傳送門從梵迪卡爾前往達拉然","7354","0","0"
"94","利用傳送門從梵迪卡爾前往達拉然","7355","0","0"
"95","利用傳送門從梵迪卡爾前往達拉然","7356","0","0"
"96","卡薩斯平臺，達拉然","7357","0","0"
"97","鐵爐堡入口","7358","924","1"
"98","Wizard's Sanctum, Portal to Shattrath [DNT TEMP]","7294","70119","1"
"99","利用傳送門從西大地神殿前往海加爾山","7386","37427","0"
"100","利用傳送門從諾達希爾前往奧格瑪","7387","923","0"
"101","探路者巢穴","7388","923","0"
"102","利用傳送門從西大地神殿前往地深之源","7389","37429","0"
"103","地深之源","7390","923","0"
"104","利用傳送門從大地神殿前往奧格瑪","7391","923","0"
"105","利用傳送門從西大地神殿前往暮光高地","7392","37428","0"
"106","暮光高地","7393","923","0"
"107","利用傳送門從龍喉港前往奧格瑪","7394","76948","0"
"108","西大地神殿","7395","923","0"
"109","利用傳送門從西大地神殿前往奧丹姆","7396","37426","0"
"110","利用傳送門從西大地神殿前往瓦許伊爾","7397","57341","0"
"111","瓦許伊爾","7398","923","0"
"112","利用傳送門從西大地神殿前往托巴拉德","7399","923","0"
"113","托巴拉德","7400","923","0"
"114","利用傳送門從地獄吼之握前往奧格瑪","7401","923","0"
"115","使用探路者巢穴的銀月城傳送門","7402","923","0"
