Id,Name,ResourceName,Verb,CursorName,EnumId
"1","開鎖","鎖上的物品","開鎖","PickLock","0"
"2","草藥學","藥草","採集","GatherHerbs","1"
"3","採礦","礦點","採礦","Mine","2"
"4","解除陷阱","陷阱","解除","","3"
"5","打開","未鎖上的物品","打開","","4"
"6","寶物 (DND)","寶物","","","5"
"7","石化精靈寶石 (DND)","石化精靈寶石","","","6"
"8","關閉","未鎖上的物品","關閉","","7"
"9","設置陷阱","陷阱","設置","","8"
"10","快速打開","未鎖上的物品","打開","","9"
"11","快速關閉","未鎖上的物品","關閉","","10"
"12","開始修補","未鎖上的物品","打開","","11"
"13","展現跪姿","未鎖上的物品","打開","","12"
"14","開始攻擊","未鎖上的物品","打開","","13"
"15","加茲瑞迪安 (DND)","加茲瑞迪安","","","14"
"16","爆炸","鎖上的物品","爆炸","","15"
"17","開啟PvP","未鎖上的物品","打開","","16"
"18","關閉PvP","未鎖上的物品","關閉","","17"
"19","釣魚","魚","魚","FishingCursor","18"
"20","銘文學","典籍","解讀","","19"
"21","打開載具","未鎖上的物品","打開","","20"
"22","考古學","碎片","調查","","21"
"23","PvP快速打開","未鎖上的物品","打開","","22"
"28","鋸木廠","木料","收割","HarvestTimber","23"
"29","剝皮","皮革","剝皮","skin","24"
"30","上古法力","法力收藏","抽取","Extract","25"
"31","戰情看板","戰情看板","查看","","26"
"32","草藥學","草藥","採集","GatherHerbs","27"
"33","草藥學","草藥","採集","GatherHerbs","28"
"34","草藥學","草藥","採集","GatherHerbs","29"
"35","草藥學","草藥","採集","GatherHerbs","30"
"36","草藥學","草藥","採集","GatherHerbs","31"
"37","草藥學","草藥","採集","GatherHerbs","32"
"38","草藥學","草藥","採集","GatherHerbs","33"
"39","草藥學","草藥","採集","GatherHerbs","34"
"40","採礦","礦點","採礦","Mine","35"
"41","採礦","礦點","採礦","Mine","36"
"42","採礦","礦點","採礦","Mine","37"
"43","採礦","礦點","採礦","Mine","38"
"44","採礦","礦點","採礦","Mine","39"
"45","採礦","礦點","採礦","Mine","40"
"46","採礦","礦點","採礦","Mine","41"
"47","採礦","礦點","採礦","Mine","42"
"48","剝皮","皮革","剝皮","skin","43"
"149","打開(開啟鎖上的物品欄物品)","未鎖上的物品","打開","","44"
"150","探索專家","搜尋食物","搜尋食物","ForagePlants","45"
"152","蜂王乳儲藏處","蜂王乳","採集","","46"
"153","草藥學","草藥","採集","GatherHerbs","47"
"155","採礦","礦點","採礦","Mine","48"
"157","誓盟：暗夜妖精","未鎖上的物品","打開","","49"
"158","誓盟：汎希爾","未鎖上的物品","打開","","50"
"159","誓盟：琪瑞安","未鎖上的物品","打開","","51"
"160","誓盟：死靈領主","未鎖上的物品","打開","","52"
"161","專業：工程學","","關閉","","53"
