ZoneName,Field_9_0_1_35167_0010,Field_9_0_1_35167_0011,Field_9_0_1_35167_0012,ChrClassesId,ZoneImageAtlas,SpellVisualKitId,Field_9_0_1_34615_004,SpellVisualKitId_Female,Field_9_0_1_34615_004_Female,Field_9_0_1_34821_007,GroundSpellVisualKitId,Field_9_0_1_34821_009,Field_9_0_1_35167_011,Field_9_0_1_35360_014
"北郡山谷","0","0","0","8","12427","0","0","0","0","0","0","0","0","0"
"北郡山谷","0","0","0","9","12427","0","0","0","0","0","0","0","0","0"
"幽影谷","0","0","0","3","12433","0","0","0","0","133508","0","0","0","0"
"紅雲台地","0","0","0","3","12436","0","0","0","0","133570","0","0","0","0"
"紅雲台地","0","0","0","7","12436","0","0","0","0","0","132530","0","0","0"
"安曼谷","0","0","0","1","12417","0","0","0","0","0","0","0","0","0"
"安曼谷","0","0","0","3","12417","131761","132614","0","0","133584","0","0","0","0"
"逐日者之島","0","0","0","5","12422","0","0","0","0","0","134410","0","0","0"
"逐日者之島","0","0","0","4","12422","0","133196","0","0","0","0","0","0","0"
"逐日者之島","0","0","0","8","12422","0","0","134112","0","0","0","0","0","0"
"逐日者之島","0","0","0","9","12422","0","0","0","0","0","0","0","0","0"
"安曼谷","0","0","0","2","12417","0","0","0","0","0","0","0","0","0"
"逐日者之島","0","0","0","2","12422","135104","135107","128833","132580","0","0","0","0","0"
"安曼谷","0","0","0","5","12417","0","0","0","0","0","0","0","0","0"
"安曼谷","0","0","0","7","12417","0","0","0","0","0","132521","0","0","0"
"回音群島","0","0","0","7","12437","0","0","0","0","0","132520","0","0","0"
"喪鐘鎮","0","0","0","4","12438","0","133196","0","0","0","0","0","0","0"
"幽影谷","0","0","0","1","12433","0","0","0","0","0","0","0","0","0"
"試煉谷","0","0","0","9","12434","0","0","0","0","0","0","0","0","0"
"試煉谷","0","0","0","3","12434","0","0","0","0","133516","0","0","0","0"
"安曼谷","0","0","0","8","12417","0","0","0","0","0","0","0","0","0"
"諾姆瑞根","0","0","0","4","12424","0","0","0","0","0","0","0","0","0"
"諾姆瑞根","0","0","0","8","12424","0","0","0","0","0","0","0","0","0"
"諾姆瑞根","0","0","0","9","12424","0","0","0","0","0","0","0","0","0"
"回音群島","0","0","0","5","12437","0","0","0","0","0","134410","0","0","0"
"安曼谷","0","0","0","10","12417","0","0","0","0","0","0","0","0","0"
"寒脊山谷","0","0","0","10","12423","0","0","0","0","0","0","0","0","0"
"北郡山谷","0","0","0","10","12427","0","0","0","0","0","0","0","0","0"
"紅雲台地","0","0","0","1","12436","0","0","0","0","0","0","0","0","0"
"寒脊山谷","0","0","0","2","12423","0","0","0","0","0","0","0","0","0"
"試煉谷","0","0","0","7","12434","0","0","0","0","0","132918","0","0","0"
"寒脊山谷","0","0","0","3","12423","131761","132614","0","0","133506","0","0","0","0"
"喪鐘鎮","0","0","0","8","12438","0","0","0","0","0","0","0","0","0"
"回音群島","0","0","0","3","12437","0","0","0","0","133572","0","0","0","0"
"喪鐘鎮","0","0","0","9","12438","0","0","0","0","0","0","0","0","0"
"幽影谷","0","0","0","4","12433","0","0","0","0","0","0","0","0","0"
"寒脊山谷","0","0","0","8","12423","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
