Id,Name,Description,CategoryId,InventoryIconFileId,SpellWeight,SpellCategory,MaxQty,MaxEarnablePerWeek,Quality,FactionId,ItemGroupSoundsId,ConvertToPlayerExperience,PlayerConditionId,Field_9_0_1_34972_013,Flags0,Flags1
"1","Currency Token Test Token 4","本物品之敘述在此","1","133792","1","0","0","0","1","0","0","0","0","0","71682","0"
"2","Currency Token Test Token 2","","1","132092","1","2","0","0","1","0","0","0","0","0","12289","0"
"4","Currency Token Test Token 5","","1","133790","4","3","0","0","1","0","0","0","0","0","0","0"
"22","Birmingham Test Item 3","","41","132373","0","0","0","0","1","0","0","0","0","0","0","0"
"42","正義徽章","","1","135884","0","0","0","0","1","0","0","0","0","0","0","0"
"61","達拉然珠寶匠徽章","蒂芬妮‧卡地亞位於達拉然的商店相當願意用獨特的珠寶設計圖來交換這些徽章。","21","134138","0","0","0","0","1","0","0","0","0","0","0","0"
"81","美食主義者的獎勵","拜訪主城與北裂境達拉然中的特殊烹飪供應商來購買特殊烹飪食譜及香料，甚至是一頂不錯的帽子!","1","134411","0","0","0","0","1","0","0","0","0","0","0","0"
"101","英雄紋章","","22","135947","0","0","0","0","1","0","0","0","0","0","0","0"
"102","勇氣紋章","","22","237547","0","0","0","0","1","0","0","0","0","0","0","0"
"103","競技場點數","","2","135884","0","0","0","0","1","0","0","0","0","0","0","0"
"104","榮譽點數DEPRECATED","如果你讀到這個，就是發現了BUG!回報它!","2","135884","0","0","0","0","1","0","0","0","0","0","0","0"
"121","奧特蘭克山谷榮譽獎章","","2","133308","0","0","0","0","1","0","0","0","0","0","0","0"
"122","阿拉希盆地榮譽獎章","","2","133282","0","0","0","0","1","0","0","0","0","0","0","0"
"123","暴風之眼榮譽獎章","","2","136032","0","0","0","0","1","0","0","0","0","0","0","0"
"124","遠祖灘頭榮譽獎章","","2","133276","0","0","0","0","1","0","0","0","0","0","0","0"
"125","戰歌峽谷榮譽獎章","","2","134420","0","0","0","0","1","0","0","0","0","0","0","0"
"126","冬握湖榮譽獎章","","2","133408","0","0","0","0","1","0","0","0","0","0","0","0"
"161","石之守衛者裂片","","2","134375","0","0","0","0","1","0","0","0","0","0","0","0"
"181","榮譽點數DEPRECATED2","如果你讀到這個，就是發現了BUG!回報它!","2","132484","0","0","0","0","1","0","0","0","0","0","0","0"
"201","風險硬幣","","2","133799","0","0","0","0","1","0","0","0","0","0","0","0"
"221","征服紋章","","22","135885","0","0","0","0","1","0","0","0","0","0","0","0"
"241","勇士徽印","為表彰你在十字軍大競技場的驍士行為。","21","236246","0","0","0","0","1","0","0","0","0","0","2","0"
"301","凱旋紋章","","22","135979","0","0","0","0","1","0","0","0","0","0","0","0"
"321","征服之島榮譽獎章","","2","133314","0","0","0","0","1","0","0","0","0","0","0","0"
"341","冰霜紋章","","22","334365","0","0","0","0","1","0","0","0","0","0","0","0"
"361","大宗師級珠寶匠徽章","為表彰你在珠寶設計領域的卓越技巧，可以用這些徽章來換取獨特的珠寶設計圖和品質極佳的奇美拉之瞳。","81","134501","0","0","0","0","1","0","0","0","0","0","0","0"
"384","矮人考古學碎片","","82","441144","1","5","200","0","1","0","0","0","0","0","34","0"
"385","食人妖考古學碎片","","82","441149","1","4","200","0","1","0","0","0","0","0","34","0"
"391","托巴拉德表揚徽章","為表彰你在托巴拉德的英勇行徑。","2","409548","0","0","0","0","1","0","0","0","0","0","2","0"
"393","化石考古學碎片","","82","442734","1","8","200","0","1","0","0","0","0","0","34","0"
"394","夜精靈考古學碎片","","82","441146","1","9","200","0","1","0","0","0","0","0","34","0"
"395","正義點數","用來購買次強的護甲與武器。","142","463446","0","0","1","0","1","0","0","0","0","0","8280","0"
"396","勇氣點數","用來購買較強的PvE護甲與武器。","142","463447","0","0","300099","100000","4","0","0","0","0","0","8264","0"
"397","獸人考古學碎片","","82","442738","1","10","200","0","1","0","0","0","0","0","34","0"
"398","德萊尼考古學碎片","","82","442731","1","11","200","0","1","0","0","0","0","0","34","0"
"399","維酷考古學碎片","","82","442742","1","12","200","0","1","0","0","0","0","0","34","0"
"400","奈幽考古學碎片","","82","442736","1","13","200","0","1","0","0","0","0","0","34","0"
"401","托維爾考古學碎片","","82","442739","1","14","200","0","1","0","0","0","0","0","34","0"
"402","鐵爪徽章","鐵爪家族的徽章是你最棒的烹飪獎勵，可在半丘市集裡與庫存大師兌換烹飪材料和其他的東西。","1","134912","0","0","0","0","1","0","0","0","0","0","0","0"
"416","世界之樹印記","由海加爾守護者所授予。用來購買進軍火源之界所需之補給品。","81","513195","0","0","0","0","1","0","0","0","0","0","1026","0"
"483","征服點數競技場變量","","89","463449","0","0","0","0","1","0","0","0","0","0","1484","0"
"484","征服點數積分戰場變量","","89","463449","0","0","0","0","1","0","0","0","0","0","1484","0"
"515","暗月獎品券","為表彰你在暗月馬戲團贏得遊戲或幫助他人的行為。","1","134481","0","0","0","0","1","0","0","0","0","0","2","0"
"614","黑暗微粒","從死亡之翼的能量中萃取而出，這種黑暗的能量可用來作為強大且神奇魔法的能量來源。","81","136192","0","0","0","0","1","0","0","0","0","0","1026","0"
"615","腐化死亡之翼的精華","從死亡之翼本身中萃取而出，這種黑暗的能量是用來作為最可怕咒語的能量來源。","81","132851","0","0","0","0","1","0","0","0","0","0","1026","0"
"676","熊貓人考古學碎片","","82","442742","1","39","200","0","1","0","0","0","0","0","34","0"
"677","魔古考古學碎片","","82","442742","1","40","200","0","1","0","0","0","0","0","34","0"
"692","征服點數隨機戰場變量","","89","463449","0","0","0","0","1","0","0","0","0","0","1484","0"
"697","長者的好運符咒","持有長者的好運符咒便有機會用一枚硬幣從魔古山寶庫、恐懼之心、豐泉台、憤怒之煞或沙利斯的劫掠兵團獲得額外獎勵。","133","237281","0","0","20","0","1","0","0","0","0","0","2114","0"
"698","禪師級珠寶匠徽章","為表彰你在珠寶設計領域的卓越技巧，可以用這些徽章來換取獨特的珠寶設計圖和品質極佳的蛟龍之瞳。","133","442739","0","0","0","0","1","0","0","0","0","0","0","0"
"738","次級好運符咒","持有次級好運符咒的人能獲得莫大的幸福，這些符咒最終會轉變成戰鑄徽印，讓持有人能在團隊戰鬥裡獲得額外獎勵。","133","237282","0","0","0","0","1","0","0","0","0","0","66","0"
"752","魔古的命運符文","持有魔古的命運符文便有機會用一枚符文從雷霆王座、納拉卡或烏達斯塔獲得額外獎勵。","133","646678","0","0","20","0","1","0","0","0","0","0","2","0"
"754","螳螂人考古學碎片","","82","839407","1","44","200","0","1","0","0","0","0","0","34","0"
"776","戰鑄徽印","持有戰鑄徽印便有機會用一枚徽印從圍攻奧格瑪、天尊試煉和歐朵斯的戰鬥獲得額外獎勵。","133","514015","0","0","20","0","1","0","0","0","0","0","2","0"
"777","永恆硬幣","彷彿時光重疊般，你感覺到有陰影般的指尖撫過你的手掌，那是這枚硬幣過往與將來的持有者的朦朧印象。在永恆之島上，可以用這些硬幣獲得強大而多樣的獎勵。","133","900319","0","0","0","0","1","0","0","0","0","0","66","0"
"789","血腥硬幣","在永恆之島的迷霧中，從你擊敗的敵人還熱氣騰騰的屍體上扯下來的。","133","900318","0","0","0","0","1","0","0","0","0","0","66","0"
"810","玄鐵碎片","從鋼鐵部落的入侵者身上取得的護甲及武器碎塊。","133","135241","0","0","0","0","1","0","0","0","0","0","66","0"
"821","德拉諾氏族考古學碎片","","82","970886","1","45","250","0","1","0","0","0","0","0","34","0"
"823","頂尖水晶","頂尖水晶是失落古文明遺留下來的遺產，裡面儲存了難以言喻的魔法能量。","137","1061300","0","0","0","0","2","0","0","0","0","0","8194","0"
"824","要塞資源","建造和擴展你要塞的資源。","137","1005027","0","0","10000","0","1","0","0","0","0","0","2","0"
"828","巨魔考古學碎片","","82","136086","1","47","250","0","1","0","0","0","0","0","34","0"
"829","阿拉卡考古學碎片","","82","1002596","1","46","250","0","1","0","0","0","0","0","34","0"
"830","不適用","","82","0","1","48","200","0","1","0","0","0","0","0","34","0"
"897","UNUSED","","137","132780","0","0","100","0","1","0","0","0","0","0","8194","0"
"910","德拉諾鍊金術奧秘","讓你從鍊金實驗室取得新的鍊金術配方。","137","136240","0","0","0","0","1","0","0","0","0","0","0","0"
"944","文物碎片","天槌巨魔把這些艾斯蘭失落文物的小碎片當成寶貝。","137","1061303","0","0","100000","0","1","0","0","0","0","0","8202","0"
"980","髒鐵幣","雖然看起來髒髒的，不過說不定相當有價值。","137","133792","0","0","2000000","0","3","0","0","0","0","0","8","0"
