Id,Description,MapId
"42","奪旗次數","489"
"44","還旗次數","489"
"61","佔領哨塔","30"
"63","佔領墓地","30"
"64","保衛哨塔","30"
"65","保衛墓地","30"
"82","次要目標","30"
"122","突襲基地","529"
"123","防禦基地","529"
"183","奪旗次數","566"
"215","城牆摧毀","571"
"216","建築摧毀","571"
"231","大門摧毀","607"
"232","石毀車摧毀","607"
"245","突襲基地","628"
"246","防禦基地","628"
"290","奪旗次數","726"
"291","還旗次數","726"
"370","突襲基地","761"
"371","防禦基地","761"
"391","突襲基地","968"
"392","防禦基地","968"
"393","奪旗次數","968"
"418","獲得異能球次數","998"
"419","勝利點數","998"
"422","奪旗次數","1010"
"423","還旗次數","1010"
"428","已控制的礦坑推車","727"
"457","佔領推車次數","1105"
"458","奪回推車次數","1105"
"459","突襲礦坑","1105"
"460","防禦礦坑","1105"
"501","得分","451"
"679","突襲基地","1681"
"680","防禦基地","1681"
"688","突襲基地","2177"
"690","防禦基地","2177"
"744","收集艾澤萊晶岩","1803"
"762","奪旗次數","1740"
"763","還旗次數","1740"
"923","收集食材","1691"
"926","突襲基地","2107"
"927","防禦基地","2107"
"928","奪旗次數","2106"
"929","還旗次數","2106"
"931","收集到的文物","1191"
"1001","基地突襲成功","2245"
"1002","基地防禦成功","2245"
"1003","佔領哨塔","2197"
"1004","次要目標","2197"
"1005","保衛墓地","2197"
"1006","保衛哨塔","2197"
"1007","佔領墓地","2197"
