Id,Name,Parent,UiOrder
"1","統計","-1","15"
"21","玩家對玩家","1","8"
"81","偉業","-1","12"
"92","角色","-1","1"
"95","玩家對玩家","-1","4"
"96","任務","-1","2"
"97","探索","-1","3"
"122","死亡","1","3"
"128","擊殺數","1","2"
"130","角色","1","1"
"131","社交","1","7"
"132","技能","1","5"
"133","任務","1","4"
"134","旅行","1","6"
"135","生物","128","1"
"136","榮譽擊殺","128","2"
"137","最後一擊","128","3"
"140","財富","130","1"
"145","消耗品","130","2"
"152","競技場積分賽","21","1"
"153","戰場","21","2"
"154","世界","21","3"
"155","世界事件","-1","8"
"156","冬幕節","155","9"
"158","萬鬼節","155","7"
"159","貴族花園","155","3"
"160","新年節慶","155","1"
"161","仲夏節","155","5"
"162","啤酒節","155","6"
"163","兒童週","155","4"
"165","競技場","95","16"
"168","地城與團隊","-1","5"
"169","專業技能","-1","6"
"170","烹飪","169","1"
"171","釣魚","169","2"
"172","專業技能","15234","6"
"173","專業技能","132","2"
"178","次要技能","132","1"
"187","愛就在身邊","155","2"
"201","聲望","-1","7"
"14777","東部王國","97","1"
"14778","卡林多","97","2"
"14779","外域","97","3"
"14780","北裂境","97","4"
"14801","奧特蘭克山谷","95","5"
"14802","阿拉希盆地","95","3"
"14803","暴風之眼","95","4"
"14804","戰歌峽谷","95","2"
"14805","燃燒的遠征","168","2"
"14806","巫妖王之怒地城","168","3"
"14807","地城與團隊","1","12"
"14808","艾澤拉斯","168","1"
"14821","艾澤拉斯","14807","1"
"14822","燃燒的遠征","14807","2"
"14823","巫妖王之怒","14807","3"
"14861","東部王國","96","1"
"14862","外域","96","3"
"14863","北裂境","96","4"
"14864","艾澤拉斯","201","1"
"14865","燃燒的遠征","201","2"
"14866","巫妖王之怒","201","3"
"14901","冬握湖","95","8"
"14922","巫妖王之怒團隊","168","4"
"14941","銀白聯賽","15301","1"
"14981","旅人豐年祭","155","8"
"15003","征服之島","95","7"
"15067","浩劫與重生地城","168","5"
"15068","浩劫與重生團隊","168","6"
"15069","浩劫與重生","97","5"
"15070","浩劫與重生","96","5"
"15071","考古學","169","3"
"15072","浩劫與重生","201","4"
"15073","吉爾尼斯之戰","95","9"
"15074","雙子峰","95","10"
"15075","托巴拉德","15301","2"
"15076","公會","-1","14"
"15077","任務","15076","2"
"15078","玩家對玩家","15076","3"
"15079","地城與團隊","15076","4"
"15080","專業技能","15089","1"
"15081","卡林多","96","2"
"15082","艾澤拉斯","15079","1"
"15083","浩劫與重生地城","15079","5"
"15084","燃燒的遠征","15079","2"
"15085","巫妖王之怒地城","15079","3"
"15086","巫妖王之怒團隊","15079","4"
"15087","浩劫與重生團隊","15079","6"
"15088","一般","15076","1"
"15089","聲望","15076","5"
"15090","戰場","15078","1"
"15091","競技場","15078","2"
"15092","積分戰場","95","15"
"15093","公會偉業","15076","6"
"15096","浩劫與重生","14807","4"
"15101","暗月馬戲團","155","10"
"15106","潘達利亞地城","168","7"
"15107","潘達利亞團隊","168","8"
"15110","潘達利亞","96","6"
"15113","潘達利亞","97","6"
"15114","潘達利亞","201","5"
"15117","寵物對戰","-1","9"
"15118","收集","15117","1"
"15119","對戰","15117","2"
"15120","等級","15117","3"
"15153","潘達利亞地城","15079","7"
"15154","潘達利亞團隊","15079","8"
"15162","碎銀礦坑","95","11"
"15163","科特魔古神廟","95","12"
"15164","潘達利亞之謎","14807","5"
"15176","傳承","1","11"
"15218","深風峽谷","95","14"
"15219","寵物對戰","1","9"
"15220","德拉諾","96","7"
"15222","試煉場","15301","4"
"15227","試煉場","1","10"
"15228","德拉諾地城","168","9"
"15231","德拉諾團隊","168","10"
"15232","德拉諾","201","6"
"15233","德拉諾之霸","14807","6"
"15234","傳承","-1","13"
"15235","德拉諾","97","7"
"15243","德拉諾地城","15079","9"
"15244","德拉諾團隊","15079","10"
"15246","收藏","-1","10"
"15247","玩具箱","15246","1"
"15248","坐騎","15246","2"
"15252","軍臨天下","96","8"
"15254","軍臨天下地城","168","11"
"15255","軍臨天下團隊","168","12"
"15257","軍臨天下","97","8"
"15258","軍臨天下","201","7"
"15259","外觀","15246","3"
"15262","軍臨天下地城","15079","11"
"15263","軍臨天下團隊","15079","12"
"15264","軍臨天下","14807","7"
"15266","榮譽","95","1"
"15268","促銷活動","81","7"
"15269","坐騎","81","1"
"15270","玩家對玩家","81","4"
"15271","團隊副本","81","3"
"15272","地城","81","2"
"15273","聲望","81","5"
"15274","活動","81","6"
"15277","地城","15234","4"
"15278","團隊副本","15234","5"
"15279","玩家對玩家","15234","3"
"15280","貨幣","15234","7"
"15282","鬥陣俱樂部","155","11"
"15283","世界","95","17"
"15284","決戰艾澤拉斯","96","9"
"15285","決戰地城","168","13"
"15286","決戰團隊","168","14"
"15292","騰湧海岸","95","13"
"15298","決戰艾澤拉斯","97","9"
"15299","決戰地城","15079","13"
"15300","決戰團隊","15079","14"
