Id,FeatureDescription,ParentId,FeatureIcon
"1","掌握新的惡魔獵人職業","2","1260827"
"2","在破碎群島奮戰升級到110級","2","1064187"
"4","參與上千種全新的任務！","5","236669"
"5","體驗至100級的史詩故事情節","5","1033987"
"6","擁有專屬於你的個人要塞","5","1033989"
"7","參與上千種全新的任務！","4","236669"
"8","一路戰鬥升到50級","4","236566"
"9","享受完整遊戲體驗","4","1064187"
"10","招募同盟種族","6","413576"
"11","在庫爾提拉斯和贊達拉奮戰升級到120級","6","1064187"
"12","角色直升110級","6","1033988"
"116","在暗影之境奮戰升級到60級","115","236567"
"117","加入誓盟掌握獨特力量","115","3726261"
"118","登上『譴罪之塔』托迦司","115","3257863"
