Id,DisplayName,Field_9_0_1_33978_001
"1","指定加速","0"
"3","TEST ONLY","1"
"5","指定精通","0"
"6","指定致命一擊","0"
"7","指定臨機應變","0"
"8","提高物品等級","0"
"9","ModifiedCraftingCategory.DisplayName","1"
"11","鬆弛的腰帶","0"
"12","主要屬性","1"
"13","荊棘傷害","1"
"14","傷害加成","1"
"15","指定套裝","0"
"16","測試","1"
"17","使用","1"
"25","其他","0"
"26","護甲強化","1"
"27","易傷弱點","1"
"28","吸收護盾","1"
"29","設定物品等級","0"
"35","艾雷希底座","0"
"36","在此顯示文字。","1"
"37","亡靜微電容器","0"
"38","強化束腰","0"
"39","巧匠的小包","0"
"40","流體動力加速器","0"
"41","奢華羽毛","0"
"42","暗影兔的腳掌","0"
"44","鍊金師的小包","0"
"18","提高物品等級","0"
"30","提高物品等級","0"
"31","提高物品等級","0"
"32","提高物品等級","0"
"33","提高物品等級","0"
"46","提高物品等級","0"
"47","提高物品等級","0"
"45","設定物品等級","0"
