Id,Description,ModifiedCraftingCategoryId,ItemBonusTreeId,Flags
"1","","3","2753","0"
"2","確保具有加速","1","2915","1"
"4","","3","2922","0"
"5","確保具有致命一擊","6","2927","1"
"6","確保具有靈機應變","7","2928","1"
"7","確保具有精通","5","2929","1"
"8","將物品等級設為117，並將需要等級設為55。","29","3203","0"
"9","將物品等級設為168，並將需要等級設為60。","46","3210","0"
"10","將物品等級設為180，並將需要等級設為60。","8","3210","0"
"11","將物品等級設為200。","8","3211","0"
"12","對野獸造成額外傷害","9","2934","0"
"13","對人形生物造成額外傷害","9","2935","0"
"14","對不死族造成額外傷害","9","2936","0"
"15","對變異怪造成額外傷害","9","2937","0"
"16","命中時有機率提高受到的冰霜傷害","27","2938","0"
"17","精煉藥劑的效果持續更久","44","2939","0"
"18","有機率暫時提高敏捷","12","2940","0"
"19","有機率暫時提高力量","12","2941","0"
"20","有機率暫時提高智力","12","2942","0"
"21","傷害以近戰方式攻擊你的敵人","13","2945","0"
"22","有機率造成冰霜傷害","14","2950","0"
"23","","15","2989","0"
"24","","15","2990","0"
"25","","15","2992","0"
"26","","15","2991","0"
"27","充分進食的效果持續更久","11","3000","0"
"28","","13","3003","0"
"29","","16","3024","0"
"30","對敵人造人火焰傷害","17","3070","0"
"32","將物品等級設為23，並將需要等級設為15。","18","3204","0"
"34","將物品等級設為33，並將需要等級設為25。","30","3205","0"
"36","將物品等級設為43，並將需要等級設為35。","31","3206","0"
"38","將物品等級設為56，並將需要等級設為45。","32","3207","0"
"39","將物品等級設為87，並將需要等級設為50。","33","3208","0"
"58","降低掉落傷害","41","3147","0"
"59","移動速度略微提高","42","3148","0"
"60","額外的護甲值","26","3151","0"
"61","提高游泳速度","40","3152","0"
"62","對敵人造人冰霜傷害","17","3153","0"
"63","週期性獲得吸收火焰傷害的護盾","28","3154","0"
"64","在競技場或戰場遭殺害後保留充分進食效果","38","3175","0"
"65","製作時有機會獲得額外技能點數","39","3176","0"
"66","增加一個插槽","35","3177","0"
"67","@spelldesc332950","11","169","0"
"68","完成世界任務提高主要屬性","37","3178","0"
"69","讓暗影之境的精鍊藥水效果延長1小時。","36","3181","0"
"70","將物品等級設為129，並將需要等級設為53。","29","3203","0"
"71","將物品等級設為165。","29","3211","0"
"72","將物品等級設為165，並將需要等級設為57。","29","3209","0"
"73","將物品等級設為165。","29","3210","0"
"74","將物品等級設為87，並將需要等級設為50。","45","3208","0"
"78","將物品等級設為23，並將需要等級設為15。","18","3204","0"
"77","將物品等級設為33，並將需要等級設為25。","30","3205","0"
"76","將物品等級設為43，並將需要等級設為35。","31","3206","0"
"75","將物品等級設為56，並將需要等級設為45。","32","3207","0"
