Id,DisplayName,AlternateVerb,Description,HordeDisplayName,OverrideSourceInfoDisplayName,CategoryId,SpellIconFileId,CanLink,ParentSkillLineId,ParentTierIndex,Flags,SpellBookSpellId
"43","劍","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"44","斧","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"45","弓","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"46","槍械","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"54","錘","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"55","雙手劍","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"95","防禦","","防禦技能可提高你閃躲、招架和格擋攻擊的機率。防禦越高，你就越難以被擊中，怪物也越難對你造成致命一擊。","","","6","136243","0","0","0","640","0"
"98","語言：通用語","","","","","10","136243","0","0","0","128","0"
"101","種族特長 - 矮人","","種族特長 - 矮人","","","9","136243","0","0","0","33938","0"
"109","語言：獸人語","","","","","10","136243","0","0","0","128","0"
"111","語言：矮人語","","","","","10","136243","0","0","0","128","0"
"113","語言：達納蘇斯語","","","","","10","136243","0","0","0","128","0"
"115","語言：牛頭人語","","","","","10","136243","0","0","0","128","0"
"118","雙武器","","雙武器","","","6","136243","0","0","0","146","0"
"124","種族特長 - 牛頭人","","種族特長 - 牛頭人","","","9","136243","0","0","0","33938","0"
"125","種族特長 - 獸人","","種族特長 - 獸人","","","9","136243","0","0","0","32914","0"
"126","種族特長 - 夜精靈","","種族特長 - 夜精靈","","","9","136243","0","0","0","33938","0"
"136","法杖","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"137","語言：薩拉斯語","","","","","10","136243","0","0","0","128","0"
"138","語言：龍語","","","","","10","136243","0","0","0","128","0"
"139","語言：惡魔語","","惡魔所用的邪惡語言。","","","10","236293","0","0","0","128","0"
"140","語言：泰坦語","","","","","10","136243","0","0","0","128","0"
"141","語言：古代語","","","","","10","136243","0","0","0","128","0"
"142","生存技能","","","","","9","136243","0","0","0","0","0"
"148","騎術：馬","","","","","9","136243","0","0","0","1170","0"
"149","騎術：狼","","","","","9","136243","0","0","0","1170","0"
"150","騎術：虎","","","","","9","136243","0","0","0","1170","0"
"152","騎術：羊","","","","","9","136243","0","0","0","1170","0"
"155","游泳","","","","","9","136243","0","0","0","0","0"
"160","雙手錘","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"162","徒手戰鬥","","此技能等級越高，你擊中目標的機率越高。","","","6","136243","0","0","0","128","0"
"164","鍛造","熔鑄","高級的鍛造技能使你可以學習高級的鍛造設計圖。你可以在訓練師那裡學習新的設計圖，也可以通過完成任務或殺死怪物獲得新的設計圖。","","","11","136241","1","0","0","4224","2018"
"165","製皮","皮雕","高級的製皮技能使你可以學習高級的製皮圖樣。你可以在訓練師那裡學習新的圖樣，也可以通過完成任務或殺死怪物獲得新的圖樣。","","","11","136247","1","0","0","4224","2108"
"171","鍊金術","灌注","高級的鍊金術技能使你可以學習高級的鍊金術配方。你可以在訓練師那裡學習新的配方，也可以通過完成任務或殺死怪物獲得新的配方。","","","11","136240","1","0","0","4224","2259"
"172","雙手斧","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"173","匕首","","武器技能越高，擊中敵人的機率就越高。","","","6","136243","0","0","0","128","0"
"182","草藥學","","高級的草藥學技能使你可以採集高級的草藥。如果你不能採集某種草藥，請先在較低等級的地區採集低等級草藥，以此提高你的草藥學技能。","","","11","136246","0","0","0","4224","2366"
"183","GENERIC (DND)","","一般技能。","","","12","136243","0","0","0","1170","0"
