Id,Description
"1","暗月馬戲團來了，就在田園般的艾爾文森林中。

快來看看希拉斯‧暗月和他的戲團，參與一些考驗智慧與膽量的遊戲，目睹來自艾澤拉斯各地的驚奇景象...以及更多新奇的事物在此等著你!"
"2","艾澤拉斯慶典!所有種族的主城每小時都會舉辦煙火表演秀，徹夜狂歡!"
"4","一場在荊棘谷海岸舉辦的釣魚大賽。看你能釣起多少條可口魚!

你會是最先釣起四十隻魚的釣魚大師，並且贏得大獎嗎?比賽開始之後的兩小時內可以釣到可口魚，可是你得動作快才能贏得勝利!"
"8","最早由矮人開始慶祝，如今啤酒節歡迎艾澤拉斯的所有種族!

去拜訪鐵爐堡外的聯盟營地或奧格瑪外的部落營地，一起同樂吧!"
"9","艾澤拉斯的主城中瀰漫著不同的氣氛。許多守衛與平民會在這段期間內與其愛慕的對象互贈禮物。"
"10","歡樂與慶祝的時間，獻給一年之中最炎熱的季節。"
"11","在仲夏的最後一天，日落之後大肆慶祝，接連好幾個小時的煙火大會。

想要參觀表演的話，請前往各大主城或藏寶海灣。"
"12","讓一個孤兒瞧瞧英雄的日常生活!去拜訪暴風城的孤兒監護員南丁格爾、奧格瑪的孤兒監護員巴特維爾，撒塔斯城的孤兒監護員瑪西、或達拉然孤兒監護員阿瑞雅並且讓一個孩子美夢成真。"
"13","冬天爺爺來拜訪鐵爐堡與奧格瑪了，還有燻木牧場的禮物。在艾澤拉斯各地，這都是個充滿歡樂的季節!"
"14","貴族花園的慶典已經來嘍。這是屬於所有種族的場合，年輕的英雄們在此初試啼聲，尋找被巧妙收藏的藏寶蛋。你找到了幾個呢?"
"15","萬鬼節是為了慶祝被遺忘者掙脫天譴軍團的束縛。

歡笑與惡作劇在各地上演，艾澤拉斯各地的旅店主人提供給每個人小糖果與惡作劇道具。"
"16","收穫節是紀念那些為了朋友與同伴犧牲生命的勇士。慶典在奧格瑪與鐵爐堡的郊外舉行，以紀念那些死去的英雄。"
"17","每年月光林地的德魯伊們都會舉辦一場歡慶他們擊敗一個古老魔物的祭典。在新年節慶期間內，艾澤拉斯的居民們可以趁此佳節來榮耀他們的長者，藉由歌頌他們的智慧，舉辦盛宴，當然還有...數不盡的煙火!"
"18","最早由矮人所開始，啤酒節如今是個世界性的啤酒節慶與歡樂時光。"
"21","狄米撒船長來到了藏寶海灣的哥布林城鎮，並且招募新的海盜成員。

去拜訪她或她在主城的招募員，你也可以展開自己的海盜人生!"
"22","奧特蘭克山谷的戰鬥轉趨激烈。願意持劍投身奧特蘭克戰鬥的人將會獲得更大的榮譽。"
"23","阿拉希盆地的戰鬥轉趨激烈。願意持劍投身阿拉希戰鬥的人將會獲得更大的榮譽。"
"24","暴風之眼的戰鬥轉趨激烈。願意持劍投身暴風之眼戰鬥的人將會獲得更大的榮譽。"
"25","戰歌峽谷的戰鬥轉趨激烈。願意持劍投身戰歌峽谷戰鬥的人將會獲得更大的榮譽。"
"26","暗月馬戲團來了，就在雷霆崖的山腳下。

快來看看希拉斯‧暗月和他的戲團，參與一些考驗智慧與膽量的遊戲，目睹來自艾澤拉斯各地的驚奇景象...以及更多新奇的事物在此等著你!"
"27","暗月馬戲團來了，就在撒塔斯城外。

快來看看希拉斯‧暗月和他的戲團，參與一些考驗智慧與膽量的遊戲，目睹來自艾澤拉斯各地的驚奇景象...以及更多新奇的事物在此等著你!"
"41","遠祖灘頭的戰鬥轉趨激烈。願意持劍投身遠祖灘頭戰鬥的人將會獲得更大的榮譽。"
"61","巫妖王之怒將於11月13日發行。

聯盟船隻將從暴風城與米奈希爾港出發。

部落飛艇將從奧格瑪和幽暗城外出發。

我們北裂境見..."
