Id,Directory,MapName,Field_9_0_1_33978_002,MapDescription0,MapDescription1,PvpShortDescription,PvpLongDescription,Corpse0,Corpse1,MapType,InstanceType,ExpansionId,AreaTableId,LoadingScreenId,TimeOfDayOverride,ParentMapId,CosmeticParentMapId,TimeOffset,MinimapIconScale,CorpseMapId,MaxPlayers,WindSettingsId,ZmpFileDataId,WdtFileDataId,Flags0,Flags1
"0","Azeroth","東部王國","Eastern Kingdoms","","","","","0","0","1","0","0","0","4","-1","-1","-1","0","1","-1","0","17","804940","775971","159399517","134479888"
"1","Kalimdor","卡林多","Kalimdor","","","","","0","0","1","0","0","0","3","-1","-1","-1","0","1","-1","0","17","804935","782779","159399517","134479888"
"13","test","Art Team Map","Art Team Map","","","","","0","0","2","0","0","3817","0","-1","-1","-1","0","1","-1","0","0","0","857697","1555","134480920"
"25","ScottTest","Scott Test","Scott Test","","","","","0","0","2","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","863335","1555","134479880"
"30","PVPZone01","奧特蘭克山谷","Alterac Valley","在奧特蘭克山脈深處的奧特蘭克山谷，是霜狼氏族的家園。矮人中的雷矛氏族在這裡建造了一座要塞，並試圖深入山谷尋找寶藏，還有關於他們起源的線索。

在這個大規模戰場之中，雙方都企圖瓦解敵人哨塔的防禦，並擊敗敵方將軍(范達爾‧雷矛或德雷克塔爾)。","在奧特蘭克山脈深處的奧特蘭克山谷，是霜狼氏族的家園。矮人中的雷矛氏族在這裡建造了一座要塞，並試圖深入山谷尋找寶藏，還有關於他們起源的線索。

在這個大規模戰場之中，雙方都企圖瓦解敵人哨塔的防禦，並擊敗敵方將軍(范達爾‧雷矛或德雷克塔爾)。","擊殺敵方首領","- 搶奪敵方哨塔和碉堡
- 擊殺敵方首領
- 將敵方援軍數降至0","0","0","1","3","0","0","104","-1","-1","-1","0","1","-1","0","0","0","790112","1553","135004168"
"33","Shadowfang","影牙城堡","Shadowfang Keep","","","","","-230.989","1571.57","1","1","0","0","204","-1","-1","-1","0","1","0","10","0","0","790796","1565","134479880"
"34","StormwindJail","暴風城監獄","Stormwind Stockade","","","","","-8762.379","848.0103","2","1","0","717","194","-1","-1","-1","0","1","0","10","0","0","791060","1553","134479880"
"35","StormwindPrison","<unused>StormwindPrison","<unused>StormwindPrison","","","","","-8762.477","848.0491","2","0","0","717","23","-1","-1","-1","0","1","0","0","0","0","870849","1555","134479880"
"36","DeadminesInstance","死亡礦坑","Deadmines","","","","","-11207.8","1681.15","1","1","0","0","142","-1","-1","-1","0","1","0","10","0","0","780605","1553","134479880"
"37","PVPZone02","艾薩拉盆地","Azshara Crater","摧毀聯盟!","抵禦部落的攻擊!","","","0","0","1","0","0","0","25","-1","-1","-1","0","1","-1","0","0","0","861092","1555","134479880"
"42","Collin","科林的考驗","Collin's Test","","","","","0","0","2","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","863984","1555","134479880"
"43","WailingCaverns","哀嚎洞穴","Wailing Caverns","","","","","-751.1312","-2209.24","2","1","0","718","143","-1","-1","-1","0","1","1","10","0","0","791429","1553","134479880"
"44","Monastery","<unused> Monastery","<unused> Monastery","","","","","2892.413","-811.2413","2","1","0","0","42","-1","-1","-1","0","1","0","10","0","0","865519","1555","134479880"
"47","RazorfenKraulInstance","剃刀沼澤","Razorfen Kraul","","","","","-4459.449","-1660.212","1","1","0","0","188","-1","-1","-1","0","1","1","10","0","0","790640","1553","134479880"
"48","Blackfathom","黑澗深淵","Blackfathom Deeps","","","","","4249.121","748.3871","2","1","0","719","196","-1","-1","-1","0","1","1","10","0","0","780169","1553","134479880"
"70","Uldaman","奧達曼","Uldaman","","","","","-6060.182","-2954.997","2","1","0","1337","144","-1","-1","-1","0","1","0","10","0","0","791372","1553","134479880"
"90","GnomeragonInstance","諾姆瑞根","Gnomeregan","","","","","-5162.662","931.5988","2","1","0","721","193","-1","-1","-1","0","1","0","10","0","0","782773","1553","134479880"
"109","SunkenTemple","沉沒的神廟","Sunken Temple","","","","","-10291.7","-3987.63","2","1","0","1477","191","-1","-1","-1","0","1","0","10","0","0","791166","1553","134479880"
"129","RazorfenDowns","剃刀高地","Razorfen Downs","","","","","-4662.883","-2535.872","1","1","0","0","145","-1","-1","-1","0","1","1","10","0","0","790517","1553","134479880"
"169","EmeraldDream","翡翠夢境","Emerald Dream","","","","","0","0","1","2","0","0","0","-1","-1","-1","0","1","-1","40","0","0","780817","1553","134479880"
"189","MonasteryInstances","Scarlet Monastery of Old","Scarlet Monastery of Old","","","","","2892.235","-811.2637","1","1","0","0","190","-1","-1","-1","0","1","0","10","0","0","788662","1553","134479880"
"209","TanarisInstance","祖爾法拉克","Zul'Farrak","","","","","-6790.577","-2891.278","1","1","0","0","146","-1","-1","-1","0","1","1","10","0","0","791169","1553","134479880"
"229","BlackRockSpire","黑石塔下層","Lower Blackrock Spire","","","","","-7522.527","-1233.042","2","1","0","1583","189","-1","-1","-1","0","1","0","10","0","0","780175","1537","134479880"
"230","BlackrockDepths","黑石深淵","Blackrock Depths","","","","","-7178.095","-928.6395","2","1","0","1584","103","-1","-1","-1","0","1","0","5","0","0","780172","1553","134479880"
"249","OnyxiaLairInstance","奧妮克希亞的巢穴","Onyxia's Lair","","","","","-4753.313","-3752.421","2","2","0","2159","61","-1","-1","-1","0","1","1","40","0","0","789922","34305","134479880"
"269","CavernsOfTime","開啟黑暗之門","Opening of the Dark Portal","","","","","-8750.827","-4193.513","1","1","1","0","212","-1","-1","-1","0","1","1","5","0","0","829736","1553","134479880"
"289","SchoolofNecromancy","Scholomance OLD","Scholomance OLD","","","","","1274.781","-2552.564","1","1","0","0","102","-1","-1","-1","0","1","0","5","0","0","790713","1553","134479880"
"309","Zul'gurub","古祖爾格拉布","Ancient Zul'Gurub","","","","","-11916.06","-1224.577","1","1","0","1977","161","-1","-1","-1","0","1","0","20","0","0","791432","525841","134479880"
"329","Stratholme","斯坦索姆","Stratholme","","","","","3392.317","-3378.483","1","1","0","0","101","-1","-1","-1","0","1","0","5","0","0","791063","1553","134479880"
"349","Mauradon","瑪拉頓","Maraudon","","","","","-1432.697","2924.978","2","1","0","2100","81","-1","-1","-1","0","1","1","10","0","0","788656","1553","134479880"
"369","DeeprunTram","礦道地鐵","Deeprun Tram","","","","","-8349.224","517.348","2","0","0","2257","205","-1","-1","-1","0","1","0","0","0","0","780788","268437009","134480384"
"389","OrgrimmarInstance","怒焰裂谷","Ragefire Chasm","","","","","1816.756","-4423.372","2","1","0","2437","195","-1","-1","-1","0","1","1","10","0","0","789981","1553","134479880"
"409","MoltenCore","熔火之心","Molten Core","","","","","-7510.565","-1036.698","2","2","0","2717","192","-1","-1","-1","0","1","0","40","0","0","788659","1553","134479880"
"429","DireMaul","厄運之槌","Dire Maul","","","","","-3908.03","1130","2","1","0","2557","82","-1","-1","-1","0","1","1","5","0","0","780814","1537","134479880"
"449","AlliancePVPBarracks","聯盟PVP兵營","Alliance PVP Barracks","","","","","0","0","2","0","0","2918","181","-1","-1","-1","0","1","-1","0","0","0","775968","1553","134479880"
"450","HordePVPBarracks","部落PVP兵營","Horde PVP Barracks","","","","","0","0","2","0","0","2917","182","-1","-1","-1","0","1","-1","0","0","0","782776","1553","134479880"
"451","development","開發之地","Development Land","","","","","0","0","1","0","3","0","21","-1","-1","-1","0","1","-1","0","0","0","857684","134219359","134479880"
"469","BlackwingLair","黑翼之巢","Blackwing Lair","","","","","-7663.413","-1218.667","1","2","0","2677","141","-1","-1","-1","0","1","0","40","0","0","780178","1553","134479880"
"489","PVPZone03","經典戰歌峽谷","Classic Warsong Gulch","在位於梣谷森林和貧瘠之地交界處的戰歌峽谷中，聯盟和部落之間的戰爭一直在激烈地進行著。

在這個10人對10人的搶旗型戰場，首先奪得3面旗幟的那方就是勝利者。

為了幫助自己的盟友取得勝利，艾澤拉斯的每一個種族都加入這片戰場，用自己的劍和魔法與敵人展開廝殺。","在位於梣谷森林和貧瘠之地交界處的戰歌峽谷中，聯盟和部落之間的戰爭一直在激烈地進行著。

在這個10人對10人的搶旗型戰場，首先奪得3面旗幟的那方就是勝利者。

為了幫助自己的盟友取得勝利，艾澤拉斯的每一個種族都加入這片戰場，用自己的劍和魔法與敵人展開廝殺。","奪取敵方旗幟","- 保護我方旗幟
- 搶奪敵方旗幟
- 搶旗較快的團隊獲勝","0","0","1","3","0","3277","122","-1","-1","-1","0","1","-1","0","0","0","790291","1553","135004160"
"509","AhnQiraj","安其拉廢墟","Ruins of Ahn'Qiraj","","","","","-8114.464","1526.366","1","2","0","3429","184","-1","-1","-1","0","1","1","20","0","0","775637","1553","134479880"
"529","PVPZone04","經典阿拉希盆地","Classic Arathi Basin","阿拉希盆地是艾澤拉斯大陸上人類和被遺忘者之間的主要戰場之一。

阿拉希盆地是一個15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制獸欄、鐵匠鋪、礦坑、伐木場與農場。

「污染者」精銳部隊的目標是切斷人類和他們位於南方的矮人同盟之間的聯絡。

而阿拉索聯軍則是想要為暴風城奪回更多的失地。","阿拉希盆地是艾澤拉斯大陸上人類和被遺忘者之間的主要戰場之一。

阿拉希盆地是一個15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制獸欄、鐵匠鋪、礦坑、伐木場與農場。

「污染者」精銳部隊的目標是切斷人類和他們位於南方的矮人同盟之間的聯絡。

而阿拉索聯軍則是想要為暴風城奪回更多的失地。","占領目標","- 占領並守住目標
- 獲得1,500點資源","0","0","1","3","0","3358","183","-1","-1","-1","0","1.25","-1","0","0","0","790377","1553","135004160"
