Id,Name,Pos0,Pos1,Pos2,MapOffset0,MapOffset1,FlightMapOffset0,FlightMapOffset1,ContinentId,ConditionId,CharacterBitNumber,Flags,UiTextureKitId,MinimapAtlasMemberId,Facing,SpecialIconConditionId,VisibilityConditionId,MountCreatureId0,MountCreatureId1
"1","北郡修道院","-8888.98","-0.54","94.39","0","0","0","0","0","0","0","0","0","4689","0","0","0","308","0"
"2","暴風城，艾爾文森林","-8841.06","489.656","109.607","0.00998004","0.0101744","0","0","0","0","2","1","0","4689","0","0","0","0","541"
"3","工程師島","16391.81","16341.21","69.44","0","0","0","0","0","0","0","0","0","4689","0","0","0","308","0"
"4","哨兵嶺，西部荒野","-10551.9","1034.39","56.9543","0","0","0","0","0","0","4","1","0","4689","0","0","0","0","541"
"5","湖畔鎮，赤脊山","-9429.1","-2231.4","68.65","0","0","0","0","0","20068","5","1","0","4689","0","0","0","0","541"
"6","鐵爐堡，丹莫洛","-4821.78","-1155.44","502.21","0","0","0","0","0","0","6","1","0","4689","0","0","0","0","541"
"7","米奈希爾港，濕地","-3787.81","-777.696","1.5582","-0.002","0.002","0","0","0","0","7","1","0","4689","0","0","0","0","541"
"8","塞爾薩瑪，洛克莫丹","-5421.91","-2930.01","347.25","0","0","0","0","0","0","8","1","0","4689","0","0","0","0","541"
"9","藏寶海灣，荊棘谷","-14271.8","299.87","31.09","0","0","0","0","0","0","0","0","0","4689","0","0","0","0","541"
"10","瑟伯切爾，銀松森林","478.86","1536.59","131.32","0","0","0","0","0","0","10","2","0","4689","0","0","0","3574","0"
"11","幽暗城，提里斯法林地","1568.62","267.97","-43.1","0","0","0","0","0","62731","11","10","0","4689","0","0","0","3574","0"
"12","夜色鎮，暮色森林","-10515.5","-1261.65","41.34","0","0","0","0","0","0","12","1","0","4689","0","0","0","0","541"
"13","塔倫米爾，希爾斯布萊德","-17.7066","-874.203","59.0056","0","0.003","0","0","0","0","13","2","0","4689","0","0","0","3574","0"
"14","南海鎮，希爾斯布萊德","-711.48","-515.48","26.11","0","0","0","0","0","5793","14","0","0","4689","0","0","0","0","541"
