Id,ClientPrefix,ClientFileString,Name,NameFemale,NameLowercase,NameFemaleLowercase,Flags,MaleDisplayId,FemaleDisplayId,HighResMaleDisplayId,HighResFemaleDisplayId,CreateScreenFileDataId,SelectScreenFileDataId,MaleCustomizeOffset0,MaleCustomizeOffset1,MaleCustomizeOffset2,FemaleCustomizeOffset0,FemaleCustomizeOffset1,FemaleCustomizeOffset2,LowResScreenFileDataId,AlteredFormStartVisualKitId0,AlteredFormStartVisualKitId1,AlteredFormStartVisualKitId2,AlteredFormFinishVisualKitId0,AlteredFormFinishVisualKitId1,AlteredFormFinishVisualKitId2,HeritageArmorAchievementId,StartingLevel,UiDisplayOrder,FemaleSkeletonFileDataId,MaleSkeletonFileDataId,HelmVisFallbackRaceId,FactionId,CinematicSequenceId,ResSicknessSpellId,SplashSoundId,BaseLanguage,CreatureType,Alliance,RaceRelated,UnalteredVisualRaceId,CharComponentTextureLayoutId,CharComponentTexLayoutHiResId,DefaultClassId,NeutralRaceId,MaleModelFallbackRaceId,MaleModelFallbackSex,FemaleModelFallbackRaceId,FemaleModelFallbackSex,MaleTextureFallbackRaceId,MaleTextureFallbackSex,FemaleTextureFallbackRaceId,FemaleTextureFallbackSex
"6499","Hu","Human","人類","人類","人類","人類","6484","6491","6476","6490","6479","6464","6471","9.046783E-42","1.401298E-45","8.817839E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","131948","651555","0","0","0","47268","47268","47268","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"6443","Or","Orc","獸人","獸人","獸人","獸人","6308","6435","6300","6434","6423","6288","6415","8.800154E-42","2.802597E-45","8.816404E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","132003","651558","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"6404","Dw","Dwarf","矮人","矮人","矮人","矮人","6132","6396","6124","6395","6384","6112","6376","8.553526E-42","4.203895E-45","8.816404E-39","9.809089E-45","2.102929E-41","1.527415E-42","623712","131940","651555","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"6348","Ni","NightElf","夜精靈","夜精靈","夜精靈","夜精靈","5956","6340","5948","6342","6435","5936","6427","8.306897E-42","5.605194E-45","8.816393E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","131993","651555","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"6307","Sc","Scourge","不死族","不死族","不死族","不死族","5780","6299","5772","6304","6277","5760","6269","8.060269E-42","7.006492E-45","8.816404E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","132035","651558","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"6272","Ta","Tauren","牛頭人","牛頭人","牛頭人","牛頭人","5604","6264","5596","6266","6252","5584","6244","7.81364E-42","8.407791E-45","8.816395E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","132046","651558","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"6197","Gn","Gnome","地精","地精","地精","地精","5428","6189","5420","6188","6177","5408","6169","7.567012E-42","9.809089E-45","8.816404E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","430171","651555","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115"
"6150","Tr","Troll","食人妖","食人妖","食人妖","食人妖","5252","6142","5244","6150","6120","5232","6112","7.320383E-42","1.121039E-44","8.816407E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","429097","651558","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116"
"6125","Go","Goblin","哥布林","哥布林","哥布林","哥布林","5076","6117","5068","6122","6095","5056","6087","7.073755E-42","1.261169E-44","8.816572E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","319097","651558","0","0","0","0","0","0","0","1","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100"
"6114","Be","BloodElf","血精靈","血精靈","血精靈","血精靈","4900","6106","4892","6108","5379","4880","5371","6.827126E-42","1.401298E-44","8.816404E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","131921","651558","0","0","0","0","0","0","0","1","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74"
"6059","Dr","Draenei","德萊尼","德萊尼","德萊尼","德萊尼","4724","6051","4716","6053","6039","4704","6031","6.580498E-42","1.541428E-44","8.816407E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","131934","651555","0","0","0","0","0","0","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93"
"4552","Fo","FelOrc","魔獄獸人","魔獄獸人","魔獄獸人","魔獄獸人","4548","4544","4540","4536","4532","4528","4524","6.333869E-42","1.681558E-44","3.67349E-40","9.809089E-45","2.102929E-41","1.535823E-42","0","0","0","0","0","0","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4376","Na","Naga_","納迦","納迦","納迦","納迦","4372","4368","4364","4360","4356","4352","4348","6.087241E-42","1.821688E-44","1.401298E-45","9.809089E-45","2.102929E-41","1.535823E-42","0","0","0","0","0","0","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
