Id,Description,Title,Reward,InstanceId,Faction,Supercedes,Category,MinimumCriteria,Points,Flags,UiOrder,IconFileId,RewardItemId,CriteriaTree,SharesCriteria,CovenantId
"6","達到10級。","10級","","-1","-1","0","92","0","10","2097156","1","236562","0","2050","0","0"
"7","達到20級。","20級","","-1","-1","6","92","0","10","2097156","2","236563","0","2683","0","0"
"8","達到30級。","30級","","-1","-1","7","92","0","10","2097156","3","236564","0","1289","0","0"
"9","達到40級。","40級","","-1","-1","8","92","0","10","2097156","4","236565","0","942","0","0"
"10","在《暗影之境》資料片上線前達到50級。","50級(傳承)","","-1","-1","0","15446","0","0","2103300","1","236566","0","0","0","0"
"11","在《暗影之境》資料片上線前達到60級。","60級(傳承)","","-1","-1","10","15446","0","0","2103300","2","236567","0","0","0","0"
"12","在《暗影之境》資料片上線前達到70級。","70級(傳承)","","-1","-1","11","15446","0","0","2103300","3","236568","0","0","0","0"
"13","在《暗影之境》資料片上線前達到80級。","80級(懷舊)","","-1","-1","12","15446","0","0","2103300","4","236569","0","0","0","0"
"15","收集15個不同的寵物。","一群寵物","","-1","-1","1017","15118","0","10","131072","3","132599","0","22152","0","0"
"16","徒手戰鬥技能提升至400點。","誰點了砂鍋大的拳頭?","","-1","-1","0","15446","0","0","2048","24","132356","0","6318","0","0"
"31","連續五天，每天完成一個每日任務。","簡單的重複任務","","-1","-1","0","96","0","10","0","25","236680","0","2807","0","0"
"32","完成2000個任務。","2000個任務完成","","-1","-1","508","96","0","10","0","8","236670","0","2810","0","0"
"33","完成下列的北風凍原故事情節。","凍原一點都不冷","","-1","1","0","14863","0","10","0","1","236728","0","1741","0","0"
"34","完成下列的凜風峽灣故事情節。","我玩遍了峽灣","","-1","1","0","14863","0","10","0","3","236787","0","5287","0","0"
"35","完成下列的龍骨荒野故事情節。","龍骨荒野的魅力","","-1","1","0","14863","0","10","0","5","236749","0","1745","0","0"
"36","完成下列的祖爾德拉克故事情節。","祖爾德拉克帝國","","-1","-1","0","14863","0","10","0","9","236862","0","1881","0","0"
"37","完成下列的灰白之丘故事情節。","灰白之丘是我家後花園","","-1","1","0","14863","0","10","0","7","236772","0","5284","0","0"
"38","完成下列的風暴群山故事情節。","風暴群山之顛","","-1","-1","0","14863","0","10","0","11","236838","0","1884","0","0"
"39","完成下列的休拉薩盆地故事情節。","深入盆地","","-1","-1","0","14863","0","10","0","10","236823","0","1887","0","0"
"40","完成下列的寒冰皇冠故事情節。","寒冰皇冠:最終目標","","-1","-1","0","14863","0","10","0","12","236799","0","3375","0","0"
"41","完成下列的北裂境任務成就。","北裂境博學大師","","-1","-1","0","14863","0","10","131072","21","236812","0","5756","0","0"
"42","探索東部王國所有區域。","東部王國探險家","","-1","-1","0","97","0","25","131072","1","236759","0","2402","0","0"
"43","探索卡林多所有區域。","卡林多探險家","","-1","-1","0","97","0","25","131072","2","236807","0","3317","0","0"
"44","探索外域所有區域。","外域探險家","","-1","-1","0","97","0","25","131072","3","236813","0","3340","0","0"
"45","探索北裂境所有區域。","北裂境探險家","獎勵：探險者外袍","-1","-1","0","97","0","25","131072","4","236812","0","12064","0","0"
