Id,InfoName,Type,Modifiers,Profession
"1","團體","0","0","0"
"21","職業","0","0","0"
"41","PvP","0","0","0"
"62","團隊","0","0","0"
"81","地城","0","0","0"
"82","世界事件","0","0","0"
"83","傳說","0","0","0"
"84","護送","0","0","0"
"85","英雄","0","0","0"
"88","團隊(10)","0","0","0"
"89","團隊(25)","0","0","0"
"98","事件","0","0","0"
"102","帳號","0","0","0"
"104","支線任務","0","0","0"
"107","神兵武器","0","0","0"
"109","世界任務","2","0","0"
"110","史詩世界任務","2","12","0"
"111","精英世界任務","2","2","0"
"112","史詩精英世界任務","2","78","0"
"113","PvP世界任務","3","0","0"
"114","急救世界任務","1","0","129"
"115","戰寵世界任務","4","0","0"
"116","鍛造世界任務","1","0","164"
"117","製皮世界任務","1","0","165"
"118","鍊金術世界任務","1","0","171"
"119","草藥學世界任務","1","0","182"
"120","採礦世界任務","1","0","186"
"121","裁縫世界任務","1","0","197"
"122","工程學世界任務","1","0","202"
"123","附魔世界任務","1","0","333"
"124","剝皮世界任務","1","0","393"
"125","珠寶設計世界任務","1","0","755"
"126","銘文學世界任務","1","0","773"
"128","特使任務","5","16","0"
"129","考古學世界任務","1","0","794"
"130","釣魚世界任務","1","0","356"
"131","烹飪世界任務","1","0","185"
"135","稀有世界任務","2","1","0"
"136","稀有精英世界任務","2","11","0"
"137","地城世界任務","6","11","0"
"139","軍團入侵世界任務","7","40","0"
"140","積分獎勵","3","16","0"
"141","團隊世界任務","8","10","0"
"142","軍團入侵精英世界任務","7","10","0"
"143","軍團之殞貢獻","9","16","0"
"144","軍團之殞世界任務","2","78","0"
"145","軍團之殞地城世界任務","6","75","0"
"146","燃燒軍團入侵世界任務包裹","11","0","0"
"147","戰爭前線 - 貧瘠之地","0","0","0"
"148","偷竊","0","0","0"
"151","麥格尼世界任務 - 艾澤萊晶岩","2","0","0"
"152","Tortollan World Quest - 8.0","2","0","0"
"153","戰爭前線貢獻","9","16","0"
"254","島嶼任務","0","0","0"
"255","戰爭模式玩家對玩家","0","0","0"
"256","PvP征服","10","16","0"
"259","陣營衝突戰世界任務","12","104","0"
"260","陣營衝突戰精英世界任務","12","74","0"
"261","島嶼每週任務","13","144","0"
"263","公開任務","0","16","0"
"264","威脅的目標","5","16","0"
"265","隱藏任務","5","16","0"
"266","戰鬥盟友任務","0","0","0"
"267","專業技能","0","0","0"
"268","威脅包裹","14","16","0"
"270","威脅特使任務","14","16","0"
"271","使命任務","15","0","0"
"272","VenthyrPartyQuest","2","128","0"
"273","淵喉靈魂生成追蹤器","5","16","0"
