Id,ContainerName,ContainerDescription,MinAmount,MaxAmount,ContainerIconId,ContainerQuality,OnLootSpellVisualKitId,CurrencyTypeId
"12","小型艾澤萊晶岩破片","賦予艾澤拉斯之心%d點神兵之力。","1","49","2065629","2","101693","1553"
"13","小型艾澤萊晶岩碎片","賦予艾澤拉斯之心%d點神兵之力。","50","99","2065623","2","101693","1553"
"14","小型艾澤萊晶岩裂片","賦予艾澤拉斯之心%d點神兵之力。","100","149","2065624","2","101693","1553"
"15","小型艾澤萊晶岩簇","賦予艾澤拉斯之心%d點神兵之力。","150","199","2065622","2","101693","1553"
"16","發光的艾澤萊晶岩水晶","賦予艾澤拉斯之心%d點神兵之力。","200","299","2065586","3","101692","1553"
"17","發光的艾澤萊晶岩","賦予艾澤拉斯之心%d點神兵之力。","300","399","2065611","3","101692","1553"
"18","發光的艾澤萊晶岩簇","賦予艾澤拉斯之心%d點神兵之力。","400","499","2065610","3","101692","1553"
"19","耀眼的艾澤萊晶岩碎片","賦予艾澤拉斯之心%d點神兵之力。","500","749","2065617","4","101486","1553"
"20","耀眼的艾澤萊晶岩核心","賦予艾澤拉斯之心%d點神兵之力。","750","999","2065616","4","101486","1553"
"21","耀眼的艾澤萊晶岩矩陣","賦予艾澤拉斯之心%d點神兵之力。","1000","1999","2065619","4","101486","1553"
"31","發響的艾澤萊晶岩之心","賦予艾澤拉斯之心%d點神兵之力。","2000","30000000","2065618","4","101486","1553"
"132","第七軍團表揚","獎勵%d點第七軍團聲望。","1","199","2065569","2","0","1599"
"133","艾澤拉斯的勇士表揚","獎勵%d點艾澤拉斯勇士聲望。","1","299","2065570","2","0","1579"
"134","榮勛軍團表揚","獎勵%d點榮勛軍團聲望。","1","199","2065571","2","0","1600"
"135","燼火會表揚","獎勵%d點燼火會聲望。","1","199","2065572","2","0","1592"
"136","普勞德摩爾海軍府表揚","獎勵%d點普勞德摩爾海軍府聲望。","1","199","2065573","2","0","1593"
"137","風暴守望表揚","獎勵%d點風暴守望聲望。","1","199","2065574","2","0","1594"
"138","托爾托追尋者表揚","獎勵%d點托爾托追尋者聲望。","1","299","2065576","2","0","1598"
"139","贊達拉帝國表揚","獎勵%d點贊達拉帝國聲望。","1","199","2065579","2","0","1597"
"140","塔蘭姬的遠征隊表揚","獎勵%d點塔蘭姬的遠征隊聲望。","1","199","2065575","2","0","1595"
"141","沃魯敦人表揚","獎勵%d點沃魯敦人聲望。","1","199","2065577","2","0","1596"
"142","第七軍團表揚","獎勵%d點第七軍團聲望。","200","1000000","2065569","3","0","1599"
"143","艾澤拉斯的勇士表揚","獎勵%d點艾澤拉斯勇士聲望。","300","1000000","2065570","3","0","1579"
"144","榮勛軍團表揚","獎勵%d點榮勛軍團聲望。","200","1000000","2065571","3","0","1600"
"145","燼火會表揚","獎勵%d點燼火會聲望。","200","1000000","2065572","3","0","1592"
"146","燼火會表揚","獎勵%d點燼火會聲望。","200","1000000","2065572","3","0","1592"
"147","普勞德摩爾海軍府表揚","獎勵%d點普勞德摩爾海軍府聲望。","200","1000000","2065573","3","0","1593"
"148","風暴守望表揚","獎勵%d點風暴守望聲望。","200","1000000","2065574","3","0","1594"
"149","托爾托追尋者表揚","獎勵%d點托爾托追尋者聲望。","300","1000000","2065576","3","0","1598"
"150","贊達拉帝國表揚","獎勵%d點贊達拉帝國聲望。","200","1000000","2065579","3","0","1597"
"151","塔蘭姬的遠征隊表揚","獎勵%d點塔蘭姬的遠征隊聲望。","200","1000000","2065575","3","0","1595"
"152","沃魯敦人表揚","獎勵%d點沃魯敦人聲望。","200","1000000","2065577","3","0","1596"
