Id,Name,Description,MinLevel,MaxLevel,TypeId,Subtype,Faction,IconTextureFileId,RewardsBgTextureFileId,PopupBgTextureFileId,ExpansionLevel,MapId,DifficultyId,MinGear,GroupId,OrderIndex,RequiredPlayerConditionId,TargetLevel,TargetLevelMin,TargetLevelMax,RandomId,ScenarioId,FinalEncounterId,CountTank,CountHealer,CountDamage,MinCountTank,MinCountHealer,MinCountDamage,BonusReputationAmount,MentorItemLevel,MentorCharLevel,Flags0,Flags1
"1","哀嚎洞穴","","17","60","1","1","-1","136364","0","340702","0","43","1","0","1","0","0","0","17","27","258","0","481","1","1","3","1","1","3","0","0","0","323","16"
"2","通靈學院","","38","60","1","1","-1","136355","0","340686","0","1007","1","0","1","0","0","0","40","50","258","0","684","1","1","3","1","1","3","0","0","0","323","16"
"4","怒焰裂谷","","15","60","1","1","-1","136350","0","340682","0","389","1","0","1","0","0","0","15","25","258","0","697","1","1","3","1","1","3","0","0","0","323","16"
"6","死亡礦坑","","15","60","1","1","-1","136332","0","337488","0","36","1","0","1","0","0","0","15","25","258","0","93","1","1","3","1","1","3","0","0","0","323","16"
"8","影牙城堡","","17","60","1","1","-1","136357","0","340687","0","33","1","0","1","0","0","0","18","28","258","0","100","1","1","3","1","1","3","0","0","0","323","16"
"10","黑澗深淵","","20","60","1","1","-1","136325","0","340655","0","48","1","0","1","0","0","0","22","32","258","0","444","1","1","3","1","1","3","0","0","0","323","16"
"12","暴風城監獄","","20","60","1","1","-1","136358","0","340688","0","34","1","0","1","0","0","0","22","32","258","0","464","1","1","3","1","1","3","0","0","0","323","16"
"14","諾姆瑞根","","24","60","1","1","-1","136336","0","340665","0","90","1","0","1","0","0","0","26","36","258","0","422","1","1","3","1","1","3","0","0","0","323","16"
"16","剃刀沼澤","","30","60","1","1","-1","136353","0","340684","0","47","1","0","1","0","0","0","32","42","258","0","901","1","1","3","1","1","3","0","0","0","323","16"
"20","剃刀高地","","35","60","1","1","-1","136352","0","340683","0","129","1","0","1","0","0","0","37","47","258","0","1141","1","1","3","1","1","3","0","0","0","323","16"
"22","奧達曼","","40","60","1","1","-1","136363","0","340697","0","70","1","0","1","0","0","0","42","52","258","0","473","1","1","3","1","1","3","0","0","0","323","16"
