Id,SourceText,ItemId,Flags,SourceTypeEnum
"1","|cFFFFD200掉落：|r世界掉落","1973","0","0"
"4","|cFFFFD200黑市拍賣場|r","32566","0","2"
"5","|cFFFFD200黑市拍賣場|r","33223","0","2"
"7","|cFFFFD200黑市拍賣場|r","38578","0","2"
"9","|cFFFFD200節慶：|r愛就在身邊|n|cFFFFD200商人：|r可愛商品商人|n|cFFFFD200區域：|r各大主城|n|cFFFFD200花費：|r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n","34480","0","6"
"12","|cFFFFD200促銷活動|r","67097","0","7"
"16","|cFFFFD200商人：|r苔克斯‧電捲|n|cFFFFD200區域：|r艾薩拉|n|cFFFFD200花費：|r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","68806","0","2"
"17","|cFFFFD200商人：|r埃拉‧暗影風暴|n|cFFFFD200區域：|r熔岩前線|n|cFFFFD200花費：|r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","70161","0","2"
"18","|cFFFFD200世界事件：|r萬鬼節|n|cFFFFD200商人：|r洽布 / 桃樂西|n|cFFFFD200區域：|r提里斯法林地 / 暴風城|n|cFFFFD200花費：|r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n","70722","0","6"
"19","|cFFFFD200促銷活動|r","72161","0","7"
"20","|cFFFFD200掉落：|r潘達利亞","72231","2","0"
"21","|cFFFFD200掉落：|r『銳眼』尤里克|n|cFFFFD200區域：|r恆春谷","86568","0","0"
"22","|cFFFFD200掉落：|r『偷魂手』康|n|cFFFFD200區域：|r恆春谷","86571","0","0"
"23","|cFFFFD200掉落：|r哈瓦克|n|cFFFFD200區域：|r崑萊峰","72221","2","0"
"24","|cFFFFD200掉落：|r烏果烈|n|cFFFFD200區域：|r恆春谷","86575","0","0"
"25","|cFFFFD200掉落：|r思基席克|n|cFFFFD200區域：|r崑萊峰","72225","2","0"
"29","|cFFFFD200任務：|r伊露恩的祝福|n|cFFFFD200區域：|r月光林地","21540","0","1"
"30","","33079","2","7"
"33","|cFFFFD200專業技能：|r考古學","64651","0","3"
"34","|cFFFFD200商人：|r歐拉特‧酒膽、洛克‧銳頦|n|cFFFFD200區域：|r風暴群山|n|cFFFFD200花費：|r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t","43499","0","2"
"99","|cFFFFD200掉落：|r泰洛克|n|cFFFFD200區域：|r泰洛卡森林","32782","0","0"
"100","|cFFFFD200黑市拍賣場|r","34499","0","2"
"101","|cFFFFD200掉落：|r北裂境 - 世界掉落","37254","0","0"
"102","|cFFFFD200促銷活動|r","38301","0","7"
"103","|cFFFFD200成就：|r硬幣達人|n|cFFFFD200類別：|r釣魚","44430","0","5"
"109","|cFFFFD200世界事件：|r冬幕節","46709","0","6"
"110","|cFFFFD200促銷活動|r","49703","0","7"
"111","|cFFFFD200促銷活動|r","49704","2","7"
"112","|cFFFFD200任務：|r穆拉丁的悲歌|n|cFFFFD200區域：|r冰冠城塞","52201","0","1"
"114","|cFFFFD200任務：|r希瓦娜斯的復仇|n|cFFFFD200區域：|r冰冠城塞","52253","0","1"
"116","|cFFFFD200專業技能：|r考古學","64358","0","3"
"117","|cFFFFD200專業技能：|r考古學","64361","0","3"
"118","|cFFFFD200專業技能：|r考古學","64373","0","3"
"119","|cFFFFD200專業技能：|r考古學","64383","0","3"
"120","|cFFFFD200專業技能：|r考古學","64456","0","3"
"121","|cFFFFD200專業技能：|r考古學","64481","0","3"
"122","|cFFFFD200專業技能：|r考古學","64482","0","3"
"123","|cFFFFD200專業技能：|r考古學","64646","0","3"
"124","|cFFFFD200專業技能：|r考古學","64881","0","3"
"125","|cFFFFD200商人：|r梅羅什|n|cFFFFD200區域：|r費伍德森林|n|cFFFFD200陣營：|r木喉要塞 - 崇拜|n|cFFFFD200花費：|r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","66888","4","2"
"126","|cFFFFD200世界事件：|r兒童週|n|cFFFFD200商人：|r布雷克斯‧爆竹 / 奎苟‧擺頂|n|cFFFFD200區域：|r奧格瑪 / 暴風城|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","69895","0","2"
"127","|cFFFFD200促銷活動|r","72159","0","7"
