Id,Name
"1","Test Transmog Set Group"
"6","酷炫套裝"
"7","上層樓套裝"
"8","暗夜堡"
"9","第12季"
"10","雷霆王座"
"11","德拉諾第1季"
"12","德拉諾第2季"
"13","德拉諾第3季"
"14","第15季"
"15","第14季"
"16","第13季"
"17","第11季"
"18","第10季"
"19","第9季"
"20","第8季"
"21","第7季"
"22","第6季"
"23","第5季"
"24","第4季"
"25","第3季"
"26","第2季"
"27","第1季"
"28","地獄火堡壘"
"29","黑石鑄造場"
"30","圍攻奧格瑪"
"31","恐懼之心"
"32","巨龍之魂"
"33","火源之界"
"34","暮光堡壘"
"35","冰冠城塞"
"36","十字軍試煉"
"37","奧杜亞"
"38","納克薩瑪斯"
"39","黑暗神廟"
"40","毒蛇神殿洞穴"
"41","戈魯爾之巢"
"42","納克薩瑪斯"
"43","黑翼之巢"
"44","熔火之心"
"45","軍團第1季和第2季"
"46","軍團第3季和第4季"
"47","勇氣試煉"
"48","燃燒軍團入侵"
"49","軍團職業大廳"
"50","太陽之井高地"
"51","安其拉神廟"
"52","暗月馬戲團"
"53","暗月馬戲團"
"54","地獄火堡壘"
"56","薩格拉斯之墓"
"57","軍團第5、6、7季"
"58","潘達利亞地城挑戰"
"59","時間守護者"
"60","時尚大考驗"
"61","德拉諾陣營"
"62","安托洛斯，燃燒王座"
"63","三傑議會之座"
"64","同盟種族"
"165","風暴聖壇"
"166","奧迪爾"
"167","戰役賽季1和阿拉希戰爭前線"
"168","戰役賽季2和黑海岸戰爭前線"
"169","達薩亞洛之戰"
"171","鬥陣俱樂部"
"172","永恆宮殿"
"173","戰役賽季3"
"174","促銷：招兵買馬召集令"
"175","戰役賽季4"
"176","奈奧羅薩，甦醒之城"
"177","建構中"
"178","暗夜妖精"
"179","罪殞城"
"180","死靈領主"
"181","死靈領主"
