Id,Name,SourceText,Description,MountTypeId,Flags,SourceTypeEnum,SourceSpellId,PlayerConditionId,MountFlyRideHeight,UiModelSceneId,MountSpecialRiderAnimKitId,MountSpecialSpellVisualKitId
"6","棕馬","|cFFFFD200商人：|r安格爾‧斯塔特弗斯|n|cFFFFD200區域：|r濕地|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","基於出眾的耐性和精力，深得暴風城守衛的喜好。","230","0","2","458","0","0","4","0","0"
"7","灰狼","|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","這個品種的狼喜歡在迷霧中打獵，依靠灰白的毛皮做為偽裝，逼近沒警覺心的獵物。","230","64","2","459","0","0","4","0","0"
"8","白馬","|cFFFFD200經典|r","這種強而有力、絕不屈服的白馬，經常出現在遠古人類部族的神話中。","230","64","2","468","0","0","4","0","0"
"9","黑馬","|cFFFFD200商人：|r凱蒂‧斯托克斯|n|cFFFFD200區域：|r暴風城|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","由於一身黑色毛皮，謠傳軍情七處最喜歡用牠來執行夜間任務。","230","0","2","470","0","0","4","0","0"
"11","雜色馬","|cFFFFD200商人：|r凱蒂‧斯托克斯|n|cFFFFD200區域：|r暴風城|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","牠的性情冷靜，很適合用來讓年輕孩童練習上馬馳騁。","230","0","2","472","0","0","4","0","0"
"12","黑狼","|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","咆哮聲在數里之外都還清晰可聞。","230","64","2","578","0","0","4","0","0"
"13","赤狼","|cFFFFD200經典|r","在艾澤拉斯上瀕臨絕種；只有經歷豐富的人曾經見過它們的行蹤。","230","64","2","579","0","0","4","0","0"
"14","森林狼","|cFFFFD200商人：|r奧古納羅‧狼行者|n|cFFFFD200區域：|r奧格瑪|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","咆哮聲在數里之外都還清晰可聞。","230","0","2","580","0","0","4","0","0"
"15","冬狼","|cFFFFD200經典|r","在先祖熊怪的傳說中，披著雪白外皮的狼擁有艾澤拉斯的雙月祝福。","230","64","2","581","0","0","4","0","0"
"17","惡魔戰馬","|cFFFFD200職業：|r術士","受到惡魔的力量腐化，並被迫服從於暗影議會。","230","0","1","5784","31504","0","4","0","0"
