CustomizeIcon,CategoryName,CustomizeIconSelected,OrderIndex,Field_9_0_1_34081_005,Flags,SpellShapeshiftFormId,Field_9_0_1_34714_008
"1","身軀","11987","11986","4","20","1","0"
"2","臉型","11991","11990","1","100","0","0"
"3","飾品","11985","11984","3","100","0","0"
"4","髮型","11989","11988","2","100","0","0"
"5","面紋","11987","11986","5","65","1","0"
"6","熊形態","15730","15730","6","0","0","5"
"7","獵豹形態","15731","15731","7","0","0","1"
"9","水棲形態","15729","15729","10","0","0","4"
"10","旅行形態","15734","15734","11","0","0","3"
"11","飛行形態","15732","15732","9","0","0","27"
"12","梟獸形態","15733","15733","8","0","0","31"
"13","臉型(不死族)","11991","11990","1","80","1","0"
"14","臉型(貓熊人)","11991","11990","1","80","1","0"
"15","臉型(瑪格哈獸人)","11991","11990","1","85","1","0"
"16","臉型(矮人)","11991","11990","1","88","0","0"
"17","飾品(矮人)","11985","11984","3","88","0","0"
"18","臉型(牛頭人)","11991","11990","1","100","1","0"
"19","飾品(牛頭人)","11985","11984","3","100","1","0"
"20","Face (Worgen)","11991","11990","1","100","1","0"
