Id,InfoName,Type,Modifiers,Profession
"1","组队","0","0","0"
"21","职业","0","0","0"
"41","PvP","0","0","0"
"62","团队","0","0","0"
"81","地下城","0","0","0"
"82","世界事件","0","0","0"
"83","传说","0","0","0"
"84","护送","0","0","0"
"85","英雄","0","0","0"
"88","团队（10）","0","0","0"
"89","团队（25）","0","0","0"
"98","场景战役","0","0","0"
"102","账号","0","0","0"
"104","支线任务","0","0","0"
"107","神器","0","0","0"
"109","世界任务","2","0","0"
"110","史诗世界任务","2","12","0"
"111","精英世界任务","2","2","0"
"112","史诗精英世界任务","2","78","0"
"113","PvP世界任务","3","0","0"
"114","急救世界任务","1","0","129"
"115","战斗宠物世界任务","4","0","0"
"116","锻造世界任务","1","0","164"
"117","制皮世界任务","1","0","165"
"118","炼金术世界任务","1","0","171"
"119","草药学世界任务","1","0","182"
"120","采矿世界任务","1","0","186"
"121","裁缝世界任务","1","0","197"
"122","工程学世界任务","1","0","202"
"123","附魔世界任务","1","0","333"
"124","剥皮世界任务","1","0","393"
"125","珠宝加工世界任务","1","0","755"
"126","铭文世界任务","1","0","773"
"128","大使任务","5","16","0"
"129","考古学世界任务","1","0","794"
"130","钓鱼世界任务","1","0","356"
"131","烹饪世界任务","1","0","185"
"135","稀有世界任务","2","1","0"
"136","稀有精英世界任务","2","11","0"
"137","地下城世界任务","6","11","0"
"139","军团入侵世界任务","7","40","0"
"140","评级奖励","3","16","0"
"141","团队副本世界任务","8","10","0"
"142","军团入侵精英世界任务","7","10","0"
"143","抗魔联军捐献","9","16","0"
"144","抗魔联军世界任务","2","78","0"
"145","抗魔联军地下城世界任务","6","75","0"
"146","军团入侵世界任务","11","0","0"
"147","战线 - 贫瘠之地","0","0","0"
"148","搜索","0","0","0"
"151","麦格尼世界任务 - 艾泽里特","2","0","0"
"152","Tortollan World Quest - 8.0","2","0","0"
"153","战线贡献","9","16","0"
"254","海岛任务","0","0","0"
"255","战争模式PvP","0","0","0"
"256","PvP征服","10","16","0"
"259","阵营突袭世界任务","12","104","0"
"260","阵营突袭精英世界任务","12","74","0"
"261","海岛每周任务","13","144","0"
"263","公共任务","0","16","0"
"264","威胁目标","5","16","0"
"265","隐藏任务","5","16","0"
"266","战友任务","0","0","0"
"267","专业","0","0","0"
"268","威胁结局","14","16","0"
"270","威胁大使任务","14","16","0"
"271","使命任务","15","0","0"
"272","温西尔聚会任务","2","128","0"
