Id,Name,Description,DisplayIndex,UiCameraId,AltHandUICameraId,ForgeAttachmentOverride,Flags,ArtifactId
"1","水晶形态","","1","72","0","-1","0","1"
"2","尖刺形态","","2","0","0","-1","0","1"
"3","灰烬使者","","1","62","0","-1","0","2"
"4","正义重剑","","2","65","0","-1","0","2"
"5","燃烧的复仇","","3","63","0","-1","0","2"
"6","陨落的希望","","4","66","0","-1","0","2"
"7","破碎清算","","5","64","0","-1","0","2"
"8","欺诈者的双刃","","1","72","161","-1","0","3"
"9","伊利达雷之手","","2","76","928","-1","0","3"
"10","黯刃","","3","75","930","-1","0","3"
"11","斩炎","","5","77","931","-1","0","3"
"12","魔蚀","","4","73","929","-1","0","3"
"13","加尼尔，母亲之树","","1","61","0","-1","0","13"
"14","上古之树","","2","68","0","-1","0","13"
"15","晶化觉醒","","3","60","0","-1","0","13"
"16","死木守护者","","4","69","0","-1","0","13"
"17","守望者之冠","","6","70","0","-1","1","13"
"20","大地守护者之鳞","","1","183","71","-1","0","11"
"21","吞噬者之牙","","1","168","169","-1","0","17"
"22","恶魔之拥","","3","172","173","-1","0","17"
"23","暗影之刃","","2","170","171","-1","0","17"
"24","饮血者","","4","174","175","-1","0","17"
"25","冰寒之刃","","5","176","177","-1","0","17"
"32","诅咒之喉","","1","163","0","-1","0","15"
"33","天启","","1","162","0","-1","0","16"
"39","堕落王子之剑","","1","166","167","-1","0","12"
"40","莱登之拳","","1","191","192","-1","0","40"
"41","萨斯多拉，风行者的遗产","","1","719","0","-1","0","55"
"42","弑君者","","1","391","392","-1","0","43"
"43","莎拉达尔，潮汐权杖","","1","195","958","-1","0","42"
"44","毁灭之锤","","1","189","0","-1","0","41"
"45","图雷，纳鲁道标","","1","194","0","-1","0","45"
"46","黑暗帝国之刃","","1","570","952","-1","0","47"
"47","白银之手","","1","198","199","-1","0","48"
"48","乌索克之爪","","1","188","638","-1","0","57"
"49","萨格拉斯权杖","","1","357","0","-1","0","38"
"50","神龙，迷雾之杖","","1","196","0","-1","0","51"
"51","烈焰之击","","1","190","935","-1","0","54"
"52","雄鹰之爪","","1","197","0","-1","0","34"
"53","艾露尼斯","","1","178","0","-1","0","4"
"54","守护者塔杖","","2","179","0","-1","0","4"
"55","自由护法者","","3","181","0","-1","0","4"
"56","艾格文之陨","","4","180","0","-1","0","4"
"57","不朽的魔导师","","5","182","0","-1","0","4"
"58","亡灵卫士的凝视","","4","184","965","-1","0","11"
"59","灭世者的临终之息","","6","185","966","-1","1","11"
"60","背水之战","","3","186","967","-1","0","11"
"61","堕落君王之臂","","2","187","968","-1","0","11"
"64","黑檀之寒","","1","344","0","-1","0","53"
"65","守护者的焦镜","","2","346","0","-1","0","53"
"66","大法师的意志","","4","351","0","-1","0","53"
"67","霜火之忆","","6","353","0","-1","1","53"
"68","原初之流","","3","354","0","-1","0","53"
"69","黑暗泰坦的狂妄","","2","359","0","-1","0","38"
"70","古尔丹的回响","","3","360","0","-1","0","38"
"71","毁灭者之影","","4","362","0","-1","0","38"
"72","军团之灾","","6","361","0","-1","1","38"
"73","游侠将军的守护","","4","933","0","-1","0","55"
"74","凤凰涅磐","","3","722","0","-1","0","55"
"75","姐妹的羁绊","","2","720","0","-1","0","55"
"76","乌鸦卫士","","6","721","0","-1","1","55"
"77","诅咒之手","","2","858","863","-1","0","43"
"78","剖心者","","3","860","864","-1","0","43"
"79","法师杀手之刃","","4","859","865","-1","0","43"
"80","碎骨者","","6","861","866","-1","1","43"
"81","月神镰刀","","1","631","0","-1","0","59"
"82","古神之拥","","2","773","957","-1","0","47"
"83","堕落之刃","","3","774","953","-1","0","47"
"84","疯狂幻象","","4","776","955","-1","0","47"
"85","扭曲镜像","","5","775","954","-1","0","47"
"86","顽石之爪","","2","188","638","-1","0","57"
"87","乌索尔的化身","","3","188","638","-1","0","57"
"88","沉沦梦魇","","4","188","638","-1","0","57"
"89","林地守护者","","6","188","638","-1","1","57"
"90","奥达奇战刃","","1","753","759","-1","0","60"
"91","阿莎曼之牙","","1","636","637","-1","0","58"
"92","血喉","","2","701","0","-1","0","15"
"93","骨颚","","5","702","0","-1","0","15"
"94","斩灵","","3","704","0","-1","0","15"
"95","斩杀者","","4","703","0","-1","0","15"
"96","霜之哀伤的遗产","","2","662","663","-1","0","12"
"97","集魂者","","5","664","665","-1","0","12"
"98","守墓人","","4","700","699","-1","0","12"
"99","辛达苟萨之怒","","3","667","666","-1","0","12"
"100","饥荒使者","","4","658","0","-1","0","16"
"101","瘟疫使者","","3","661","0","-1","0","16"
"102","邪恶之战","","2","659","0","-1","0","16"
"103","白骨收割者","","6","660","0","-1","1","16"
"104","伊利达雷徽记","","2","901","902","-1","0","60"
"105","恐怖白骨","","4","903","904","-1","0","60"
"106","恐惧魔王之咬","","3","905","906","-1","0","60"
"107","钢铁守望者","","6","907","908","-1","1","60"
"108","戈德林的使者","","2","831","0","-1","0","59"
"109","唤月","","3","832","0","-1","0","59"
"110","太阳卫士之触","","6","834","0","-1","1","59"
"111","梦魇苦痛","","4","833","0","-1","0","59"
"112","自然之怒","","2","636","637","-1","0","58"
"113","原初猎手","","3","636","637","-1","0","58"
"114","豹母之魂","","5","636","637","-1","0","58"
"115","梦魇化身","","4","636","637","-1","0","58"
"116","泰坦之击","","1","754","0","-1","0","56"
"117","雄鹰之眼","","2","789","0","-1","0","56"
"118","野猪火炮","","4","791","0","-1","0","56"
"119","雷象之怒","","3","790","0","-1","0","56"
"120","毒蛇之噬","","5","792","0","-1","0","56"
"121","猎鹰重生","","2","715","0","-1","0","34"
"122","头狼之矛","","3","717","0","-1","0","34"
"123","毒蛇之击","","4","716","0","-1","0","34"
"124","巨熊之韧","","6","718","0","-1","1","34"
"125","逐日者之傲","","2","838","937","-1","0","54"
"126","凤凰涅槃","","3","840","940","-1","0","54"
"127","火裔之刃","","4","839","939","-1","0","54"
"128","缚时者之刃","","5","841","941","-1","0","54"
"129","福枬，云游者之友","","1","710","0","-1","0","52"
"130","美猴王的重担","","2","711","0","-1","0","52"
"131","龙火之握","","4","713","0","-1","0","52"
"132","玄牛之心","","3","712","0","-1","0","52"
"133","迷雾使者","","5","714","0","-1","0","52"
"134","浓雾之钟","","2","845","0","-1","0","51"
"135","不朽龙息","","6","846","0","-1","1","51"
"136","煞魔之殇","","4","847","0","-1","0","51"
"137","赤精之魂","","3","848","0","-1","0","51"
"138","诸天之拳","","1","629","630","-1","0","50"
"139","奥拉基尔之触","","2","691","692","-1","0","50"
"140","灵魂之触","","3","694","693","-1","0","50"
"141","影踪传承","","4","696","695","-1","0","50"
"142","风暴之拳","","6","698","697","-1","1","50"
"143","堕落守护者之拳","","2","785","199","-1","0","48"
"144","正义之火","","5","788","199","-1","0","48"
"145","古墓守卫","","4","786","199","-1","0","48"
"146","守护者的审判","","3","787","199","-1","0","48"
"147","真理守护者","","1","756","755","-1","0","49"
"148","泰坦之光","","2","777","945","-1","0","49"
"149","黑暗守护者的守护","","4","780","943","-1","0","49"
"150","圣火之徽","","5","778","944","-1","0","49"
"151","守备官的壁垒","","6","779","946","-1","1","49"
"152","圣光之怒","","1","705","0","-1","0","46"
"153","救赎者纹章","","2","706","0","-1","0","46"
"154","护卷者塔杖","","6","709","0","-1","1","46"
"155","不懈警戒","","4","708","0","-1","0","46"
"156","圣光之杯","","3","707","0","-1","0","46"
"157","纯洁旌旗","","2","950","0","-1","0","45"
"158","圣光守护者","","3","948","0","-1","0","45"
"159","阿古斯的回忆","","5","949","0","-1","0","45"
"160","虚空之拥","","4","951","0","-1","0","45"
"161","恐惧之刃","","1","757","758","-1","0","44"
"162","海上魔王的许诺","","2","868","873","-1","0","44"
"163","烈焰之吻","","3","869","874","-1","0","44"
"164","剑士之手","","5","870","875","-1","0","44"
"165","恶棍的遗言","","4","871","876","-1","0","44"
"166","风暴守护者","","2","880","885","-1","0","40"
"167","大地语者","","3","881","886","-1","0","40"
"168","雷加尔的传承","","5","882","887","-1","0","40"
"169","堕落萨满之拳","","4","883","888","-1","0","40"
"170","风暴使者","","2","632","0","-1","0","41"
"171","军团的末日","","3","633","0","-1","0","41"
"172","黑手的命运","","4","634","0","-1","0","41"
"173","台风","","5","635","0","-1","0","41"
"174","深海权杖","","2","801","963","-1","0","42"
"175","泰坦之子","","3","802","961","-1","0","42"
"176","图腾传人","","4","803","962","-1","0","42"
"177","冰封命运","","5","804","959","-1","0","42"
"178","逆风收割者","","1","646","0","-1","0","39"
"179","苦难之手","","2","647","0","-1","0","39"
"180","灵魂虹吸","","3","648","0","-1","0","39"
"181","命途之末","","6","649","0","-1","1","39"
"182","死亡之手","","4","650","0","-1","0","39"
"183","堕落者之颅","","1","760","922","20","0","37"
