Id,Body
"83","this is a test"
"84","感谢你来看望我，$n。我很高兴，因为我们还没有被遗忘。"
"86","这件小小的礼物不会给你答案，但也许它可以让你感到快乐。"
"87","你好啊，我是古博·布拉普。

近来你一切都好吧？我希望你还在抽空钓钓鱼什么的，我很喜欢钓鱼，布拉普家族是以钓鱼技术高超而闻名的。我送给你一个不错的鱼饵，这样你就可以钓更大的鱼了！祝你好运，再次感谢你帮我抓鱼。

继续快乐地钓鱼吧！
古博·布拉普"
"93","尊敬的$n：$B$B我已经把你交给我的这些东西全都破译好了，请参阅这封信的附件。我精心挑选了那些我认为有用的信息，把它们整理了出来。在这个鬼地方找到一处可用的信箱简直是难比登天，不过数个月的隐匿生活已经让我练就了一身来无影去无踪的本事！$B$B希望你喜欢这些信息。$B$B- 奥泰尔"
"94","你好，$n！$B$B对于潜入塞纳里奥要塞使用邮箱的技术，我已经是轻车熟路了。我又把一些你可能会感兴趣的东西寄给了你，希望你能用得到！$B$B- 奥泰尔"
"98","翻译这些熊怪的文字让我颇费了一些周折，而且我所发现的东西让我觉得有些沮丧。冬泉酋长临死前显然患上了极度强烈的妄想症，而且对一种叫做“火酒”的东西非常痴迷。他认为所有的生物都是他的敌人。好吧，我觉得你应该自己看看他写的东西——随这封信附上的是我翻译好的文字。如果你还有其它的事情需要我帮助，请尽管来找我。"
"99","感谢您继续参与我们的机械工程学联合公会！我们很高兴能有您这样活跃而充满激情的会员。请接受这件小小的礼物，以此作为我们对你的感谢，希望您继续为伟大的侏儒工程学做出杰出的贡献！"
"101","我的朋友：
虽然我的双臂因为每日在瘟疫之地奋战而疲倦不已，但它们仍然可以为了迎接像你这样的英雄而张开。很高兴你能与我们并肩作战，为了我们伟大的事业而奋斗。

如果你有空到西瘟疫之地来的话，别忘了到亡灵壁垒来找我。你的经验和勇气将帮助我们净化那些天灾之锅！

此致
高级执行官德灵顿"
"102","你好，$n！希望你能在冬幕节度过了一段美好的时光！$B$B你解了我的馋，所以我要送你一点别的东西，一些来自烟林牧场的好东西。如果你还没有得到礼品的话，请在节日结束之前设法搞到！$B$B祝你开心……$B- 冬天爷爷"
"103","感谢您继续参与我们的地精实验工程学协会！我们很高兴能有您这样活跃而充满激情的会员。请接受这件小小的礼物，以此作为我们对你的感谢，希望您继续为伟大的地精工程学做出杰出的贡献！"
"105","<UNUSED>"
"106","Those rabbits came back!  NO!  Oh, don't bother coming back..."
"107","我的朋友：
虽然我的双臂因为每日在瘟疫之地奋战而疲倦不已，但它们仍然可以为了迎接像你这样的英雄而张开。很高兴你能与我们并肩作战，为了我们伟大的事业而奋斗。

如果你有空到西瘟疫之地来的话，别忘了到营地里来找我。你的经验和勇气将帮助我们净化那些天灾之锅！

此致
指挥官阿什拉姆·瓦罗菲斯特"
"108","你好啊，$n，我又来了！$B$B虽然我和烟林牧场的好伙伴们忙得天昏地暗，但是我想应该给你寄一些特殊的东西。当你知道我们把萨克斯从奥特兰克救了出来的消息时应该很高兴吧？他给你送上了最真挚的祝福！$B$B在拯救他的过程中，我们研究出了一种华丽的装置，你应该会喜欢它。你需要一个雪球给它提供能量，不过我敢说你会非常非常喜欢它的！$B$B- 冬天爷爷"
"109","你好，我的朋友！我希望你近来一切都好。$B$B我想再次对你协助我们抵抗哈卡的事迹表示感谢。希望我们能很快击败血神，并再次见面。你不在这里会是我们的一大损失！$B$B随信附送的是一枚小小的勋章，这是我们的一点心意，请你收下吧。让我们同心协力，共同击败哈卡！$B$B赞扎与你同在！$B$B温卡萨，赞扎的仆从"
"110","尊敬的$n：$B$B你交给指挥官玛尔利斯的信息看起来是非常重要的。我们已经根据这些情报修正了针对暮光之锤的作战计划。$B$B为了表彰你无私的奉献和支持，我们要送给你一些微薄的谢礼。希望我们能继续和你并肩作战。$B$B向你致敬。$B$B唤风者梅恩·长角"
