Id,Directory,MapName,Field_9_0_1_33978_002,MapDescription0,MapDescription1,PvpShortDescription,PvpLongDescription,Corpse0,Corpse1,MapType,InstanceType,ExpansionId,AreaTableId,LoadingScreenId,TimeOfDayOverride,ParentMapId,CosmeticParentMapId,TimeOffset,MinimapIconScale,CorpseMapId,MaxPlayers,WindSettingsId,ZmpFileDataId,WdtFileDataId,Flags0,Flags1
"0","Azeroth","东部王国","Eastern Kingdoms","","","","","0","0","1","0","0","0","4","-1","-1","-1","0","1","-1","0","17","804940","775971","159399517","134479888"
"1","Kalimdor","卡利姆多","Kalimdor","","","","","0","0","1","0","0","0","3","-1","-1","-1","0","1","-1","0","17","804935","782779","159399517","134479888"
"13","test","占位符","Art Team Map","","","","","0","0","2","0","0","3817","0","-1","-1","-1","0","1","-1","0","0","0","857697","1555","134480920"
"25","ScottTest","Scott Test","Scott Test","","","","","0","0","2","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","863335","1555","134479880"
"30","PVPZone01","奥特兰克山谷","Alterac Valley","坐落在奥特兰克山脉深处的奥特兰克山谷，是霜狼氏族的家园。雷矛矮人在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们先祖历史的线索。

这是一处大型战场，参战双方都要竭尽全力摧毁对方的防御塔楼，消灭敌方将军（范达尔·雷矛或德雷克塔尔）。","坐落在奥特兰克山脉深处的奥特兰克山谷，是霜狼氏族的家园。雷矛矮人在这里建造了一座要塞，并试图深入山谷寻找宝藏，还有关于他们先祖历史的线索。

这是一处大型战场，参战双方都要竭尽全力摧毁对方的防御塔楼，消灭敌方将军（范达尔·雷矛或德雷克塔尔）。","击杀敌方首领","- 占领敌方塔楼与碉堡
- 击杀敌方领袖
- 将敌方援军降至0","0","0","1","3","0","0","104","-1","-1","-1","0","1","-1","0","0","0","790112","1553","135004168"
"33","Shadowfang","影牙城堡","Shadowfang Keep","","","","","-230.989","1571.57","1","1","0","0","204","-1","-1","-1","0","1","0","10","0","0","790796","1565","134479880"
"34","StormwindJail","暴风城监狱","Stormwind Stockade","","","","","-8762.379","848.0103","2","1","0","717","194","-1","-1","-1","0","1","0","10","0","0","791060","1553","134479880"
"35","StormwindPrison","暴风城牢房","<unused>StormwindPrison","","","","","-8762.477","848.0491","2","0","0","717","23","-1","-1","-1","0","1","0","0","0","0","870849","1555","134479880"
"36","DeadminesInstance","死亡矿井","Deadmines","","","","","-11207.8","1681.15","1","1","0","0","142","-1","-1","-1","0","1","0","10","0","0","780605","1553","134479880"
"37","PVPZone02","艾萨拉盆地","Azshara Crater","杀掉所有联盟的人！","为联盟而战！","","","0","0","1","0","0","0","25","-1","-1","-1","0","1","-1","0","0","0","861092","1555","134479880"
"42","Collin","Collin's Test","Collin's Test","","","","","0","0","2","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","863984","1555","134479880"
"43","WailingCaverns","哀嚎洞穴","Wailing Caverns","","","","","-751.1312","-2209.24","2","1","0","718","143","-1","-1","-1","0","1","1","10","0","0","791429","1553","134479880"
"44","Monastery","修道院内部","<unused> Monastery","","","","","2892.413","-811.2413","2","1","0","0","42","-1","-1","-1","0","1","0","10","0","0","865519","1555","134479880"
"47","RazorfenKraulInstance","剃刀沼泽","Razorfen Kraul","","","","","-4459.449","-1660.212","1","1","0","0","188","-1","-1","-1","0","1","1","10","0","0","790640","1553","134479880"
"48","Blackfathom","黑暗深渊","Blackfathom Deeps","","","","","4249.121","748.3871","2","1","0","719","196","-1","-1","-1","0","1","1","10","0","0","780169","1553","134479880"
"70","Uldaman","奥达曼","Uldaman","","","","","-6060.182","-2954.997","2","1","0","1337","144","-1","-1","-1","0","1","0","10","0","0","791372","1553","134479880"
"90","GnomeragonInstance","诺莫瑞根","Gnomeregan","","","","","-5162.662","931.5988","2","1","0","721","193","-1","-1","-1","0","1","0","10","0","0","782773","1553","134479880"
"109","SunkenTemple","沉没的神庙","Sunken Temple","","","","","-10291.7","-3987.63","2","1","0","1477","191","-1","-1","-1","0","1","0","10","0","0","791166","1553","134479880"
"129","RazorfenDowns","剃刀高地","Razorfen Downs","","","","","-4662.883","-2535.872","1","1","0","0","145","-1","-1","-1","0","1","1","10","0","0","790517","1553","134479880"
"169","EmeraldDream","翡翠梦境","Emerald Dream","","","","","0","0","1","2","0","0","0","-1","-1","-1","0","1","-1","40","0","0","780817","1553","134479880"
"189","MonasteryInstances","旧血色修道院","Scarlet Monastery of Old","","","","","2892.235","-811.2637","1","1","0","0","190","-1","-1","-1","0","1","0","10","0","0","788662","1553","134479880"
"209","TanarisInstance","祖尔法拉克","Zul'Farrak","","","","","-6790.577","-2891.278","1","1","0","0","146","-1","-1","-1","0","1","1","10","0","0","791169","1553","134479880"
"229","BlackRockSpire","黑石塔下层","Lower Blackrock Spire","","","","","-7522.527","-1233.042","2","1","0","1583","189","-1","-1","-1","0","1","0","10","0","0","780175","1537","134479880"
"230","BlackrockDepths","黑石深渊","Blackrock Depths","","","","","-7178.095","-928.6395","2","1","0","1584","103","-1","-1","-1","0","1","0","5","0","0","780172","1553","134479880"
"249","OnyxiaLairInstance","奥妮克希亚的巢穴","Onyxia's Lair","","","","","-4753.313","-3752.421","2","2","0","2159","61","-1","-1","-1","0","1","1","40","0","0","789922","34305","134479880"
"269","CavernsOfTime","开启黑暗之门","Opening of the Dark Portal","","","","","-8750.827","-4193.513","1","1","1","0","212","-1","-1","-1","0","1","1","5","0","0","829736","1553","134479880"
"289","SchoolofNecromancy","旧通灵学院","Scholomance OLD","","","","","1274.781","-2552.564","1","1","0","0","102","-1","-1","-1","0","1","0","5","0","0","790713","1553","134479880"
"309","Zul'gurub","古城祖尔格拉布","Ancient Zul'Gurub","","","","","-11916.06","-1224.577","1","1","0","1977","161","-1","-1","-1","0","1","0","20","0","0","791432","525841","134479880"
"329","Stratholme","斯坦索姆","Stratholme","","","","","3392.317","-3378.483","1","1","0","0","101","-1","-1","-1","0","1","0","5","0","0","791063","1553","134479880"
"349","Mauradon","玛拉顿","Maraudon","","","","","-1432.697","2924.978","2","1","0","2100","81","-1","-1","-1","0","1","1","10","0","0","788656","1553","134479880"
"369","DeeprunTram","矿道地铁","Deeprun Tram","","","","","-8349.224","517.348","2","0","0","2257","205","-1","-1","-1","0","1","0","0","0","0","780788","268437009","134480384"
"389","OrgrimmarInstance","怒焰裂谷","Ragefire Chasm","","","","","1816.756","-4423.372","2","1","0","2437","195","-1","-1","-1","0","1","1","10","0","0","789981","1553","134479880"
"409","MoltenCore","熔火之心","Molten Core","","","","","-7510.565","-1036.698","2","2","0","2717","192","-1","-1","-1","0","1","0","40","0","0","788659","1553","134479880"
"429","DireMaul","厄运之槌","Dire Maul","","","","","-3908.03","1130","2","1","0","2557","82","-1","-1","-1","0","1","1","5","0","0","780814","1537","134479880"
