Id,DisplayName,Field_9_0_1_33978_001
"1","指定急速","0"
"3","TEST ONLY","1"
"5","指定精通","0"
"6","指定爆击","0"
"7","指定全能","0"
"8","提高物品等级","0"
"9","ModifiedCraftingCategory.DisplayName","1"
"11","松弛皮带","0"
"12","主属性","1"
"13","荆棘术","1"
"14","伤害加成","1"
"15","指定套牌","0"
"16","测试","1"
"17","使用","1"
"25","杂项","0"
"26","护甲加成","1"
"27","易伤","1"
"28","吸收护盾","1"
"29","设置物品等级","0"
"35","阴铁托架","0"
"36","在此显示文本。","1"
"37","静灵微型电容器","0"
"38","强化缠腰","0"
"39","匠人的袋子","0"
"40","水动力加速器","0"
"41","奢华羽毛","0"
"42","暗影兔脚","0"
"44","炼金师宝囊","0"
"18","提高物品等级","0"
"30","提高物品等级","0"
"31","提高物品等级","0"
"32","提高物品等级","0"
"33","提高物品等级","0"
"46","提高物品等级","0"
"47","提高物品等级","0"
"51","提高物品等级","0"
"52","提高物品等级","0"
"45","设置物品等级","0"
"50","设置物品等级","0"
