Id,Title,GarrTypeId,ClassId,MaxTiers,UiOrder,Flags,UiTextureKitId,GarrTalentTreeType,ConditionId,FeatureType,FeatureSubtype
"4","","3","10","7","0","0","0","0","0","0","0"
"31","","3","7","7","0","0","0","0","0","0","0"
"107","","3","11","7","0","0","0","0","0","0","0"
"110","","3","9","7","0","0","0","0","0","0","0"
"113","","3","3","7","0","0","0","0","0","0","0"
"116","","3","8","7","0","0","0","0","0","0","0"
"119","","3","2","7","0","0","0","0","0","0","0"
"122","","3","1","7","0","0","0","0","0","0","0"
"125","","3","12","7","0","0","0","0","0","0","0"
"128","","3","6","7","0","0","0","0","0","0","0"
"131","","3","4","7","0","0","0","0","0","0","0"
"134","","3","5","7","0","0","0","0","0","0","0"
"150","","111","0","8","0","0","0","1","0","0","0"
"151","","3","0","7","0","0","253","0","0","0","0"
"152","战争研究","9","0","6","0","1","0","0","0","0","0"
"153","战争研究","9","0","6","0","1","0","0","0","0","0"
"260","Visions Research [NYI]","9","0","6","0","0","253","0","0","0","0"
"263","纯净圣母的研究 - 单人","9","0","4","0","0","253","0","0","0","0"
"264","纯净圣母的研究 - 组队","9","0","4","0","0","253","0","0","0","0"
"265","纯净圣母的研究 - 搏命","9","0","2","0","0","253","0","0","0","0"
"266","纯净圣母的研究 - 竞速","9","0","2","0","0","253","0","0","0","0"
"267","纯净圣母的研究 - 探索","9","0","3","0","0","253","0","0","0","0"
"268","纯净圣母的研究 - 里程碑","9","0","2","0","0","253","1","0","0","0"
"271","纯净圣母的研究","9","0","6","0","0","5273","1","0","0","0"
"272","娜德佳，迷雾之刃","111","0","5","0","0","253","1","0","6","0"
"275","织梦者","111","0","8","0","0","0","0","79281","6","3"
"276","尼娅","111","0","8","0","0","0","0","79279","6","3"
"304","德莱文将军","111","0","8","0","0","0","0","79288","6","2"
"307","传送网络","111","0","3","0","0","0","0","0","2","3"
"308","传送网络","111","0","3","0","0","5283","0","0","2","1"
"309","传送网络","111","0","3","0","0","0","0","0","2","2"
"310","传送网络","111","0","3","0","0","0","0","0","2","4"
"311","心能导流器","111","0","3","0","0","0","0","0","1","3"
"312","心能导流器","111","0","3","0","0","5283","0","0","1","1"
"313","心能导流器","111","0","3","0","0","0","0","0","1","4"
"314","心能导流器","111","0","3","0","0","0","0","0","1","2"
"315","指挥台","111","0","3","0","0","0","0","0","3","3"
"316","指挥台","111","0","3","0","0","5283","0","0","3","1"
"317","指挥台","111","0","3","0","0","0","0","0","3","2"
"318","指挥台","111","0","3","0","0","0","0","0","3","4"
"319","女王的温室","111","0","5","0","0","0","0","0","5","3"
"320","晋升之路","111","0","5","0","0","5283","0","0","5","1"
"321","憎恶工厂","111","0","5","0","0","0","0","0","5","4"
"324","灰烬王庭","111","0","5","0","0","0","1","0","5","2"
"325","魔药设计师马里莱斯","111","0","8","0","0","0","0","79284","6","4"
"326","雷文德斯 - 储备升级","111","0","3","0","0","5285","0","0","4","2"
"327","晋升堡垒 - 储备升级","111","0","3","0","0","5283","0","0","4","1"
"328","炽蓝仙野 - 储备升级","111","0","3","0","0","5305","0","0","4","3"
"329","玛卓克萨斯- 储备升级","111","0","3","0","0","5287","0","0","4","4"
"330","艾米妮","111","0","8","0","0","0","0","79285","6","4"
"334","柯莱恩","111","0","8","0","0","0","0","79283","6","3"
"335","Chris Test Tree Set","3","0","2","0","0","0","0","0","0","0"
"345","引导心能","111","0","1","0","2","5283","1","0","7","1"
"346","引导心能","111","0","1","0","2","5305","1","0","7","3"
"347","引导心能","111","0","1","0","2","5287","1","0","7","4"
"348","引导心能","111","0","1","0","2","5285","1","0","7","2"
"349","骨匠海尔米尔","111","0","8","0","0","0","0","81502","6","4"
"357","裴拉戈斯","111","0","8","0","0","0","0","81504","6","1"
"360","克雷雅","111","0","8","0","0","0","0","81505","6","1"
"365","米卡尼科斯","111","0","8","0","0","0","0","81506","6","1"
"368","娜德佳，迷雾之刃","111","0","8","0","0","0","0","81503","6","2"
"392","癫狂公爵西塔尔","111","0","8","0","0","0","0","83261","6","2"
"393","晋升堡垒 - 盟约技能","111","0","2","0","0","5283","1","0","0","1"
"395","玛卓克萨斯 - 盟约技能","111","0","2","0","0","5287","1","0","0","4"
"396","雷文德斯 - 盟约技能","111","0","2","0","0","5279","1","0","0","2"
"397","炽蓝仙野 - 盟约技能","111","0","2","0","0","5301","1","0","0","3"
