Id,Name,Filename,NameMale,NameFemale,PetNameToken,CreateScreenFileDataId,SelectScreenFileDataId,IconFileDataId,LowResScreenFileDataId,StartingLevel,SpellTextureFileDataId,Flags,CinematicSequenceId,DefaultSpec,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet
"1537","战士","WARRIOR","战士","","PET","1708","1751","1506","1502","1","0","0","0","36184","9","0","0","0","0","0"
"1701","圣骑士","PALADIN","圣骑士","","PET","1917","1623","1671","1667","2","0","0","0","36179","9","0","0","0","0","0"
"1864","猎人","HUNTER","猎人","","PET","2008","1495","1838","1834","3","0","0","0","36176","9","0","0","0","0","0"
"1949","潜行者","ROGUE","潜行者","","PET","2180","1367","1921","1917","4","0","0","0","36181","9","0","0","0","0","0"
"2110","牧师","PRIEST","牧师","","PET","2242","1239","2084","2080","5","0","0","0","36180","9","0","0","0","0","0"
"2193","死亡骑士","DEATHKNIGHT","死亡骑士","","PET","1068","2330","2156","2152","6","236082","39474","3","4699","2","0","41","208","23","0"
"2294","萨满祭司","SHAMAN","萨满祭司","","PET","2531","983","2262","2258","7","0","0","0","36182","9","0","0","0","0","0"
"2488","法师","MAGE","法师","","PET","2716","855","2464","2460","8","0","0","0","36177","9","0","0","0","0","0"
"2653","术士","WARLOCK","术士","","DEMON","2588","727","2620","2616","9","0","0","0","36183","9","0","0","0","0","0"
"2661","武僧","MONK","武僧","","PET","893","2783","2637","2633","10","0","0","0","36178","9","0","0","0","0","0"
"2707","德鲁伊","DRUID","德鲁伊","","PET","2872","471","2679","2675","11","0","0","0","36175","9","0","0","0","0","0"
"2849","恶魔猎手","DEMONHUNTER","恶魔猎手","","PET","300","2977","2812","2808","12","1305036","59852","19","39807","3","0","126","207","23","0"
