Id,Name,ClassMask,TrackingQuestId,Flags,TransmogSetGroupId,ItemNameDescriptionId,ParentTransmogSetId,Field_8_1_0_28294_008,ExpansionId,PatchIntroduced,UiOrder,ConditionId
"2","","128","0","1","1","0","0","1","0","0","590","0"
"3","","0","0","1","0","0","0","1","0","0","1591","0"
"4","","4095","42729","1","0","0","0","1","0","60002","1000","0"
"5","","68","0","3","0","0","0","1","0","0","360","0"
"6","","35","0","3","0","0","0","1","0","0","390","0"
"13","狂野争斗者的链甲","4","42975","20","12","13302","80","1","5","60100","6700","0"
"14","狂野争斗者的链甲","4","42992","24","12","13302","79","1","5","60100","6700","0"
"15","狂野争斗者的环甲","64","42993","20","12","13302","81","1","5","60100","6700","0"
"16","狂野争斗者的环甲","64","42994","24","12","13302","82","1","5","60100","6700","0"
"17","狂野争斗者的恐怖板甲","32","43004","20","12","13302","90","1","5","60100","6700","0"
"18","狂野争斗者的恐怖板甲","32","43005","24","12","13302","89","1","5","60100","6700","0"
"19","狂野争斗者的板鳞甲","2","43006","20","12","13302","94","1","5","60100","6700","0"
"20","狂野争斗者的板鳞甲","2","43008","24","12","13302","93","1","5","60100","6700","0"
"21","狂野争斗者的板甲","1","43010","24","12","13302","91","1","5","60100","6700","0"
"22","狂野争斗者的板甲","1","43009","20","12","13302","92","1","5","60100","6700","0"
"23","狂野争斗者的皮甲","8","43011","20","12","13302","85","1","5","60100","6700","0"
"24","狂野争斗者的皮甲","8","43012","24","12","13302","86","1","5","60100","6700","0"
"25","狂野争斗者的龙皮护甲","1024","43018","24","12","13302","83","1","5","60100","6700","0"
"26","狂野争斗者的龙皮护甲","1024","43017","20","12","13302","84","1","5","60100","6700","0"
"27","狂野争斗者的铁皮护甲","512","43020","24","12","13302","87","1","5","60100","6700","0"
"28","狂野争斗者的铁皮护甲","512","43019","20","12","13302","88","1","5","60100","6700","0"
"29","狂野争斗者的丝质布甲","128","43021","20","12","13302","100","1","5","60100","6700","0"
"30","狂野争斗者的丝质布甲","128","43022","24","12","13302","99","1","5","60100","6700","0"
"31","狂野争斗者的绸缎护甲","16","43023","20","12","13302","98","1","5","60100","6700","0"
"32","狂野争斗者的绸缎护甲","16","43024","24","12","13302","97","1","5","60100","6700","0"
"33","狂野争斗者的邪纹布甲","256","43026","24","12","13302","95","1","5","60100","6700","0"
"34","狂野争斗者的邪纹布甲","256","43025","20","12","13302","96","1","5","60100","6700","0"
"35","好战争斗者的链甲","4","43028","20","13","13302","102","1","5","60200","7000","0"
"36","好战争斗者的链甲","4","43029","24","13","13302","101","1","5","60200","7000","0"
"37","好战争斗者的环甲","64","43030","20","13","13302","104","1","5","60200","7000","0"
"38","好战争斗者的环甲","64","43031","24","13","13302","103","1","5","60200","7000","0"
"39","好战争斗者的龙皮护甲","1024","43032","20","13","13302","106","1","5","60200","7000","0"
"40","好战争斗者的龙皮护甲","1024","43033","24","13","13302","105","1","5","60200","7000","0"
"41","好战争斗者的皮甲","8","43034","20","13","13302","114","1","5","60200","7000","0"
"42","好战争斗者的皮甲","8","43035","24","13","13302","113","1","5","60200","7000","0"
"43","好战争斗者的铁皮护甲","512","43037","24","13","13302","111","1","5","60200","7000","0"
"44","好战争斗者的铁皮护甲","512","43036","20","13","13302","112","1","5","60200","7000","0"
"45","好战争斗者的恐怖板甲","32","43038","20","13","13302","108","1","5","60200","7000","0"
"46","好战争斗者的恐怖板甲","32","43039","24","13","13302","107","1","5","60200","7000","0"
"47","好战争斗者的板鳞甲","2","43042","24","13","13302","119","1","5","60200","7000","0"
"48","好战争斗者的板鳞甲","2","43041","20","13","13302","120","1","5","60200","7000","0"
"49","好战争斗者的板甲","1","43044","24","13","13302","115","1","5","60200","7000","0"
"50","好战争斗者的板甲","1","43043","20","13","13302","116","1","5","60200","7000","0"
"51","好战争斗者的绸缎护甲","16","43046","24","13","13302","117","1","5","60200","7000","0"
"52","好战争斗者的绸缎护甲","16","43045","20","13","13302","118","1","5","60200","7000","0"
"53","好战争斗者的丝质布甲","128","43047","20","13","13302","122","1","5","60200","7000","0"
"54","好战争斗者的丝质布甲","128","43048","24","13","13302","121","1","5","60200","7000","0"
"55","好战争斗者的邪纹布甲","256","43050","24","13","13302","109","1","5","60200","7000","0"
"56","好战争斗者的邪纹布甲","256","43049","20","13","13302","110","1","5","60200","7000","0"
"57","原祖争斗者的链甲","4","43074","24","11","13302","123","1","5","60001","6200","0"
"58","原祖争斗者的链甲","4","43073","20","11","13302","124","1","5","60001","6200","0"
"59","原祖争斗者的环甲","64","43076","24","11","13302","137","1","5","60001","6200","0"
"60","原祖争斗者的环甲","64","43075","20","11","13302","138","1","5","60001","6200","0"
"61","原祖争斗者的龙皮护甲","1024","43078","24","11","13302","125","1","5","60001","6200","0"
"62","原祖争斗者的龙皮护甲","1024","43077","20","11","13302","126","1","5","60001","6200","0"
"63","原祖争斗者的皮甲","8","43080","24","11","13302","133","1","5","60001","6200","0"
"64","原祖争斗者的皮甲","8","43081","20","11","13302","134","1","5","60001","6200","0"
"65","原祖争斗者的铁皮护甲","512","43083","24","11","13302","131","1","5","60001","6200","0"
"66","原祖争斗者的铁皮护甲","512","43082","20","11","13302","132","1","5","60001","6200","0"
"67","原祖争斗者的恐怖板甲","32","43085","24","11","13302","127","1","5","60001","6200","0"
"68","原祖争斗者的恐怖板甲","32","43084","20","11","13302","128","1","5","60001","6200","0"
"69","原祖争斗者的板鳞甲","2","43087","24","11","13302","141","1","5","60001","6200","0"
"70","原祖争斗者的板鳞甲","2","43086","20","11","13302","142","1","5","60001","6200","0"
"71","原祖争斗者的板甲","1","43089","24","11","13302","135","1","5","60001","6200","0"
"72","原祖争斗者的板甲","1","43088","20","11","13302","136","1","5","60001","6200","0"
"73","原祖争斗者的邪纹布甲","256","43093","24","11","13302","129","1","5","60001","6200","0"
"74","原祖争斗者的邪纹布甲","256","43092","20","11","13302","130","1","5","60001","6200","0"
"75","原祖争斗者的绸缎护甲","16","43095","24","11","13302","139","1","5","60001","6200","0"
"76","原祖争斗者的绸缎护甲","16","43094","20","11","13302","140","1","5","60001","6200","0"
"77","原祖争斗者的丝质布甲","128","43097","24","11","13302","143","1","5","60001","6200","0"
"78","原祖争斗者的丝质布甲","128","43096","20","11","13302","144","1","5","60001","6200","0"
"79","狂野角斗士的链甲","4","43103","24","12","13301","0","1","5","60100","7000","0"
"80","狂野角斗士的链甲","4","43102","20","12","13301","0","1","5","60100","7000","0"
"81","狂野角斗士的环甲","64","43104","20","12","13301","0","1","5","60100","7000","0"
"82","狂野角斗士的环甲","64","43105","24","12","13301","0","1","5","60100","7000","0"
"83","狂野角斗士的龙皮护甲","1024","43108","24","12","13301","0","1","5","60100","7000","0"
"84","狂野角斗士的龙皮护甲","1024","43107","20","12","13301","0","1","5","60100","7000","0"
"85","狂野角斗士的皮甲","8","43109","20","12","13301","0","1","5","60100","7000","0"
"86","狂野角斗士的皮甲","8","43110","24","12","13301","0","1","5","60100","7000","0"
"87","狂野角斗士的铁皮护甲","512","43113","24","12","13301","0","1","5","60100","7000","0"
"88","狂野角斗士的铁皮护甲","512","43112","20","12","13301","0","1","5","60100","7000","0"
"89","狂野角斗士的恐怖板甲","32","43005","24","12","13301","0","1","5","60100","7000","0"
"90","狂野角斗士的恐怖板甲","32","43114","20","12","13301","0","1","5","60100","7000","0"
"91","狂野角斗士的板甲","1","43117","24","12","13301","0","1","5","60100","7000","0"
"92","狂野角斗士的板甲","1","43116","20","12","13301","0","1","5","60100","7000","0"
"93","狂野角斗士的板鳞甲","2","43119","24","12","13301","0","1","5","60100","7000","0"
"94","狂野角斗士的板鳞甲","2","43118","20","12","13301","0","1","5","60100","7000","0"
"95","狂野角斗士的邪纹布甲","256","43123","24","12","13301","0","1","5","60100","7000","0"
"96","狂野角斗士的邪纹布甲","256","43122","20","12","13301","0","1","5","60100","7000","0"
"97","狂野角斗士的绸缎护甲","16","43125","24","12","13301","0","1","5","60100","7000","0"
"98","狂野角斗士的绸缎护甲","16","43124","20","12","13301","0","1","5","60100","7000","0"
"99","狂野角斗士的丝质布甲","128","43127","24","12","13301","0","1","5","60100","7000","0"
"100","狂野角斗士的丝质布甲","128","43126","20","12","13301","0","1","5","60100","7000","0"
"101","好战角斗士的链甲","4","43137","24","13","13301","0","1","5","60200","7100","0"
"102","好战角斗士的链甲","4","43136","20","13","13301","0","1","5","60200","7100","0"
"103","好战角斗士的环甲","64","43139","24","13","13301","0","1","5","60200","7100","0"
"104","好战角斗士的环甲","64","43138","20","13","13301","0","1","5","60200","7100","0"
"105","好战角斗士的龙皮护甲","1024","43155","24","13","13301","0","1","5","60200","7100","0"
"106","好战角斗士的龙皮护甲","1024","43154","20","13","13301","0","1","5","60200","7100","0"
"107","好战角斗士的恐怖板甲","32","43157","24","13","13301","0","1","5","60200","7100","0"
"108","好战角斗士的恐怖板甲","32","43156","20","13","13301","0","1","5","60200","7100","0"
"109","好战角斗士的邪纹布甲","256","43161","24","13","13301","0","1","5","60200","7100","0"
"110","好战角斗士的邪纹布甲","256","43160","20","13","13301","0","1","5","60200","7100","0"
"111","好战角斗士的铁皮护甲","512","43164","24","13","13301","0","1","5","60200","7100","0"
"112","好战角斗士的铁皮护甲","512","43163","20","13","13301","0","1","5","60200","7100","0"
"113","好战角斗士的皮甲","8","43166","24","13","13301","0","1","5","60200","7100","0"
"114","好战角斗士的皮甲","8","43165","20","13","13301","0","1","5","60200","7100","0"
"115","好战角斗士的板甲","1","43168","24","13","13301","0","1","5","60200","7100","0"
"116","好战角斗士的板甲","1","43167","20","13","13301","0","1","5","60200","7100","0"
"117","好战角斗士的绸缎护甲","16","43170","24","13","13301","0","1","5","60200","7100","0"
"118","好战角斗士的绸缎护甲","16","43169","20","13","13301","0","1","5","60200","7100","0"
"119","好战角斗士的板鳞甲","2","43172","24","13","13301","0","1","5","60200","7100","0"
"120","好战角斗士的板鳞甲","2","43171","20","13","13301","0","1","5","60200","7100","0"
"121","好战角斗士的丝质布甲","128","43174","24","13","13301","0","1","5","60200","7100","0"
"122","好战角斗士的丝质布甲","128","43173","20","13","13301","0","1","5","60200","7100","0"
"123","原祖角斗士的链甲","4","43198","24","11","13301","0","1","5","60001","6600","0"
"124","原祖角斗士的链甲","4","43197","20","11","13301","0","1","5","60001","6600","0"
"125","原祖角斗士的龙皮护甲","1024","43200","24","11","13301","0","1","5","60001","6600","0"
"126","原祖角斗士的龙皮护甲","1024","43199","20","11","13301","0","1","5","60001","6600","0"
"127","原祖角斗士的恐怖板甲","32","43202","24","11","13301","0","1","5","60001","6600","0"
"128","原祖角斗士的恐怖板甲","32","43201","20","11","13301","0","1","5","60001","6600","0"
"129","原祖角斗士的邪纹护甲","256","43204","24","11","13301","0","1","5","60001","6600","0"
"130","原祖角斗士的邪纹护甲","256","43203","20","11","13301","0","1","5","60001","6600","0"
"131","原祖角斗士的铁皮护甲","512","43210","24","11","13301","0","1","5","60001","6600","0"
"132","原祖角斗士的铁皮护甲","512","43209","20","11","13301","0","1","5","60001","6600","0"
"133","原祖角斗士的皮甲","8","43212","24","11","13301","0","1","5","60001","6600","0"
"134","原祖角斗士的皮甲","8","43211","20","11","13301","0","1","5","60001","6600","0"
"135","原祖角斗士的板甲","1","43089","24","11","13301","0","1","5","60001","6600","0"
"136","原祖角斗士的板甲","1","43213","20","11","13301","0","1","5","60001","6600","0"
"137","原祖角斗士的环甲","64","43217","24","11","13301","0","1","5","60001","6600","0"
"138","原祖角斗士的环甲","64","43216","20","11","13301","0","1","5","60001","6600","0"
"139","原祖角斗士的绸缎护甲","16","43219","24","11","13301","0","1","5","60001","6600","0"
"140","原祖角斗士的绸缎护甲","16","43218","20","11","13301","0","1","5","60001","6600","0"
"141","原祖角斗士的板鳞甲","2","43221","24","11","13301","0","1","5","60001","6600","0"
"142","原祖角斗士的板鳞甲","2","43220","20","11","13301","0","1","5","60001","6600","0"
"143","原祖角斗士的丝质布甲","128","43223","24","11","13301","0","1","5","60001","6600","0"
"144","原祖角斗士的丝质布甲","128","43222","20","11","13301","0","1","5","60001","6600","0"
"145","原祖角斗士的军械","0","43225","25","0","0","0","1","5","60001","6600","0"
"146","原祖角斗士的军械","0","43224","21","0","0","0","1","5","60001","6600","0"
"147","","0","43227","25","0","0","0","1","5","60100","7000","0"
"148","","0","43226","21","0","0","0","1","5","60100","7000","0"
"149","","0","43230","25","0","0","0","1","0","60200","7100","0"
"150","","0","43229","21","0","0","0","1","0","60200","7100","0"
"151","","0","43232","25","0","0","0","1","5","60200","7000","0"
"152","","0","43231","21","0","0","0","1","5","60200","7000","0"
"153","","0","43234","25","0","0","0","1","5","60100","6700","0"
"154","","0","43233","21","0","0","0","1","5","60100","6700","0"
"155","原祖争斗者的军械","0","43236","25","0","0","0","1","5","60001","6200","0"
"156","原祖争斗者的军械","0","43235","21","0","0","0","1","5","60001","6200","0"
"157","邪铸护甲","35","43278","2","48","0","0","1","6","70001","100","0"
"158","邪链护甲","68","43279","2","48","0","0","1","6","70001","100","0"
"159","邪覆护甲","3592","43280","2","48","0","0","1","6","70001","100","0"
"160","注邪护甲","400","43281","2","48","0","0","1","6","70001","100","0"
"162","","4095","0","3","0","0","0","1","0","0","10","0"
"163","","4","0","3","0","0","0","1","0","0","750","0"
"164","","16","0","3","0","0","0","1","0","0","750","0"
"167","","0","42778","3","0","0","0","1","0","0","200","0"
"168","","0","45129","3","0","0","0","1","0","0","6400","0"
"169","","0","45130","3","0","0","0","1","0","0","2510","0"
"170","","0","45131","3","0","0","0","1","0","0","490","0"
"171","天定亡者法衣","400","45208","2","47","13193","0","1","6","70100","8551","0"
"172","天定亡者法衣","400","45223","2","47","2015","171","1","6","70100","8552","0"
"173","天定亡者法衣","400","45224","2","47","13145","171","1","6","70100","8553","0"
"174","天定亡者法衣","400","45225","2","47","1641","171","1","6","70100","8550","0"
"175","天定亡者外套","3592","45226","2","47","13193","0","1","6","70100","8551","0"
"176","天定亡者外套","3592","45227","2","47","2015","175","1","6","70100","8552","0"
"177","天定亡者外套","3592","45228","2","47","13145","175","1","6","70100","8553","0"
"178","天定亡者外套","3592","45229","2","47","1641","175","1","6","70100","8550","0"
"179","天定亡者链甲","68","45230","2","47","13193","0","1","6","70100","8551","0"
"180","天定亡者链甲","68","45231","2","47","2015","179","1","6","70100","8552","0"
