Id,SourceText,ItemId,LegacyUpgradedItemId,StaticUpgradedItemId,SourceTypeEnum,Flags,LegacyItemId,UpgradeItemId0,UpgradeItemId1,UpgradeItemId2,UpgradeItemId3
"1","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122353","93854","0","2","0","42947","122339","122341","151615","167732"
"2","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122365","93851","0","2","0","44092","122339","122341","151615","167732"
"3","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122363","93844","0","2","0","79131","122339","122341","151615","167732"
"4","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122352","93855","0","2","0","42946","122339","122341","151615","167732"
"663","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122356","93887","0","2","0","42950","122338","122340","151614","167731"
"664","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122349","93843","0","2","0","42943","122339","122341","151615","167732"
"665","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅|n","122351","93856","0","2","0","42945","122339","122341","151615","167732"
"666","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122376","93867","0","2","0","44103","122338","122340","151614","167731"
"667","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122355","93890","0","2","0","42949","122338","122340","151614","167731"
"668","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122358","93862","0","2","0","42952","122338","122340","151614","167731"
"669","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅|n","122350","93857","0","2","0","42944","122339","122341","151615","167732"
"670","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122359","93864","0","2","0","42984","122338","122340","151614","167731"
"671","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122362","93897","0","2","0","42992","122338","122340","151614","167731"
"672","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122357","93876","0","2","0","42951","122338","122340","151614","167731"
"673","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122360","93859","0","2","0","42985","122338","122340","151614","167731"
"674","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122377","93866","0","2","0","44105","122338","122340","151614","167731"
"675","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122354","93853","0","2","0","42948","122339","122341","151615","167732"
"676","|cFFFFD200商人出售：|r艾斯特蕾·根德瑞|n|cFFFFD200地区：|r幽暗城 - 盗贼区|n|n|cFFFFD200商人出售：|r克罗姆·粗臂|n|cFFFFD200地区：|r铁炉堡 - 探险者大厅","122364","93852","0","2","0","44091","122339","122341","151615","167732"
