Id,Description,SoulbindId,CreatureDisplayInfoId,ModelSceneActorId,TextureKitId,OrderIndex,GlobalOrderIndex
"1","尼娅是一位希尔梵，她负责保卫并照看林地中的灵种。你们初次相遇的时候，她的林地正迎来凋零的宿命，以便回收其中的心能。在她和你同行的过程中，尼娅意识到了在心能枯竭中生存的艰难。尼娅是一位出色的猎人和追踪者，她会用自己的能力助你消除枯竭，并应对炽蓝仙野面临的其他威胁。","1","95232","1030","5312","0","6"
"2","织梦者是一名冷静而安宁的妖精，在自然之灵沉眠于灵种之内、静候重生的时候，他能够窥探他们的梦境。织梦者会帮助你和某个特殊的灵种建立羁绊——那其中沉睡的灵魂需要你的援助。在炽蓝仙野遭到外来势力围攻之际，织梦者的治愈能力将发挥作用。","2","94430","1029","5313","1","7"
"3","德莱文将军是顽石军团的指挥官，他为雷文德斯效力已有数个纪元之久。他时常身临战场前线，心怀荣誉奋战至最后一刻，也从不抛弃任何一名士兵。德纳修斯选择与典狱长结盟时，德莱文选择了雷纳索尔的起义军。毕竟，雷文德斯的利益才是最重要的。","3","92399","1031","5314","2","11"
"4","马里莱斯聪慧过人却举止怪异，玛卓克萨斯最有效的药水多半出自他的手笔。凋零密院被毁时，马里莱斯在事件的余波中失去了理智。他的开创性药剂对战局至关重要……就是偶尔会有些副作用。 ","4","94122","1035","5315","0","3"
"5","艾米妮的构造体身躯是在玛卓克萨斯的缝合场中拼装而成。生前的她是一位强大的贵族。为了争夺王位，无数兄弟姐妹亡于她手。在你们消灭共同的敌人的过程中，你展示出的力量令她无比钦佩。艾米妮本就是一代传奇，但随着她与噬渊行者缔结了灵魂羁绊，她的恶名很快就将无人不晓。","5","93825","1036","5316","1","4"
"7","作为荒猎团的一名女猎手，柯莱恩具有坚强的意志，她不仅领导着下属，还勇猛地冲锋陷阵。她的使命是击溃最危险和最隐秘的威胁，从而保护森林。只有当敌人被消灭，炽蓝仙野重新变得安全后，她才会休息。冬日林谷遭到攻击时，多亏柯莱恩的领导才能和坚定决心，他们才赢得了胜利。","6","95248","1037","5317","2","8"
"9","裴拉戈斯身为晋升堡垒的候选者，一直在为晋升之路刻苦训练，即使面对挑战与逆境也坚强不屈。在你尝试觐见执政官、直面弃誓者威胁的过程中，裴拉戈斯和他的另一位灵魂羁绊伙伴克雷雅很快就和你成为了朋友。虽然在他的道路上，凡世的过往带来的怀疑和回忆一直困扰着他，但他总是那么愉悦和乐观。","7","94137","1039","5318","0","0"
"10","海尔米尔是兵主的学徒，也是玛卓克萨斯最古老的凡人灵魂之一。她接受过无数个纪元的训练，是用白骨和钢铁锻造武器与护甲的一流专家。海尔米尔创建的军械库将为你和魂选密院提供精良的装备，以抵御来自各方的敌人。","10","96102","1038","5319","2","5"
"11","克雷雅是位格里恩晋升者，但在还是位候选者时就遇见了你。她向灵魂羁绊伙伴裴拉戈斯和其他格里恩证明，她的追求永不止步、渴望征服任何试炼。克雷雅是你和裴拉戈斯的亲切指导者，她将竭尽全力地保护朋友和晋升堡垒。","13","94873","1040","5320","1","1"
"12","米卡尼科斯是晋升堡垒的一位执事者，他在早年就表现出了无量的前途，很快就成为了掌炉宗师。晋升堡垒许多标志性造物主要都出自于他。他意识到了噬渊行者的潜力，成为了可贵的盟友。无论是心能枯竭还是其他威胁，他都会与你同甘共苦。","18","96348","1041","5322","2","2"
"14","娜德佳，迷雾之刃自称是最伟大的决斗者，她从不安于现状，渴望新的冒险。麻烦的背后总有娜德佳的身影。她随时都能用自己的能力来保卫雷文德斯，这是你的命令，也是她的乐趣。","8","93210","1042","5327","0","9"
"15","癫狂公爵西塔尔知道，就算是疯癫错乱，也必须举止得体！传统的贵族圈子驱逐了他，所以他组建了自己的流放者之廷。无论是用最爱的茶壶编织魔法，还是驱使泥仆为自己撑伞，西塔尔以自己独一无二的古怪方式驾驭着雷文德斯的惊人力量。","9","93223","1043","5328","1","10"
