EffectArg0,Name,HordeName,EffectArg1,EffectArg2,EffectScalingPoints0,EffectScalingPoints1,EffectScalingPoints2,TransmogPlayerConditionId,TransmogCost,IconFileDataId,EffectPointsMin0,EffectPointsMin1,EffectPointsMin2,ItemVisual,Flags,RequiredSkillId,RequiredSkillRank,ItemLevel,Charges,Effect0,Effect1,Effect2,ScalingClass,ScalingClassRestricted,ConditionId,MinLevel,MaxLevel
"13","磨快（+$k1 伤害）","","0","0","0","1","0","0","0","2","50","0","0","0","0","0","3","0","0","0","28","0","33","0","0","0","0"
"14","磨快（+$k1 伤害）","","0","0","0","0.3637","0","0","0","8","50","0","0","0","0","0","4","0","0","0","28","0","33","0","0","0","0"
"15","加固（+$k1 护甲）","","0","0","0","0.072","0","0","0","0","50","0","0","0","0","0","8","0","0","0","0","0","32","0","0","0","0"
"16","加固（+$k1 护甲）","","0","0","0","0.072","0","0","0","2","50","0","0","0","0","0","16","0","0","0","0","0","32","0","0","0","0"
"17","加固（+$k1 护甲）","","0","0","0","0.1","0","0","0","12","50","0","0","0","0","0","24","0","0","0","0","0","32","0","0","0","0"
"18","加固（+$k1 护甲）","","0","0","0","0.13","0","0","0","18","50","0","0","0","0","0","32","0","0","0","0","0","32","0","0","0","0"
"19","增重（+$k1 伤害）","","0","0","0","0.6667","0","0","0","0","50","0","0","0","0","0","2","0","0","0","0","0","33","0","0","0","0"
"20","增重（+$k1 伤害）","","0","0","0","1","0","0","0","2","50","0","0","0","0","0","3","0","0","0","0","0","33","0","0","0","0"
"21","增重（+$k1 伤害）","","0","0","0","0.3637","0","0","0","8","50","0","0","0","0","0","4","0","0","0","0","0","33","0","0","0","0"
"24","+$k1 法力值","","0","0","0","0.1","0","0","0","0","50","0","0","0","0","0","5","0","0","0","0","0","32","0","0","0","0"
"25","暗影之油","","14122","0","0","0","0","0","0","15","50","0","0","0","0","0","15","0","0","0","1","0","0","0","0","0","0"
"26","冰霜之油","","96089","0","0","0","0","0","0","18","50","0","0","0","0","0","10","0","0","0","27","0","0","0","0","0","0"
"27","破甲","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65526","0","0","0","0","0","0","0","0","0","0"
"30","瞄准镜（+$k1 伤害）","","0","0","0","0.08","0","0","0","2","50","0","0","0","0","0","1","0","0","0","0","0","32","0","0","0","0"
"32","瞄准镜（+$k1 伤害）","","0","0","0","0.06","0","0","0","5","50","0","0","0","0","0","2","0","0","0","0","0","32","0","0","0","0"
"33","瞄准镜（+$k1 伤害）","","0","0","0","0.1","0","0","0","12","50","0","0","0","0","0","3","0","0","0","0","0","33","0","0","0","0"
"34","平衡锤 （+$k1 急速）","","36","0","0","0.6","0","0","0","0","50","0","0","0","0","0","20","0","0","0","0","0","32","0","0","0","0"
"36","附魔：火焰","","6297","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0"
"37","钢质武器链","","43588","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"39","磨快（+$k1 伤害）","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"40","磨快（+$k1 伤害）","","0","0","0","0.67","0","0","0","0","50","0","0","0","0","0","2","0","0","0","28","0","33","0","0","0","0"
"41","+$k1 生命值","","1","0","0","0.15","0","0","0","0","50","0","0","0","0","0","5","0","0","0","0","0","32","0","0","0","0"
"43","铁盾刺","","9784","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","吸收 （$7423s1）","","7445","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","吸收 （$7447s1）","","7446","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","+$k1 全能","","40","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"66","+$k1 耐力","","7","0","0","0.072","0","0","0","0","50","0","0","0","0","0","1","0","0","0","0","0","32","0","0","0","0"
"67","+$k1 伤害","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"68","+$k1 力量","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"69","+$k1 力量","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"70","+$k1 力量","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"71","+$k1 耐力","","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"72","+$k1 耐力","","7","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"73","+$k1 耐力","","7","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"74","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"75","+$k1 敏捷","","3","0","0","0.4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","32","0","0","0","0"
"76","+$k1 敏捷","","3","0","0","0.6","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","32","0","0","0","0"
"77","+$k1 伤害","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"78","+$k1 伤害","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"79","+$k1 智力","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"80","+$k1 智力","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"81","+$k1 智力","","5","0","0","0.3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","32","0","0","0","0"
"82","+$k1 全能","","40","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"83","+$k1 全能","","40","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"84","+$k1 全能","","40","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"85","+$k1 护甲","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"86","+$k1 护甲","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"87","+$k1 护甲","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0"
