Id,DisplayName,AlternateVerb,Description,HordeDisplayName,OverrideSourceInfoDisplayName,CategoryId,SpellIconFileId,CanLink,ParentSkillLineId,ParentTierIndex,Flags,SpellBookSpellId
"43","单手剑","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"44","单手斧","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"45","弓","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"46","枪械","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"54","单手锤","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"55","双手剑","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"95","防御","","防御越高，你躲闪、招架和格挡攻击的几率就越高，因此越难以被击中，怪物对你造成爆击的几率也越低。","","","6","136243","0","0","0","640","0"
"98","语言：通用语","","","","","10","136243","0","0","0","128","0"
"101","种族特长 - 矮人","","种族特长 - 矮人","","","9","136243","0","0","0","33938","0"
"109","语言：兽人语","","","","","10","136243","0","0","0","128","0"
"111","语言：矮人语","","","","","10","136243","0","0","0","128","0"
"113","语言：达纳苏斯语","","","","","10","136243","0","0","0","128","0"
"115","语言：牛头人语","","","","","10","136243","0","0","0","128","0"
"118","双武器","","双武器","","","6","136243","0","0","0","146","0"
"124","种族特长 - 牛头人","","种族特长 - 牛头人","","","9","136243","0","0","0","33938","0"
"125","种族特长 - 兽人","","种族特长 - 兽人","","","9","136243","0","0","0","32914","0"
"126","种族特长 - 暗夜精灵","","种族特长 - 暗夜精灵","","","9","136243","0","0","0","33938","0"
"136","法杖","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"137","语言：萨拉斯语","","","","","10","136243","0","0","0","128","0"
"138","语言：龙语","","","","","10","136243","0","0","0","128","0"
"139","语言：恶魔语","","恶魔的扭曲语言。","","","10","236293","0","0","0","128","0"
"140","语言：泰坦语","","","","","10","136243","0","0","0","128","0"
"141","语言：古代语","","","","","10","136243","0","0","0","128","0"
"142","生存技能","","","","","9","136243","0","0","0","0","0"
"148","骑术：马","","","","","9","136243","0","0","0","1170","0"
"149","骑术：狼","","","","","9","136243","0","0","0","1170","0"
"150","骑术：豹","","","","","9","136243","0","0","0","1170","0"
"152","骑术：羊","","","","","9","136243","0","0","0","1170","0"
"155","游泳","","","","","9","136243","0","0","0","0","0"
"160","双手锤","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"162","徒手战斗","","此技能等级越高，你击中目标的几率越高。","","","6","136243","0","0","0","128","0"
"164","锻造","修改","高级的锻造技能使你可以学习高级的锻造设计图。你可以在训练师那里学习新的设计图，也可以通过完成任务或杀死怪物获得新的设计图。","","","11","136241","1","0","0","4224","2018"
"165","制皮","雕饰","高级的制皮技能使你可以学习高级的制皮图样。你可以在训练师那里学习新的图样，也可以通过完成任务或杀死怪物获得新的图样。","","","11","136247","1","0","0","4224","2108"
"171","炼金术","装填","高级的炼金术技能使你可以学习高级的炼金术配方。你可以在训练师那里学习新的配方，也可以通过完成任务或杀死怪物获得新的配方。","","","11","136240","1","0","0","4224","2259"
"172","双手斧","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"173","匕首","","武器技能越高，用该武器击中敌人的几率就越高。","","","6","136243","0","0","0","128","0"
"182","草药学","","高级的草药学技能使你可以采集高级的草药。如果你不能采集某种草药，请先在较低等级的地区采集低等级草药，以此提高你的草药学技能。","","","11","136246","0","0","0","4224","2366"
"183","GENERIC (DND)","","通用技能。","","","12","136243","0","0","0","1170","0"
"185","烹饪","","高级的烹饪技能使你可以学习高级的菜谱。你可以在训练师那里学习新的菜谱，也可以通过完成任务或杀死怪物获得新的菜谱。","","","9","133971","1","0","0","128","2550"
"186","采矿","","高级的采矿技能使你可以采集高级的矿石。如果你不能采集某种矿石，请先在较低等级的地区采集低等级矿石，以此提高你的采矿技能。","","","11","134708","0","0","0","4224","2575"
"188","宠物 - 小鬼","","","","","7","136243","0","0","0","0","0"
"189","宠物 - 地狱猎犬","","","","","7","136243","0","0","0","0","0"
"197","裁缝","刺绣","高级的裁缝技能使你可以学习高级的裁缝图样。你可以在训练师那里学习新的图样，也可以通过完成任务或杀死怪物获得新的图样。","","","11","136249","1","0","0","4224","3908"
"202","工程学","制造","高级的工程学技能使你可以学习高级的工程学图纸。你可以在训练师那里学习新的图纸，也可以通过完成任务或杀死怪物获得新的图纸。","","","11","136243","1","0","0","4224","4036"
"203","宠物 - 蜘蛛","","","","","7","136243","0","0","0","0","0"
"204","宠物 - 虚空行者","","","","","7","136221","0","0","0","0","0"
"205","宠物 - 魅魔","","","","","7","136243","0","0","0","0","0"
