Id,Description,SpecId,SpellId,OverridesSpellId,DisplayOrder
"1","","62","44425","0","4"
"3","","62","5143","0","2"
"4","","62","30451","0","0"
"5","","63","133","0","1"
"7","","63","11366","0","0"
"9","","64","116","0","1"
"10","","64","31687","0","0"
"31","","102","24858","0","1"
"32","","102","78675","0","2"
"37","","103","106839","0","7"
"38","","103","5217","0","1"
"40","","103","1079","0","3"
"45","","104","106839","0","3"
"51","","105","48438","0","7"
"53","","105","88423","0","1"
"56","","105","18562","0","0"
"58","","105","102342","0","4"
"60","","71","12294","0","0"
"451","","70","85256","0","0"
"455","","70","53385","0","1"
"931","","65","53576","0","3"
"941","","65","20473","0","0"
"943","","65","85222","0","6"
"944","","66","31935","0","0"
"945","","66","53600","0","4"
"946","","66","85043","0","5"
"948","","66","105805","0","7"
"950","","66","53592","0","1"
"953","","66","105424","0","2"
"955","","65","53563","0","1"
"958","","72","23881","0","0"
"961","","72","85288","0","1"
"962","","72","46917","0","2"
"982","","103","16949","0","2"
"986","","103","16974","0","4"
"988","","73","23922","0","0"
"991","","73","6572","0","1"
"992","","73","12975","0","2"
"1003","","104","16931","0","1"
"1706","","71","86101","0","1"
"1707","","72","86110","0","3"
"1708","","73","86535","0","3"
"1709","","66","86102","0","6"
"1710","","70","86539","0","2"
"2176","","265","30108","0","0"
"2177","","265","27243","0","2"
"2192","","266","30146","0","2"
"2199","","267","348","0","1"
"2203","","267","29722","686","3"
"2204","","267","80240","0","2"
"2208","","266","105174","0","0"
"2214","","63","108853","0","3"
"2221","","265","980","0","1"
"2248","","256","62618","0","2"
"2249","","256","47540","0","0"
"2251","","256","33206","0","1"
"2259","","257","88625","0","0"
"2262","","257","20711","0","1"
"2265","","257","34861","0","4"
"2266","","257","64843","0","6"
"2267","","257","47788","0","5"
"2270","","257","2060","0","2"
"2275","","258","15407","585","0"
"2276","","258","47585","0","5"
"2279","","258","15487","0","2"
"2281","","258","34914","0","3"
"2291","","102","86104","0","4"
"2292","","103","86097","0","6"
"2296","","104","86096","0","2"
"2329","","253","53270","0","4"
"2331","","253","56315","0","3"
"2335","","253","19574","0","2"
"2353","","259","32645","196819","3"
"2354","","259","1329","1752","2"
"2356","","259","14190","0","4"
"2357","","259","79134","0","5"
"2361","","260","35551","0","2"
"2362","","260","13877","0","1"
"2364","","260","13750","0","3"
"2370","","261","53","0","0"
