Id,Name,Description,Filedataid
"1","Overflowing","Healing in excess of a target's maximum health is instead converted to a heal absorption effect.","463570"
"2","Skittish","Enemies pay far less attention to threat generated by tanks.","135994"
"3","Volcanic","While in combat, enemies periodically cause gouts of flame to erupt beneath the feet of distant players.","451169"
"4","Necrotic","All enemies' melee attacks apply a stacking blight that inflicts damage over time and reduces healing received.","1029009"
"5","Teeming","Additional non-boss enemies are present throughout the dungeon.","136054"
"6","Raging","Non-boss enemies enrage at 30% health remaining, dealing 100% increased damage until defeated.","132345"
"7","Bolstering","When any non-boss enemy dies, its death cry empowers nearby allies, increasing their maximum health and damage by 20%.","132333"
"8","Sanguine","When slain, non-boss enemies leave behind a lingering pool of ichor that heals their allies and damages players.","136124"
"9","Tyrannical","Boss enemies have 40% more health and inflict up to 15% increased damage.","236401"
"10","Fortified","Non-boss enemies have 20% more health and inflict up to 30% increased damage.","463829"
"11","Bursting","When slain, non-boss enemies explode, causing all players to suffer 14% of their max health in damage over 4 sec. This effect stacks.","1035055"
"12","Grievous","When injured below 90% health, players will suffer increasing damage over time until healed above 90% health.","132090"
"13","Explosive","While in combat, enemies periodically summon Explosive Orbs that will detonate if not destroyed.","2175503"
"14","Quaking","Periodically, all players emit a shockwave, inflicting damage and interrupting nearby allies.","136025"
"15","Relentless","Non-boss enemies are granted temporary immunity to Loss of Control effects.","132739"
"16","Infested","Some non-boss enemies have been infested with a Spawn of G'huun.","2032223"
"117","Reaping","Non-boss enemies are empowered by Bwonsamdi and periodically seek vengeance from beyond the grave.","2446016"
"119","Beguiling","Azshara's Emissaries are present throughout the dungeon.","237565"
"120","Awakened","Obelisks throughout the dungeon allow players to enter Ny'alotha and confront powerful servants of N'Zoth. If a servant is not dealt with, they must be faced during the final boss encounter.","442737"
