Id,Name,MapId,Flags,CriteriaCount0,CriteriaCount1,CriteriaCount2
"2","Temple of the Jade Serpent","960","2","2700","1500","900"
"56","Stormstout Brewery","961","2","2700","1260","720"
"57","Gate of the Setting Sun","962","2","2700","1320","780"
"58","Shado-Pan Monastery","959","2","3600","2100","1260"
"59","Siege of Niuzao Temple","1011","2","3000","1800","1050"
"60","Mogu'shan Palace","994","2","2700","1440","720"
"76","Scholomance","1007","2","3300","1980","1140"
"77","Scarlet Halls","1001","2","2700","1320","780"
"78","Scarlet Monastery","1004","2","2700","1320","780"
"161","Skyreach","1209","2","3400","1700","1020"
"163","Bloodmaul Slag Mines","1175","2","3600","2100","1320"
"164","Auchindoun","1182","2","3300","1920","1140"
"165","Shadowmoon Burial Grounds","1176","2","3600","1800","1050"
"166","Grimrail Depot","1208","2","3000","1500","870"
"167","Upper Blackrock Spire","1358","2","5100","2580","1500"
"168","The Everbloom","1279","2","3600","1800","1050"
"169","Iron Docks","1195","2","3600","2040","1200"
"197","Eye of Azshara","1456","6","2100","1680","1260"
"198","Darkheart Thicket","1466","6","1800","1440","1080"
"199","Black Rook Hold","1501","6","2340","1872","1404"
"200","Halls of Valor","1477","6","2700","2160","1620"
"206","Neltharion's Lair","1458","6","1980","1584","1188"
"207","Vault of the Wardens","1493","6","1980","1584","1188"
"208","Maw of Souls","1492","6","1440","1152","864"
"209","The Arcway","1516","6","2700","2160","1620"
"210","Court of Stars","1571","6","1800","1440","1080"
"227","Return to Karazhan: Lower","1651","6","2340","1872","1404"
"233","Cathedral of Eternal Night","1677","6","2100","1680","1260"
"234","Return to Karazhan: Upper","1651","2","2100","1680","1260"
"239","Seat of the Triumvirate","1753","6","2100","1680","1260"
"244","Atal'Dazar","1763","4","1800","1440","1080"
"245","Freehold","1754","4","1980","1584","1188"
"246","Tol Dagor","1771","4","2160","1728","1296"
"247","The MOTHERLODE!!","1594","4","2340","1872","1404"
"248","Waycrest Manor","1862","4","2340","1872","1404"
"249","Kings' Rest","1762","4","2520","2016","1512"
"250","Temple of Sethraliss","1877","4","2160","1728","1296"
"251","The Underrot","1841","4","1980","1584","1188"
"252","Shrine of the Storm","1864","4","2520","2016","1512"
"353","Siege of Boralus","1822","4","2160","1728","1296"
"369","Operation: Mechagon - Junkyard","2097","4","2280","1824","1368"
"370","Operation: Mechagon - Workshop","2097","4","1920","1536","1152"
