Id,Name,Unknown1
"1","Doug Test","1"
"2","Doug Test 2","0"
"3","Akunda the Akunda","1"
"4","Akunda the All-Knowing","1"
"5","Akunda the Anxious","1"
"6","Akunda the Astute","1"
"7","Akunda the Bemused","1"
"8","Akunda the Callous","1"
"9","Akunda the Clever","1"
"10","Akunda the Condemned","1"
"11","Akunda the Coy","1"
"12","Akunda the Eccentric","1"
"13","Akunda the Effusive","1"
"14","Akunda the Enabler","1"
"15","Akunda the Forgetful","1"
"16","Akunda the Loyal","1"
"17","Akunda the Oblivious","1"
"18","Akunda the Original","1"
"19","Akunda the Passive-Agressive","1"
"20","Akunda the Regretful","1"
"21","Akunda the Renowned","1"
"22","Akunda the Reverent","1"
"23","Akunda the Richmon","1"
"24","Akunda the Unique","1"
"25","Akunda the Unwavering","1"
"26","Sated Snapdragon","1"
"27","Droozen","1"
"28","Ghaanam","1"
"29","Thoodhon","1"
"30","Greenom","1"
"31","Pryyshin","1"
"32","Flaadym","1"
"33","Khaalum","1"
"34","Maagrym","1"
"58","Manifestation of Fear","0"
"69","Bitey McStabface","0"
"70","Yu'gaz","0"
"71","Reginald","0"
"72","Spike","0"
