Id,Title,GarrTypeId,ClassId,MaxTiers,UiOrder,Flags,UiTextureKitId,GarrTalentTreeType
"4","","3","10","7","0","0","0","0"
"31","","3","7","7","0","0","0","0"
"107","","3","11","7","0","0","0","0"
"110","","3","9","7","0","0","0","0"
"113","","3","3","7","0","0","0","0"
"116","","3","8","7","0","0","0","0"
"119","","3","2","7","0","0","0","0"
"122","","3","1","7","0","0","0","0"
"125","","3","12","7","0","0","0","0"
"128","","3","6","7","0","0","0","0"
"131","","3","4","7","0","0","0","0"
"134","","3","5","7","0","0","0","0"
"150","","3","0","8","0","0","0","1"
"151","","3","0","7","0","0","253","0"
"152","War Research","9","0","6","0","1","0","0"
"153","War Research","9","0","6","0","1","0","0"
"260","Visions Research [NYI]","9","0","6","0","0","253","0"
"263","MOTHER's Research - Solo","9","0","4","0","0","253","0"
"264","MOTHER's Research - Group","9","0","4","0","0","253","0"
"265","MOTHER's Research - Gambler","9","0","2","0","0","253","0"
"266","MOTHER's Research - Speedrunner","9","0","2","0","0","253","0"
"267","MOTHER's Research - Explorer","9","0","3","0","0","253","0"
"268","MOTHER's Research - Milestones","9","0","2","0","0","253","1"
"271","MOTHER's Research","9","0","6","0","0","5273","1"
