Id,Description,MapId
"42","Flag Captures","489"
"44","Flag Returns","489"
"61","Towers Assaulted","30"
"63","Graveyards Assaulted","30"
"64","Towers Defended","30"
"65","Graveyards Defended","30"
"82","Secondary Objectives","30"
"122","Bases Assaulted","529"
"123","Bases Defended","529"
"183","Flag Captures","566"
"215","Walls Destroyed","571"
"216","Buildings Destroyed","571"
"231","Gates Destroyed","607"
"232","Demolishers Destroyed","607"
"245","Bases Assaulted","628"
"246","Bases Defended","628"
"290","Flag Captures","726"
"291","Flag Returns","726"
"370","Bases Assaulted","761"
"371","Bases Defended","761"
"391","Bases Assaulted","968"
"392","Bases Defended","968"
"393","Flag Captures","968"
"418","Orb Possessions","998"
"419","Victory Points","998"
"422","Flag Captures","1010"
"423","Flag Returns","1010"
"428","Carts Controlled","727"
"457","Carts Captures","1105"
"458","Carts Returned","1105"
"459","Mines Assaulted","1105"
"460","Mines Defended","1105"
"501","Score","451"
"679","Bases Assaulted","1681"
"680","Bases Defended","1681"
"688","Bases Assaulted","2177"
"690","Bases Defended","2177"
"744","Azerite Collected","1803"
"762","Flag Captures","1740"
"763","Flag Returns","1740"
"923","Ingredients Gathered","1691"
"926","Bases Assaulted","2107"
"927","Bases Defended","2107"
"928","Flag Captures","2106"
"929","Flag Returns","2106"
"931","Artifacts Collected","1191"
"1001","Bases Assaulted","2245"
"1002","Bases Defended","2245"
"1003","Towers Assaulted","2197"
"1004","Secondary Objectives","2197"
"1005","Graveyards Defended","2197"
"1006","Towers Defended","2197"
"1007","Graveyards Assaulted","2197"
