Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","Test Brawl","Test brawl description.","","0","2041"
"2","Brawl: Southshore vs. Tarren Mill","Team Deathmatch","- Slay enemy players to earn points
- Honorable kills increase your rank
- Higher ranked kills reward more points","789","0"
"3","Brawl: Temple of Hotmogu","Orbs of Power","- Haste increased
- Movement speed increased
- Respawn times decreased","858","0"
"4","Brawl: Gravity Lapse","Elevated Domination","- Gravity changes at regular intervals
- The flag carrier will be weighed down
- Everyone else will be launched up","859","0"
"5","Brawl: Arathi Blizzard","Frosty Domination","- Capture objectives
- Visbility is reduced
- Terrain has frozen","847","0"
"6","Brawl: Deepwind Dunk","Dunkball","- Pick up balls at the mines
- Bring balls to the enemy base
- Shoot or dunk the balls","860","0"
"7","Brawl: Eye of the Horn","Goat Domination","- Enjoy your goat mount!
- Your goat has a knockback
- Distance strengthens the knockback","862","0"
"8","Brawl: Packed House","15v15 Arena","- Team Deathmatch
- 15 players per team
- Last team standing wins","866","0"
"9","Brawl: Warsong Scramble","Capture the Flags","- Each team has multiple flags
- Capture only requires one flag
- Grab random buff cubes","861","0"
"10","Brawl: Shado-Pan Showdown","5v5 Arena","- 5v5 Arena
- Defeat opposing team's Mogu boss to win
- Collect the summoned chest for a power-up","853","0"
"11","Brawl: Deep Six","6v6 Battlegrounds","- 6 players per team
- New game modes","879","0"
"12","Brawl: Deep Six  - The Battle for Gilneas","6v6 Battlegrounds","- 6 players per team
- New game modes","885","0"
"13","Brawl: Deep Six  - Warsong Gulch","6v6 Battlegrounds","- 6 players per team
- New game modes","886","0"
"14","Brawl: Deep Six  - Silvershard Mines","6v6 Battlegrounds","- 6 players per team
- New game modes","883","0"
"15","Brawl: Deep Six  - Temple of Kotmogu","6v6 Battlegrounds","- 6 players per team
- New game modes","884","0"
"16","Brawl: Deep Six  - Eye of the Storm","6v6 Battlegrounds","- 6 players per team
- New game modes","882","0"
"17","Brawl: Cooking: Impossible","Gathering Race","- Gather ingredients around the farm, and bring them back to your cook
- First to gather enough ingredients wins!
- Defeat the opposing faction's Thumper to gain their allegiance","887","0"
"18","Brawl: Stocked House","Team Deathmatch","- Team Deathmatch
- 3 players per team
- First two deaths on each team are instantly resurrected","905","0"
"19","Seething Shore","Collect Azerite","Large quantities of Azerite has been discovered off the coast of Feralas in a forgotten unexplored island now known as the Seething Shore.","894","0"
"120","Brawl: Classic Ashran","Endless Epic Battleground","- The battle in Ashran never ends!
- Slay the opposing faction's leader and dominate events for rewards
- Gather Artifact Fragments from creatures and turn-in for buffs for your faction","1021","0"
"121","Brawl: Comp Stomp","Domination","- Capture objectives
- Slay enemies
- Win","0","1966"
"122","Wintergrasp","Defend or Assault Wintergrasp","- Defend the Fortress as Defense
- Destroy the final wall in the Fortress as Offense","1030","0"
"123","Brawl: Teeming Island","10 v 10 Island","We're going to need a bigger boat...","0","2025"
"124","Korrak's Revenge","WoW 15th Anniversary Event","","1033","0"
"125","Deepwind Gorge","Capture the objectives","- Capture and hold the objectives
- Earn 1500 resources","1039","0"
