Id,AreaName,OrderIndex,PlayerConditionId,AreaId
"1","失落之光密室","0","68604","9994"
"2","工匠平台","1","63282","8670"
"3","落锚酒吧","0","63448","9401"
"4","迷醉坦克酒吧","0","63426","9617"
"5","沉浮酒吧","0","5703","9617"
"6","海曼的避风港","0","63291","8502"
"7","海沙酒吧","0","63292","8733"
"8","惊叫地穴","0","5703","9698"
"9","托加的旅馆","0","63306","8502"
"10","巨鲸之胃","0","63374","8567"
"11","苦工藏身处","0","65214","5484"
"12","格洛恩的岩洞","0","65990","9420"
"13","格洛恩的岩洞","0","65990","8731"
"15","安全屋","0","67602","9979"
"16","安全屋","0","67602","8717"
"17","安度因之怒号","0","67138","10454"
"18","黎明水手号","0","67139","10454"
"19","蒂芬之歌号","0","67140","10454"
"20","雄狮之心号","0","67141","10454"
"21","雄狮之心号","0","67141","10455"
"22","蒂芬之歌号","0","67140","10455"
"23","黎明水手号","0","67139","10455"
"24","安度因之怒号","0","67138","10455"
"25","神灵之光","0","68603","9994"
