Id,Name,Filename,NameMale,NameFemale,PetNameToken,CreateScreenFileDataId,SelectScreenFileDataId,IconFileDataId,LowResScreenFileDataId,StartingLevel,SpellTextureFileDataId,Flags,CinematicSequenceId,DefaultSpec,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet
"1","战士","WARRIOR","战士","战士","PET","0","0","626008","0","1","791568","5170","0","71","5","1","0","0","1","4"
"2","圣骑士","PALADIN","圣骑士","圣骑士","PET","0","0","626003","0","1","791563","4154","0","70","5","0","0","0","1","10"
"3","猎人","HUNTER","猎人","猎人","PET","0","0","626000","0","1","791560","406","0","253","2","2","1","1","0","9"
"4","潜行者","ROGUE","潜行者","潜行者","PET","0","0","626005","0","1","791565","4098","0","259","3","3","1","1","0","8"
"5","牧师","PRIEST","牧师","牧师","PET","0","0","626004","0","1","791564","2","0","256","0","0","0","0","0","6"
"6","死亡骑士","DEATHKNIGHT","死亡骑士","死亡骑士","PET","236082","236082","135771","1560617","55","791558","9338","165","251","5","6","0","0","1","15"
"7","萨满祭司","SHAMAN","萨满祭司","萨满祭司","PET","0","0","626006","0","1","791566","26","0","262","0","0","0","1","0","11"
"8","法师","MAGE","法师","法师","PET","0","0","626001","0","1","791561","4098","0","62","0","0","0","0","0","3"
"9","术士","WARLOCK","术士","术士","DEMON","0","0","626007","0","1","791567","134","0","265","0","0","0","0","0","5"
"10","武僧","MONK","武僧","武僧","PET","0","0","626002","0","1","791562","1538","0","268","2","3","0","1","0","53"
"11","德鲁伊","DRUID","德鲁伊","德鲁伊","PET","0","0","625999","0","1","791559","10","0","102","0","0","0","1","0","7"
"12","恶魔猎手","DEMONHUNTER","恶魔猎手","恶魔猎手","PET","1305036","1305036","236415","1560446","98","1004940","75","0","577","3","17","0","1","0","107"
