Id,Name,MapId,Flags,CriteriaCount0,CriteriaCount1,CriteriaCount2
"2","青龙寺","960","2","2700","1500","900"
"56","风暴烈酒酿造厂","961","2","2700","1260","720"
"57","残阳关","962","2","2700","1320","780"
"58","影踪禅院","959","2","3600","2100","1260"
"59","围攻砮皂寺","1011","2","3000","1800","1050"
"60","魔古山宫殿","994","2","2700","1440","720"
"76","通灵学院","1007","2","3300","1980","1140"
"77","血色大厅","1001","2","2700","1320","780"
"78","血色修道院","1004","2","2700","1320","780"
"161","通天峰","1209","2","3400","1700","1020"
"163","血槌炉渣矿井","1175","2","3600","2100","1320"
"164","奥金顿","1182","2","3300","1920","1140"
"165","影月墓地","1176","2","3600","1800","1050"
"166","恐轨车站","1208","2","3000","1500","870"
"167","黑石塔上层","1358","2","5100","2580","1500"
"168","永茂林地","1279","2","3600","1800","1050"
"169","钢铁码头","1195","2","3600","2040","1200"
"197","艾萨拉之眼","1456","6","2100","1680","1260"
"198","黑心林地","1466","6","1800","1440","1080"
"199","黑鸦堡垒","1501","6","2340","1872","1404"
"200","英灵殿","1477","6","2700","2160","1620"
"206","奈萨里奥的巢穴","1458","6","1980","1584","1188"
"207","守望者地窟","1493","6","1980","1584","1188"
"208","噬魂之喉","1492","6","1440","1152","864"
"209","魔法回廊","1516","6","2700","2160","1620"
"210","群星庭院","1571","6","1800","1440","1080"
"227","重返卡拉赞（下层）","1651","6","2340","1872","1404"
"233","永夜大教堂","1677","6","2100","1680","1260"
"234","重返卡拉赞（上层）","1651","2","2100","1680","1260"
"239","执政团之座","1753","6","2100","1680","1260"
"244","阿塔达萨","1763","4","1800","1440","1080"
"245","自由镇","1754","4","1980","1584","1188"
"246","托尔达戈","1771","4","2160","1728","1296"
"247","暴富矿区！！","1594","4","2340","1872","1404"
"248","维克雷斯庄园","1862","4","2340","1872","1404"
"249","诸王之眠","1762","4","2520","2016","1512"
"250","塞塔里斯神庙","1877","4","2160","1728","1296"
"251","地渊孢林","1841","4","1980","1584","1188"
"252","风暴神殿","1864","4","2520","2016","1512"
"353","围攻伯拉勒斯","1822","4","2160","1728","1296"
"369","麦卡贡行动 - 垃圾场","2097","4","2280","1824","1368"
"370","麦卡贡行动 - 车间","2097","4","1920","1536","1152"
