Id,Name,LocaleMask,CreateCharsetMask,ExistingCharsetMask,Flags
"1","开发","0","0","0","0"
"2","太平洋时间","0","1","1","0"
"3","Oceanic","0","1","1","0"
"4","拉丁美洲","0","1","1","0"
"5","锦标赛","0","1","1","1"
"6","韩国","0","10","10","0"
"7","锦标赛","0","10","10","1"
"8","英国","3277","1","1","0"
"9","德国","3277","1","1","0"
"10","法国","3277","1","1","0"
"11","Spanish","3277","1","1","0"
"12","俄国","256","4","4","0"
"13","锦标赛","3277","1","1","1"
"14","中国台湾","0","17","17","0"
"15","锦标赛","0","17","17","1"
"16","中国","0","17","17","0"
"17","一区","0","17","17","0"
"18","二区","0","17","17","0"
"19","三区","0","17","17","0"
"20","四区","0","17","17","0"
"21","五区","0","17","17","0"
"22","六区","0","17","17","0"
"23","七区","0","17","17","0"
"24","八区","0","17","17","0"
"26","Test Server","0","0","0","0"
"27","锦标赛","0","0","0","1"
"28","QA Server","0","0","0","0"
"29","九区","0","17","17","0"
"30","Test Server 2","0","0","0","0"
"31","十区","0","17","17","0"
"32","电信大区","0","17","17","0"
"33","网通大区","0","17","17","0"
"34","一/四区","0","17","17","0"
"35","二/六/九区","0","17","17","0"
"36","三/七区","0","17","17","0"
"37","五/八区","0","17","17","0"
"38","俄罗斯锦标赛","256","4","4","1"
"39","十一区","0","17","17","0"
"40","十二区","0","17","17","0"
"41","十三区","0","17","17","0"
"42","十四区","0","17","17","0"
"43","十五区","0","17","17","0"
"44","十六区","0","17","17","0"
"45","十七区","0","17","17","0"
"46","十八区","0","17","17","0"
"47","十九区","0","17","17","0"
"48","二十区","0","17","17","0"
"49","巴西","0","1","1","0"
"50","意大利","3277","1","1","0"
"51","Hyrule","0","0","0","0"
"52","QA2 Test","0","0","0","0"
"55","推荐服务器","0","17","17","0"
"56","Test","0","1","1","0"
"58","Future Test","0","1","1","0"
"159","Regional Test","0","0","0","0"
"160","怀旧服务器","0","0","0","0"
"162","美国西部","0","1","1","0"
"163","美国东部","0","1","1","0"
"25","锦标赛","0","17","17","1"
"161","怀旧服务器","0","0","0","0"
