Id,Name,OrderIndex
"1","Siege of Orgrimmar","1"
"2","Eastern Kingdoms","0"
"3","Kalimdor","0"
"5","Deadmines","0"
"6","Bloodmaul Slag Mines","0"
"7","Iron Docks","0"
"8","Auchindoun","0"
"9","Skyreach","0"
"10","Grimrail Depot","0"
"11","The Everbloom","0"
"12","Shadowmoon Burial Grounds","0"
"13","Upper Blackrock Spire","0"
"14","Highmaul","0"
"15","Blackrock Foundry","0"
"16","Naxxramas","0"
"17","Icecrown Citadel","0"
"18","Scholomance","0"
"19","Shadowfang Keep","0"
"20","Hellfire Ramparts","0"
"21","Blood Furnace","0"
"22","Shattered Halls","0"
"23","Slave Pens","0"
"24","Underbog","0"
"25","The Steamvault","0"
"26","Mana-Tombs","0"
"27","Auchenai Crypts","0"
"28","Sethekk Halls","0"
"29","Shadow Labyrinth","0"
"30","Scarlet Halls","0"
"31","Scarlet Monastery","0"
"32","The Escape from Durnholde","0"
"33","Opening of the Dark Portal","0"
"34","The Mechanar","0"
"35","The Botanica","0"
"36","The Arcatraz","0"
"37","Magisters' Terrace","0"
"38","Utgarde Keep","0"
"39","Utgarde Pinnacle","0"
"40","Azjol-Nerub","0"
"41","The Oculus","0"
"42","Halls of Lightning","0"
"43","Halls of Stone","0"
"44","The Culling of Stratholme","0"
"45","Drak'Tharon Keep","0"
"46","Gundrak","0"
"47","Ahn'kahet: The Old Kingdom","0"
"48","Violet Hold","0"
"49","The Nexus","0"
"50","Trial of the Champion","0"
"51","The Forge of Souls","0"
"52","Pit of Saron","0"
"53","Halls of Reflection","0"
"54","Throne of the Tides","0"
"55","Blackrock Caverns","0"
"56","Grim Batol","0"
"57","Halls of Origination","0"
"58","The Stonecore","0"
"59","The Vortex Pinnacle","0"
"60","Lost City of the Tol'vir","0"
"61","Temple of the Jade Serpent","0"
"62","Stormstout Brewery","0"
"63","Shado-Pan Monastery","0"
"64","Mogu'shan Palace","0"
"65","Siege of Niuzao Temple","0"
"66","Gate of the Setting Sun","0"
"68","Draenor","0"
"69","Outland","0"
"70","Northrend","0"
"71","Pandaria","0"
"73","Trial of the Crusader","0"
"74","The Ruby Sanctum","0"
"75","Blackwing Descent","0"
"76","The Bastion of Twilight","0"
"77","Throne of the Four Winds","0"
"78","Firelands","0"
"79","Dragon Soul","0"
"80","Mogu'shan Vaults","5"
"81","Heart of Fear","4"
"82","Terrace of Endless Spring","3"
"83","Throne of Thunder","2"
"84","Random Pandaria Dungeon","0"
"86","Theramore's Fall","0"
"102","A Brewing Storm","0"
"103","Battle on the High Seas","0"
"104","Blood in the Snow","0"
"105","Crypt of Forgotten Kings","0"
"106","Dark Heart of Pandaria","0"
"107","Random Pandaria Scenario","0"
"108","The Secrets of Ragefire","0"
"109","Random Draenor Dungeon","0"
"110","Hellfire Citadel","0"
"111","Random Legion Dungeon","0"
"112","Eye of Azshara","0"
"113","Darkheart Thicket","0"
"114","Halls of Valor","0"
"115","Neltharion's Lair","0"
"116","Assault on Violet Hold","0"
"117","Vault of the Wardens","0"
"118","Black Rook Hold","0"
"119","Maw of Souls","0"
"120","Court of Stars","0"
"121","The Arcway","0"
"122","Emerald Nightmare","0"
"123","The Nighthold","3"
"124","Broken Isles","0"
"125","Return to Karazhan","0"
"126","Trial of Valor","2"
"127","Lower Karazhan","0"
"128","Upper Karazhan","0"
"129","Cathedral of Eternal Night","0"
"130","Dreadscar Rift","0"
"131","Tomb of Sargeras","4"
"132","Antorus, the Burning Throne","5"
"133","Seat of the Triumvirate","0"
"134","Argus","0"
"135","Uldir","0"
"136","Random Battle for Azeroth Dungeon","0"
"137","Atal'Dazar","0"
"138","The Underrot","0"
"139","Temple of Sethraliss","0"
"140","THE MOTHERLODE!!","0"
"141","Kings' Rest","0"
"142","Freehold","0"
"143","Shrine of the Storm","0"
"144","Tol Dagor","0"
"145","Waycrest Manor","0"
"146","Siege of Boralus","0"
"247","Kul Tiras","0"
"248","Zandalar","0"
"249","Island Expeditions","0"
"251","Battle of Dazar'alor","0"
"252","Crucible of Storms","0"
"253","Operation: Mechagon","0"
"254","The Eternal Palace","0"
"255","Battle for Stromgarde","0"
"256","Operation: Mechagon - Junkyard","0"
"257","Operation: Mechagon - Workshop","0"
"258","Ny'alotha, the Waking City","0"
"259","Plaguefall","0"
"260","De Other Side","0"
"261","Halls of Atonement","0"
"262","Mists of Tirna Scithe","0"
"263","Sanguine Depths","0"
"264","Spires of Ascension","0"
"265","The Necrotic Wake","0"
"266","Theater of Pain","0"
"267","Castle Nathria","0"
"269","World Bosses","0"
"67","The Everbloom","0"
