Id,DisplayName,AlternateVerb,Description,HordeDisplayName,OverrideSourceInfoDisplayName,CategoryId,SpellIconFileId,CanLink,ParentSkillLineId,ParentTierIndex,Flags,SpellBookSpellId
"43","Swords","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
"44","Axes","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
"45","Bows","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
"46","Guns","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
"54","Maces","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
"55","Two-Handed Swords","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
"95","Defense","","Higher defense improves your chance to dodge, parry, and block attacks, makes you harder to hit,  and makes monsters less likely to land a critical strike against you.","","","6","136243","0","0","0","640","0"
"98","Language: Common","","","","","10","136243","0","0","0","128","0"
"101","Racial - Dwarf","","Racial - Dwarf","","","9","136243","0","0","0","33938","0"
"109","Language: Orcish","","","","","10","136243","0","0","0","128","0"
"111","Language: Dwarven","","","","","10","136243","0","0","0","128","0"
"113","Language: Darnassian","","","","","10","136243","0","0","0","128","0"
"115","Language: Taurahe","","","","","10","136243","0","0","0","128","0"
"118","Dual Wield","","Dual Wield","","","6","136243","0","0","0","146","0"
"124","Racial - Tauren","","Racial - Tauren","","","9","136243","0","0","0","33938","0"
"125","Racial - Orc","","Racial - Orc","","","9","136243","0","0","0","32914","0"
"126","Racial - Night Elf","","Racial - Night Elf","","","9","136243","0","0","0","33938","0"
"136","Staves","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
"137","Language: Thalassian","","","","","10","136243","0","0","0","128","0"
"138","Language: Draconic","","","","","10","136243","0","0","0","128","0"
"139","Language: Demon Tongue","","The twisted language of demons.","","","10","236293","0","0","0","128","0"
"140","Language: Titan","","","","","10","136243","0","0","0","128","0"
"141","Language: Old Tongue","","","","","10","136243","0","0","0","128","0"
"142","Survival","","","","","9","136243","0","0","0","0","0"
"148","Horse Riding","","","","","9","136243","0","0","0","1170","0"
"149","Wolf Riding","","","","","9","136243","0","0","0","1170","0"
"150","Tiger Riding","","","","","9","136243","0","0","0","1170","0"
"152","Ram Riding","","","","","9","136243","0","0","0","1170","0"
"155","Swimming","","","","","9","136243","0","0","0","0","0"
"160","Two-Handed Maces","","Higher weapon skill increases your chance to hit.","","","6","136243","0","0","0","128","0"
