Id,Name,OField_9_0_1_34081_002,Flags,ChrModelId,OrderIndex,ChrCustomizationCategoryId,OptionType,CameraZoom,ChrCustomizationId,Field_9_0_1_34615_010
"1","Skin Color","1","16","0","0","2","0","1","0","0"
"2","Face","2","0","0","1","2","0","1","0","0"
"3","Hair Style","3","0","0","2","4","0","1","0","0"
"4","Hair Color","4","0","0","3","4","0","1","0","0"
"5","Facial Hair","5","0","0","4","4","0","1","0","0"
"6","Tattoo Style","6","8","0","5","5","0","1","0","0"
"7","Horn Style","7","0","0","6","2","0","1","0","0"
"8","Blindfolds","8","8","0","7","2","0","1","0","0"
"9","Skin Color","9","80","1","2","2","0","10","1","0"
"10","Face","10","128","1","1","2","0","2","2","0"
"11","Hair Style","11","0","1","3","2","0","1","3","0"
"12","Hair Color","12","2","1","4","2","0","1","4","0"
"13","Beard","13","0","1","6","2","0","0.75","5","0"
"14","Skin Color","14","80","2","2","2","0","10","1","0"
"15","Face","15","128","2","1","2","0","2","2","0"
"16","Hair Style","16","0","2","3","2","0","1","3","0"
"17","Hair Color","17","2","2","4","2","0","1","4","0"
"19","Skin Color","19","80","3","2","2","0","10","1","0"
"20","Face","20","128","3","1","2","0","2","2","0"
"21","Hair Style","21","0","3","3","2","0","1","3","0"
"22","Hair Color","22","2","3","4","2","0","1","4","0"
"23","Beard","23","0","3","5","2","0","0.75","5","0"
"24","Upright","24","40","3","24","5","1","10","46","0"
"25","Skin Color","25","80","4","2","2","0","10","1","0"
"26","Face","26","128","4","1","2","0","2","2","0"
"27","Hair Style","27","0","4","3","2","0","1","3","0"
"28","Hair Color","28","2","4","4","2","0","1","4","0"
"29","Earrings","29","8","4","10","3","0","0.75","11","0"
"30","Skin Color","30","80","5","2","16","0","10","1","0"
"31","Face","31","128","5","1","16","0","2","2","0"
"32","Hair Style","32","0","5","3","16","0","1","3","0"
"33","Hair Color","33","2","5","4","16","0","1","4","0"
"34","Beard","34","0","5","6","16","0","0.75","5","0"
"35","Skin Color","35","80","6","2","2","0","10","1","0"
"36","Face","36","128","6","1","2","0","2","2","0"
"37","Hair Style","37","0","6","3","2","0","1","3","0"
"38","Hair Color","38","2","6","4","2","0","1","4","0"
"40","Skin Color","40","80","7","2","2","0","10","1","0"
"41","Face","41","128","7","1","2","0","2","2","0"
"42","Hair Style","42","0","7","3","2","0","1","3","0"
"43","Hair Color","43","2","7","4","2","0","1","4","0"
"44","Beard","44","0","7","7","2","0","0.75","5","0"
"46","Tattoo Color","46","11","7","32","5","0","1","9","0"
"47","Horns","47","8","7","19","3","0","1","7","0"
"48","Blindfold","48","8","7","20","3","0","1","8","0"
"49","Skin Color","49","80","8","2","2","0","10","1","0"
"50","Face","50","128","8","1","2","0","2","2","0"
"51","Hair Style","51","0","8","3","2","0","1","3","0"
"52","Hair Color","52","2","8","4","2","0","1","4","0"
"53","Markings","53","40","8","13","3","0","0.75","13","0"
"55","Tattoo Color","55","11","8","24","5","0","1","9","0"
"56","Horns","56","8","8","20","5","0","1","7","0"
"57","Blindfold","57","8","8","10","3","0","1","8","0"
"58","Skin Color","58","16","9","3","13","0","10","1","0"
"59","Face","59","0","9","1","13","0","2","2","0"
"60","Hair Style","60","0","9","4","13","0","1","3","0"
"61","Hair Color","61","2","9","5","13","0","1","4","0"
"62","Jaw Features","62","40","9","6","13","0","0.75","14","0"
"63","Skin Color","63","16","10","3","13","0","10","1","0"
"64","Face","64","0","10","1","13","0","2","2","0"
"65","Hair Style","65","0","10","4","13","0","1","3","0"
"66","Hair Color","66","2","10","5","13","0","1","4","0"
"67","Jaw Features","67","40","10","7","13","0","0.75","14","0"
"68","Skin Color","68","80","11","2","18","0","10","165","0"
"71","Horn Style","70","0","11","3","18","0","1","16","0"
"72","Horn Color","71","2","11","4","18","0","1","17","0"
"73","Facial Hair","72","0","11","7","18","0","0.75","164","0"
"74","Skin Color","73","80","12","2","18","0","10","165","0"
"77","Horn Style","75","0","12","3","18","0","1","16","0"
"78","Horn Color","76","2","12","4","18","0","1","17","0"
"79","Hair","77","0","12","6","18","0","0.75","15","0"
"80","Skin Color","78","80","13","2","2","0","10","1","0"
"81","Face","79","128","13","1","2","0","2","2","0"
"82","Hair Style","80","0","13","3","2","0","1","3","0"
"83","Hair Color","81","2","13","4","2","0","1","4","0"
"84","Beard","82","0","13","6","2","0","0.75","5","0"
"85","Skin Color","83","80","14","2","2","0","10","1","0"
"86","Face","84","128","14","1","2","0","2","2","0"
"87","Hair Style","85","0","14","3","2","0","1","3","0"
