Id,Text,SortIndex,MinLevel,MaxLevel
"201","|cffffd100Tip:|r Your spell casting can be canceled by moving, jumping or hitting the <ESC> key.","2","20","250"
"221","|cffffd100Tip:|r Press the 'M' key to see your map.","0","1","60"
"222","|cffffd100Tip:|r You can <Ctrl>-click on an item to see how you would look wearing that item.","4","20","250"
"223","|cffffd100Tip:|r An item with its name in gray is a Poor quality item and generally should be sold to a vendor.","5","6","250"
"224","|cffffd100Tip:|r An item with its name in white is useful to players in some way and can be used or sold at the auction house.","6","20","250"
"225","|cffffd100Tip:|r You can send mail to other players on your realm or even to your other characters from any mailbox in game.","7","20","250"
"226","|cffffd100Tip:|r You can <Shift>-click on an item to place an item link into a chat message.","8","40","250"
"227","|cffffd100Tip:|r You can remap the keyboard inputs for your action bars by hitting <ESC> and using the Key Bindings interface.","11","40","250"
"229","|cffffd100Tip:|r If a target on your minimap is gray, it's inside a cave or interior place you aren't currently in.","12","0","0"
"230","|cffffd100Tip:|r You can perform many fun actions with the emote system, such as typing /dance to dance!","17","40","250"
"231","|cffffd100Tip:|r Access the Interface menu by hitting <Esc> to customize your game options.","20","20","250"
"234","|cffffd100Tip:|r A mail icon next to the minimap means that you've got mail! Visit a mailbox to retrieve it.","21","10","250"
"235","|cffffd100Tip:|r You can add additional action bars to your game interface using the <ESC> Interface menu.","22","20","250"
"236","|cffffd100Tip:|r If you hold down <Shift> while right-clicking on a target to loot, you will automatically loot all items on the target.","23","1","60"
"237","|cffffd100Tip:|r If you enjoyed playing with someone, add them to your friends list!","27","20","250"
"240","|cffffd100Tip:|r If you never want to hear from another player again, you can /ignore them. You can always change your mind later.","159","0","0"
"241","|cffffd100Tip:|r You can target party members using the function keys. F1 targets you, F2 targets the second party member, and so on.","31","40","250"
"242","|cffffd100Tip:|r Being polite while in a group with others will get you invited back!","30","0","0"
"243","|cffffd100Tip:|r You can click on a faction in the reputation pane to get additional information and options about that faction.","32","0","0"
"244","|cffffd100Tip:|r A monster with a silver dragon around its portrait is a rare monster with better than average treasure.","33","0","0"
"245","|cffffd100Tip:|r Use the mouse wheel when viewing the map to zoom in for a closer view of a zone.","36","0","0"
"247","|cffffd100Tip:|r You can lock your action bars so you don't accidentally move spells. This is done using the Interface options menu.","39","0","0"
"248","|cffffd100Tip:|r You can cast a spell on yourself without deselecting your current target by holding down <Alt> while pressing your hotkey.","161","0","0"
"251","|cffffd100Tip:|r Completing quests and dungeons is the best way to gain levels.","45","1","20"
"254","|cffffd100Tip:|r You can hide your interface with <Alt>-Z and take screenshots with <Print Screen>.","44","0","0"
"256","|cffffd100Tip:|r Right-click on the main map to zoom out to the continent or world view. Left-click to zoom in.","40","1","20"
"258","|cffffd100Tip:|r If you <Shift>-click on a player name in the chat window it tells you additional information about them.","3","20","250"
"261","|cffffd100Tip:|r A blue question mark above a quest-giver means the quest is repeatable.","48","0","0"
"263","|cffffd100Tip:|r You can use the <Tab> key to select nearby enemies in front of you.","13","1","60"
"281","|cffffd100Tip:|r <Shift>-clicking on an item being sold by a vendor will let you select how many of that item you wish to purchase.","50","0","0"
"282","|cffffd100Tip:|r After learning a profession, you can access and make use of your new skill through the Professions tab of your spellbook.","10","1","250"
"321","|cffffd100Tip:|r If you are having trouble finding something in a capital city, try clicking on a guard for directions.","14","5","250"
"341","|cffffd100Tip:|r Remember to take all things in moderation (even World of Warcraft!)","143","0","0"
"381","|cffffd100Tip:|r You can <Shift>-click on an item stack to split it into smaller stacks.","54","0","0"
"382","|cffffd100Tip:|r Pressing both mouse buttons simultaneously is another way to make your character move forward.","55","0","0"
"383","|cffffd100Tip:|r When replying to a tell from a player (Default 'R'), the <Tab> key cycles through people you have recently replied to.","56","0","0"
"384","|cffffd100Tip:|r You can remove a friendly spell enhancement on yourself by right-clicking on the spell effect icon.","9","40","250"
"388","|cffffd100Tip:|r Clicking an item linked by another player in chat will tell you more about the item.","57","0","0"
