Id,Name,Description,DescriptionShort,Icon,Order
"1","Will of the Forsaken","Can remove fear, sleep, and charm.","Remove charm, fear, and sleep effects","136187","0"
"2","Cannibalize","May consume corpses to regain health and mana.","Consume corpses to regain health and mana","132278","1"
"3","Touch of the Grave","Can drain health from enemies.","Drain health from enemies","136157","2"
"4","Shadow Resistance","Resistant to Shadow damage.","Resistant to Shadow damage","136152","3"
"5","The Human Spirit","Increased Haste, Critical Strike, Mastery, and Versatility.","Increased Haste, Critical Strike, Mastery, and Versatility","132874","0"
"6","Diplomacy","Bonus to reputation gains.","Bonus to reputation gains","134328","1"
"7","Every Man for Himself","Can break out of stun effects.","Break out of stun effects","136129","2"
"8","Stoneform","May take on a stone form.","May take on a stone form","136225","0"
"9","Might of the Mountain","Increased effect from critical strikes.","Increased effect from critical strikes","133042","1"
"10","Frost Resistance","Resistant to Frost damage.","Resistant to Frost damage","135865","2"
"11","Explorer","Find additional Archaeology fragments and survey faster.","Find more Archaeology fragments and survey faster","237387","3"
"98","Ancient History","Increases Inscription skill.","Inscription skill increased","1723985","4"
"99","Magical Affinity","Increases magical damage.","Increased magical damage","1723986","2"
"100","Cantrips","Summon a flying book that acts as a mailbox.","Summon a flying book that acts as a mailbox","1723988","1"
"101","Entropic Embrace","Your abilities have a chance to empower you with the essence of the Void.","Become empowered by the Void","1723992","1"
"102","Ethereal Connection","Reduces the cost of Void Storage and Transmogrification.","Reduced cost for Void Storage and Transmogrification","1723993","3"
"103","Preternatural Calm","Your spell casts are not delayed by taking damage.","Spell casts aren't delayed by damage","1724001","2"
"104","Chill of Night","Resistant to Shadow damage.","Resistant to Shadow damage","1723989","4"
"105","Spatial Rift","Tear a rift in space and teleport to a destination.","Teleport through a rift in space","1724004","0"
"106","Arcane Resistance","Resistant to Arcane damage.","Resistant to Arcane damage","1723997","3"
"107","Arcane Pulse","Damage and snare nearby enemies.","Damage and snare nearby enemies","1851463","0"
"108","Bull Rush","Charge forward, knocking down your enemies.","Charge forward, knocking down enemies","1723987","0"
"109","Pride of Ironhorn","Increases mining skill and speed.","Mining skill and speed increased","1724002","4"
