Id,Name,CreatureType,Flags,AttackIconFileId,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeId,CreatureDisplayId0,CreatureDisplayId1,CreatureDisplayId2,CreatureDisplayId3,PresetSpellId0,PresetSpellId1,PresetSpellId2,PresetSpellId3,PresetSpellId4,PresetSpellId5,PresetSpellId6,PresetSpellId7
"1","Cat Form","1","248","132116","1","1000","0.4","0","892","0","0","0","0","0","0","0","0","0","0","0"
"2","Tree of Life Form","7","2257","0","0","0","0","0","37165","0","0","0","0","0","0","0","0","0","0","0"
"3","Travel Form","1","216","0","0","0","0","296","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Aquatic Form","1","216","0","0","0","0","0","2428","0","0","0","0","0","0","0","0","0","0","0"
"5","Bear Form","1","248","132143","3","2500","0.4","0","2281","0","0","0","0","0","0","0","0","0","0","0"
"6","Ambient","0","0","0","0","0","0","0","328","0","0","0","0","0","0","0","0","0","0","0"
"7","Ghoul","6","9689","0","0","0","0","0","25527","0","0","0","6603","47468","47481","47482","47480","0","47484","47496"
"8","Dire Bear Form","1","248","132143","3","2500","0.4","0","2281","0","0","0","0","0","0","0","0","0","0","0"
"9","Crane Stance","255","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Tharon'ja Skeleton","6","1034","0","0","0","0","0","9784","0","0","0","50799","49613","49609","49617","0","0","0","0"
"11","Darkmoon - Test of Strength","255","1226","0","0","0","0","0","0","0","0","0","62022","62023","62024","62025","0","0","0","0"
"12","BLB Player","255","0","0","0","0","0","0","0","0","0","0","44029","44752","44083","44010","44012","44817","0","0"
"13","Shadow Dance","255","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Creature - Bear","1","0","0","0","0","0","0","2281","0","0","0","0","0","0","0","0","0","0","0"
"15","Creature - Cat","1","0","0","0","0","0","0","892","0","0","0","0","0","0","0","0","0","0","0"
"16","Ghost Wolf","1","216","0","0","0","0","0","55287","0","0","0","0","0","0","0","0","0","0","0"
"17","Battle Stance","255","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Defensive Stance","255","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Berserker Stance","255","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Serpent Stance","255","7","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Zombie","6","5150","0","0","0","0","0","26942","0","0","0","57596","51230","56560","43949","56528","0","0","0"
"22","Metamorphosis","7","2252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Ox Stance","255","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Tiger Stance","255","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Undead","6","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Frenzy","1","216","0","0","0","0","0","17170","0","0","0","0","0","0","0","0","0","0","0"
"27","Flight Form, Epic","1","32776","0","0","0","0","246","21243","0","0","0","0","0","0","0","0","0","0","0"
"28","Shadowform","255","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
