Id,DisplayName,Field_9_0_1_33978_001
"1","Specify Haste","0"
"3","TEST ONLY","1"
"5","Specify Mastery","0"
"6","Specify Critical Strike","0"
"7","Specify Versatity","0"
"8","Increase Item Level","0"
"9","ModifiedCraftingCategory.DisplayName","1"
"11","Loosened Belt","0"
"12","Primary Stat","1"
"13","Thorns","1"
"14","Bonus Damage","1"
"15","Specify Suit","0"
"16","Test","1"
"17","Use","1"
"25","Miscellaneous","0"
"26","Bonus Armor","1"
"27","Vulnerability","1"
"28","Absorb Shield","1"
"35","Elethium Setting","0"
"36","Display text here.","1"
"37","Necrostatic Micro Capacitor","0"
"38","Reinforced Girdle","0"
"39","Craftman's Pouch","0"
"40","Hydrodynamic Accelerators","0"
"41","Luxurios Feather","0"
"42","Shadowy Rabbit's Foot","0"
"44","Alchemist's Pouch","0"
"18","Increase Item Level","0"
"29","Increase Item Level","0"
"30","Increase Item Level","0"
"31","Increase Item Level","0"
"32","Increase Item Level","0"
"33","Increase Item Level","0"
"45","Increase Item Level","0"
"46","Increase Item Level","0"
"47","Increase Item Level","0"
