Id,Signature,BackgroundTexture,SealTexture
"1","|cff042c54King|nVarian Wrynn|r","5861","5859"
"2","|cff480404Warchief|nVol'jin|r","5862","5860"
"3","","6059","0"
"5","","5862","5860"
"6","|cff042c54King|nAnduin Wrynn|r","5861","5859"
"7","|cff480404Warchief|nSylvanas Windrunner|r","5862","5860"
"8","","5861","0"
"10","","5862","0"
"11","|cff480404Nathanos Blightcaller|r","5862","5860"
"12","|cff042c54Genn Greymane|r","5861","5859"
"13","","5861","5859"
"14","","0","0"
"15","","11846","0"
"16","","11942","0"
"17","","12088","0"
"18","","12093","0"
"19","","12094","0"
"20","","12089","0"
"21","","12086","0"
"22","","12087","0"
"23","|cff480404Lor'themar Theron|r","5862","5860"
"24","|cff042c54Master Mathias Shaw|r","5861","5859"
"25","|cff480404Valeera Sanguinar|r","5862","5860"
"26","","12126","0"
