EffectArg0,Name,HordeName,EffectArg1,EffectArg2,EffectScalingPoints0,EffectScalingPoints1,EffectScalingPoints2,TransmogPlayerConditionId,TransmogCost,IconFileDataId,EffectPointsMin0,EffectPointsMin1,EffectPointsMin2,ItemVisual,Flags,RequiredSkillId,RequiredSkillRank,ItemLevel,Charges,Effect0,Effect1,Effect2,ScalingClass,ScalingClassRestricted,ConditionId,MinLevel,MaxLevel
"13","Sharpened (+$k1 Damage)","","0","0","0","1","0","0","0","2","50","0","0","0","0","0","3","0","0","0","28","0","33","0","0","0","0"
"14","Sharpened (+$k1 Damage)","","0","0","0","0.3637","0","0","0","8","50","0","0","0","0","0","4","0","0","0","28","0","33","0","0","0","0"
"15","Reinforced (+$k1 Armor)","","0","0","0","0.072","0","0","0","0","50","0","0","0","0","0","8","0","0","0","0","0","32","0","0","0","0"
"16","Reinforced (+$k1 Armor)","","0","0","0","0.072","0","0","0","2","50","0","0","0","0","0","16","0","0","0","0","0","32","0","0","0","0"
"17","Reinforced (+$k1 Armor)","","0","0","0","0.1","0","0","0","12","50","0","0","0","0","0","24","0","0","0","0","0","32","0","0","0","0"
"18","Reinforced (+$k1 Armor)","","0","0","0","0.13","0","0","0","18","50","0","0","0","0","0","32","0","0","0","0","0","32","0","0","0","0"
"19","Weighted (+$k1 Damage)","","0","0","0","0.6667","0","0","0","0","50","0","0","0","0","0","2","0","0","0","0","0","33","0","0","0","0"
"20","Weighted (+$k1 Damage)","","0","0","0","1","0","0","0","2","50","0","0","0","0","0","3","0","0","0","0","0","33","0","0","0","0"
"21","Weighted (+$k1 Damage)","","0","0","0","0.3637","0","0","0","8","50","0","0","0","0","0","4","0","0","0","0","0","33","0","0","0","0"
"24","+$k1 Mana","","0","0","0","0.1","0","0","0","0","50","0","0","0","0","0","5","0","0","0","0","0","32","0","0","0","0"
"25","Shadow Oil","","14122","0","0","0","0","0","0","15","50","0","0","0","0","0","15","0","0","0","1","0","0","0","0","0","0"
"26","Frost Oil","","96089","0","0","0","0","0","0","18","50","0","0","0","0","0","10","0","0","0","27","0","0","0","0","0","0"
"27","Sundered","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65526","0","0","0","0","0","0","0","0","0","0"
"30","Scope (+$k1 Damage)","","0","0","0","0.08","0","0","0","2","50","0","0","0","0","0","1","0","0","0","0","0","32","0","0","0","0"
"32","Scope (+$k1 Damage)","","0","0","0","0.06","0","0","0","5","50","0","0","0","0","0","2","0","0","0","0","0","32","0","0","0","0"
"33","Scope (+$k1 Damage)","","0","0","0","0.1","0","0","0","12","50","0","0","0","0","0","3","0","0","0","0","0","33","0","0","0","0"
