Id,Name,Unknown1
"1","Doug Test","3128"
"2","Doug Test 2","3116"
"3","Akunda the Akunda","3104"
"4","Akunda the All-Knowing","3092"
"5","Akunda the Anxious","3080"
"6","Akunda the Astute","3068"
"7","Akunda the Bemused","3056"
"8","Akunda the Callous","3044"
"9","Akunda the Clever","3032"
"10","Akunda the Condemned","3020"
"11","Akunda the Coy","3008"
"12","Akunda the Eccentric","2996"
"13","Akunda the Effusive","2984"
"14","Akunda the Enabler","2972"
"15","Akunda the Forgetful","2960"
"16","Akunda the Loyal","2948"
"17","Akunda the Oblivious","2936"
"18","Akunda the Original","2924"
"19","Akunda the Passive-Agressive","2912"
"20","Akunda the Regretful","2900"
"21","Akunda the Renowned","2888"
"22","Akunda the Reverent","2876"
"23","Akunda the Richmon","2864"
"24","Akunda the Unique","2852"
"25","Akunda the Unwavering","2840"
"26","Sated Snapdragon","2828"
"27","Droozen","2816"
"28","Ghaanam","2804"
"29","Thoodhon","2792"
"30","Greenom","2780"
"31","Pryyshin","2768"
"32","Flaadym","2756"
"33","Khaalum","2744"
"34","Maagrym","2732"
"35","Thogro the Devourer","2720"
"36","Khemkan the Pitiless","2708"
"37","Xzzikti the Deserter","2696"
"38","Congealed Anger","2684"
"39","Congealed Fear","2672"
"40","Congealed Loneliness","2660"
"41","Congealed Bitterness","2648"
"42","Congealed Pain","2636"
"43","Congealed Doubt","2624"
"44","Congealed Grief","2612"
"45","Congealed Loss","2600"
"46","Congealed Worry","2588"
"47","Congealed Sorrow","2576"
"48","Rising Hatred","2564"
"49","Rising Terror","2552"
"50","Rising Isolation","2540"
"51","Rising Despair","2528"
"52","Rising Agony","2516"
"53","Rising Torment","2504"
"54","Illusionary Stinger","2492"
"55","Illusionary Saberfang","2480"
"56","Illusionary Mauler","2468"
"57","Illusionary Behemoth","2456"
"58","Manifestation of Fear","2444"
"59","Pallaval the Biased","2432"
"60","Trikidi the Bloody","2420"
"61","Zee'Gee'Tee the Fanatic","2408"
"62","Lilizzinnk the Obscene","2396"
"63","Boppe the Shamed","2384"
"64","Vortophe the Unspeakable","2372"
"65","Jonapa the Opulent","2360"
"66","Maynard","2348"
"67","The Horned Hunter","2336"
"68","High Priestess Selenis","2324"
"69","Bitey McStabface","2312"
"70","Yu'gaz","2300"
"71","Reginald","2288"
"72","Spike","2276"
"73","The Muscle","2264"
"74","Zill'kee the World Reaper","2252"
"75","Moongo the Sun King","2240"
"76","Disciple of Courage","2228"
"77","Rathborne","2216"
"78","Thultain","2204"
"79","Mal'endra","2192"
"80","Fel'endae","2180"
"81","Terrorized Socialite","2168"
"82","Mirror Image","2156"
"83","Shrouded Arcanist","2144"
"84","Manifestation of Pride","2132"
"85","Manifestation of Arrogance","2120"
"86","Manifestation of Hubris","2108"
"87","Manifestation of Selfishness","2096"
"88","Manifestation of Narcissism","2084"
"89","Manifestation of Egomania","2072"
"90","Manifestation of Paranoia","2060"
"91","Tibo","2048"
"92","Kimos","2036"
"93","Ilapos","2024"
"94","Bumos","2012"
"95","Dintos","2000"
"96","Gramilos","1988"
"97","Isilios","1976"
"98","Abalus","1964"
"99","Ipadipos","1952"
"100","Pico","1940"
"101","Haka","1928"
"102","Dafi","1916"
"103","Thima","1904"
"104","Arathane","1892"
"105","Syla","1880"
"106","Farra","1868"
"107","Korinthe","1856"
"108","Asellia","1844"
"109","Minta","1832"
"110","Laratis","1820"
"111","Bola","1808"
"112","Apa","1796"
"113","Deka","1784"
"114","Koukis","1772"
"115","Akiris","1760"
"116","Ipa","1748"
"117","Toulis","1736"
"118","Zenza","1724"
"119","Chaermi","1712"
"120","Mupu","1700"
"121","Fallen Aspirant","1688"
"122","Audience Member","1676"
"123","Burden of Life","1664"
"124","Argent Crusader","1652"
"125","Thirsty Guest","1640"
"126","Hungry Guest","1628"
"127","Tirna Scithe Villager","1616"
"128","Infectious Zombie","1604"
"129","Fallen Aspirant Eolis","1592"
"130","Imprisoned Soulflayer","1580"
"131","Expelled Rage","1568"
"132","Expelled Fury","1556"
"133","Expelled Anger","1544"
"134","Expelled Hatred","1532"
"135","Expelled Wrath","1520"
"136","Expelled Enmity","1508"
"137","Expelled Malice","1496"
"138","Expelled Rancor","1484"
"139","Expelled Gluttony","1472"
"140","Expelled Hunger","1460"
"141","Expelled Indulgence","1448"
"142","Expelled Craving","1436"
"144","Passing Echo","1424"
"145","Fleeting Memory","1412"
"146","Wandering Reflection","1400"
"147","Fading Vestige","1388"
"148","Liriana","1376"
"149","Ordstrong","1364"
"150","Lorra of the Weavers","1352"
"151","Borial Iosa","1340"
"152","Raxxat","1328"
"153","Bravalat","1316"
"154","Ramorra","1304"
"155","Toloria of the Eager","1292"
"156","Majar'Ta","1280"
"157","Wisdom of the Roola","1268"
"158","Wrath of the Roola","1256"
"159","Penance of the Roola","1244"
"160","Virielle","1232"
"161","R'ty'ghn","1220"
"162","Loret Ty'mana","1208"
"163","Uima Uima","1196"
"164","Limao Yuna","1184"
"165","Sawo of the Ancients","1172"
"166","Quip the Swift","1160"
"167","Bassilion Quash","1148"
"168","Jassa Ruash","1136"
"169","Jasslina","1124"
"170","Jassona","1112"
"171","Brilla the Bountiful","1100"
"172","Gur of the Blade","1088"
"173","Spukit Sly","1076"
"174","Havan of the Tivan","1064"
"175","Galooft Eir","1052"
"176","Rashtar the Wise","1040"
"177","Roh Brightstar","1028"
"178","Rih Brightstar","1016"
"179","Mysterion of Love","1004"
"180","Polron The Great","992"
"181","Reska of the Meek","980"
"182","Jar Lom","968"
"183","Honored Harrish of Xel","956"
"184","Radsur of War","944"
