Id,Name,SpecSetId,InventoryTypeMask,SpellId,ItemBonusListId,PlayerConditionId,Field_9_0_1_34972_007,UnlockItemId
"2","Slick Ice","22","192","327508","6823","85782","63","183281"
"3","Cold Front","22","1114144","327284","6828","85779","60","183278"
"4","Freezing Winds","22","1026","327364","6829","85780","61","183279"
"5","Glacial Fragments","22","65664","327492","6830","85781","62","183280"
"6","Expanded Potential","162","320","327489","6831","85768","49","183267"
"7","Disciplinary Command","162","2560","327365","6832","85132","48","183266"
"8","Grisly Icicle","162","10","333393","6937","85769","50","183268"
"9","Temporal Warp","162","1050656","327351","6834","85774","55","183273"
"10","Fevered Incantation","23","66","333030","6931","85775","56","183274"
"11","Firestorm","23","2056","333097","6932","85776","58","183275"
"12","Molten Skyfall","23","516","333167","6933","85777","57","183276"
"13","Sun King's Blessing","23","1536","333313","6934","85778","59","183277"
"14","Arcane Infinity","21","1032","332769","6926","85772","53","183271"
"15","Arcane Bombardment","21","65792","332892","6927","85771","52","183270"
"16","Siphon Storm","21","384","332928","6928","85773","54","183272"
"17","Triune Ward","162","1048612","333373","6936","85770","51","183269"
"18","Collective Anguish","8","66048","337504","7041","85718","18","183213"
"19","Fel Bombardment","8","10","337775","7052","85128","19","183210"
"20","Darkglare Medallion","8","68","337534","7043","85717","17","183212"
"21","Darkest Hour","8","160","337539","7044","85716","16","183211"
"22","Darker Nature","9","264","346264","7218","85722","21","183217"
"23","Chaos Theory","9","1088","337551","7050","85719","20","183214"
"24","Erratic Fel Core","9","2304","337685","7051","85720","22","183215"
"25","Burning Wound","9","65568","346279","7219","85721","23","183216"
"26","Spirit of the Darkness Flame","10","6","337541","7045","85726","25","183221"
"27","Razelikh's Defilement","10","640","337544","7046","85725","27","183220"
"28","Fel Flame Fortification","10","2112","337545","7047","85723","24","183218"
"29","Fiery Soul","10","1536","337547","7048","85724","26","183219"
"30","Superstrain","43","36","334974","6953","85703","3","182627"
"31","Phearomones","43","10","335177","6954","85702","2","182626"
"32","Death's Embrace","43","2560","334728","6947","85127","0","182617"
"33","Grip of the Everlasting","43","320","334724","6948","85701","1","182625"
"34","Bryndaor's Might","5","65792","334501","6940","85704","4","182628"
"35","Crimson Rune Weapon","5","1032","334525","6941","85705","5","182629"
"36","Gorefiend's Domination","5","384","334580","6943","85706","6","182630"
"37","Vampiric Aura","5","2080","334547","6942","85707","7","182631"
"38","Koltira's Favor","6","2056","334583","6944","85711","10","182635"
"39","Biting Cold","6","66","334678","6945","85709","8","182633"
"40","Absolute Zero","6","516","334692","6946","85708","9","182632"
"41","Rage of the Frozen Champion","6","1536","341724","7160","85710","11","182634"
"42","Reanimated Shambler","7","192","334836","6949","85715","15","182640"
"43","Frenzied Monstrosity","7","65664","334888","6950","85714","14","182638"
"44","Death's Certainty","7","1026","334898","6951","85713","13","182637"
"45","Deadliest Coil","7","65568","334949","6952","85712","12","182636"
"46","Draught of Deep Focus","48","1048612","338658","7086","85728","31","183224"
"47","Circle of Life and Death","48","2050","338657","7085","85727","30","183223"
"48","Lycara's Fleeting Glimpse","48","320","340059","7110","85729","29","183225"
"49","Oath of the Elder Druid","48","520","338608","7084","85129","28","183222"
"50","Oneth's Clear Vision","15","65792","338661","7087","85731","32","183227"
"51","Primordial Arcanic Pulsar","15","1032","338668","7088","85732","33","183228"
"52","Balance of All Things","15","384","339942","7107","85730","34","183226"
"53","Timeworn Dreambinder","15","1050656","339949","7108","85733","35","183229"
"54","Frenzyband","16","576","340053","7109","85737","39","183233"
"55","Apex Predator's Craving","16","72","339139","7091","85734","38","183230"
"56","Eye of Fearful Symmetry","16","1026","339141","7090","85736","37","183232"
"57","Cat-Eye Curio","16","2052","339144","7089","85735","36","183231"
"58","Luffa-Infused Embrace","17","1114144","339060","7092","85738","40","183234"
"59","The Natural Order's Will","17","1026","339063","7093","85739","41","183235"
"60","Ursoc's Fury Remembered","17","65664","339056","7094","85740","42","183236"
"61","Legacy of the Sleeper","17","320","339062","7095","85741","43","183237"
"62","Memory of the Mother Tree","18","640","339064","7096","85744","44","183240"
"63","The Dark Titan's Lesson","18","65540","338831","7097","85745","45","183241"
"64","Verdant Infusion","18","1032","338829","7098","85742","46","183238"
"65","Vision of Unending Growth","18","258","338832","7099","85743","47","183239"
"66","Call of the Wild","163","2560","336742","7003","85131","147","183250"
"67","Nessingwary's Trapping Apparatus","163","320","336743","7004","85754","146","183252"
"68","Soulforge Embers","163","10","336745","7005","85755","145","183253"
"69","Craven Strategem","163","36","336747","7006","85753","144","183251"
"70","Dire Command","44","2080","336819","7007","85756","151","183254"
"71","Flamewaker's Cobra Sting","44","384","336822","7008","85757","150","183255"
"72","Qa'pla, Eredun War Order","44","1032","336830","7009","85758","148","183256"
"73","Rylakstalker's Piercing Fangs","44","65792","336844","7010","85759","149","183257"
"74","Eagletalon's True Focus","14","66","336849","7011","85760","155","183258"
"75","Surging Shots","14","516","336867","7012","85763","153","183261"
"76","Serpentstalker's Trickery","14","2056","336870","7013","85762","152","183260"
"77","Secrets of the Unblinking Vigil","14","1536","336878","7014","85761","154","183259"
"78","Wildfire Cluster","20","192","336895","7015","85767","159","183265"
