Id,Name,Description,ToastDescription,CovenantId,Level,Icon,Flags,UiOrder,ItemId,SpellId,MountId,TransmogId,TransmogSetId,CharTitlesId,GarrFollowerId,TransmogIllusionId,QuestId,PlayerConditionId
"16","Soulbind Upgrade: Niya","You may access Niya's second row of Soulbind traits.","","3","2","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"18","","You may speak with Watcher Vesperbloom to recruit this adventurer.","","3","3","0","0","0","0","0","0","0","0","0","1283","0","0","0"
"19","Soulbind Upgrade: Niya","You may access Niya's third row of Soulbind traits.","","3","4","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Soulbind Upgrade: Dreamweaver","You may access Dreamweaver's third row of Soulbind traits.","","3","5","3684882","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Soulbind Upgrade: Niya","You may access Niya's fourth row of Soulbind traits.","","3","7","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"23","","You may speak with Watcher Vesperbloom to recruit this adventurer.","","3","8","0","0","0","0","0","0","0","0","0","1285","0","0","0"
"25","Soulbind Upgrade: Dreamweaver","You may access Dreamweaver's fourth row of Soulbind traits.","","3","10","3684882","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Sanctum Upgrade","You may upgrade your Sanctum features to Tier 2.","","3","11","3641394","1","0","0","0","0","0","0","0","0","0","0","0"
"28","Soulbind Upgrade: Dreamweaver","You may access Dreamweaver's fifth row of Soulbind traits.","","3","13","3684882","0","0","0","0","0","0","0","0","0","0","0","0"
"29","","Gain a recovered memory, which can be returned to the Runecarver.","","3","14","0","0","0","183249","0","0","0","0","0","0","0","62274","0"
"31","Soulbind Upgrade: Niya","You may access Niya's fifth row of Soulbind traits.","","3","15","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"32","","You may speak with Watcher Vesperbloom to recruit this adventurer.","","3","17","0","0","0","0","0","0","0","0","0","1284","0","0","0"
"33","World Quest Rewards","The item level of your World Quest rewards is increased.","","3","18","236668","1","0","0","0","0","0","0","0","0","0","0","0"
"34","Sanctum Upgrade","You may upgrade your Sanctum features to Tier 3.","","3","19","3641394","1","0","0","0","0","0","0","0","0","0","0","0"
"35","","","","3","6","0","0","0","0","0","0","113562","0","0","0","0","0","0"
"36","","","","3","20","0","3","1","0","0","0","0","0","0","0","71","62397","0"
"37","","","","3","20","0","3","0","180290","0","0","0","0","0","0","0","62413","0"
"39","Night Fae Campaign","You may begin the final chapter of the Night Fae Campaign. Completing the Campaign will allow you to soulbind with Hunt-Captain Korayn.","","3","22","3641394","1","0","0","0","0","0","0","0","0","0","0","0"
"40","","[PH] Gain Apples as a companion pet.","","3","23","0","0","0","182663","0","0","0","0","0","0","0","62416","0"
"41","Soulbind Upgrade: Niya","You may access Niya's sixth row of Soulbind traits.","","3","25","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"42","","You may speak with Watcher Vesperbloom to recruit this adventurer.","","3","26","0","0","0","0","0","0","0","0","0","1286","0","0","0"
"43","","","","3","12","0","0","0","0","0","0","0","2086","0","0","0","0","0"
"44","","","","3","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","","","","3","34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Soulbind Upgrade: Korayn","You may access Koryan's sixth row of Soulbind traits.","","3","27","3684885","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Soulbind Upgrade: Dreamweaver","You may access Dreamweaver's sixth row of Soulbind traits.","","3","28","3684882","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Sanctum Upgrade","You may upgrade the Queen's Conservatory to Tier 4.","","3","29","3641394","1","0","0","0","0","0","0","0","0","0","0","0"
"50","World Quest Rewards","The item level of your World Quest rewards is increased.","","3","30","236668","1","0","0","0","0","0","0","0","0","0","0","0"
"51","Soulbind Upgrade: Niya","You may access Niya's seventh row of Soulbind traits.","","3","31","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Soulbind Upgrade: Dreamweaver","You may access Dreamweaver's seventh row of Soulbind traits.","","3","32","3684882","0","0","0","0","0","0","0","0","0","0","0","0"
"53","","You may speak with Watcher Vesperbloom to recruit her.","","3","33","0","0","0","0","0","0","0","0","0","1287","0","0","0"
"55","Soulbind Upgrade: Korayn","You may access Koryan's seventh row of Soulbind traits.","","3","35","3684885","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Sanctum Upgrade","You may upgrade the Queen's Conservatory to Tier 5.","","3","37","3641394","1","0","0","0","0","0","0","0","0","0","0","0"
"59","","You may speak with Watcher Vesperbloom to recruit this adventurer.","","3","38","0","0","0","0","0","0","0","0","0","1288","0","0","0"
"60","Soulbind Upgrades","You may access the final row of traits for all of your Soulbinds.","","3","39","3641394","0","0","0","0","0","0","0","0","0","0","0","0"
"62","","","","3","40","0","3","1","0","0","1357","0","0","0","0","0","0","0"
"63","","","","3","40","3641394","3","0","0","0","0","0","0","681","0","0","0","0"
"64","","","","3","36","0","0","0","0","0","0","113566","0","0","0","0","62412","0"
"65","Soulbind Upgrade: Pelagos","You may access Pelagos's second row of Soulbind traits.","","1","2","3684898","0","0","0","0","0","0","0","0","0","0","0","0"
"67","","You may speak with Koros to recruit this adventurer.","","1","3","0","0","0","0","0","0","0","0","0","1270","0","0","85540"
"68","","You may speak with Koros to recruit this adventurer.","","1","3","0","0","0","0","0","0","0","0","0","1271","0","0","85541"
"69","Soulbind Upgrade: Pelagos","You may access Pelagos's third row of Soulbind traits.","","1","4","3684898","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Soulbind Upgrade: Kleia","You may access Kleia's third row of Soulbind traits.","","1","5","3684897","0","0","0","0","0","0","0","0","0","0","0","0"
"75","World Quest Rewards","The item level of your World Quest rewards is increased.","","1","18","236668","1","0","0","0","0","0","0","0","0","0","0","0"
"78","World Quest Rewards","The item level of your World Quest rewards is increased.","","1","30","236668","1","0","0","0","0","0","0","0","0","0","0","0"
"81","Soulbind Upgrade: Pelagos","You may access Pelagos's fourth row of Soulbind traits.","","1","7","3684898","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Soulbind Upgrade: Pelagos","You may access Pelagos's fifth row of Soulbind traits.","","1","15","3684898","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Soulbind Upgrade: Pelagos","You may access Pelagos's sixth row of Soulbind traits.","","1","25","3684898","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Soulbind Upgrade: Pelagos","You may access Pelagos's seventh row of Soulbind traits.","","1","31","3684898","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Soulbind Upgrade: Kleia","You may access Kleia's fourth row of Soulbind traits.","","1","10","3684897","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Soulbind Upgrade: Kleia","You may access Kleia's fifth row of Soulbind traits.","","1","13","3684897","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Soulbind Upgrade: Kleia","You may access Kleia's sixth row of Soulbind traits.","","1","28","3684897","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Soulbind Upgrade: Kleia","You may access Kleia's seventh row of Soulbind traits.","","1","32","3684897","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Soulbind Upgrade: Mikanikos","You may access Mikanikos's sixth row of Soulbind traits.","","1","27","3684894","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Soulbind Upgrade: Mikanikos","You may access Mikanikos's seventh row of Soulbind traits.","","1","35","3684894","0","0","0","0","0","0","0","0","0","0","0","0"
"91","","You may speak with Koros to recruit this adventurer.","","1","8","0","0","0","0","0","0","0","0","0","1272","0","0","0"
"92","","You may speak with Koros to recruit this adventurer.","","1","17","0","0","0","0","0","0","0","0","0","1273","0","0","0"
"93","","You may speak with Koros to recruit this adventurer.","","1","26","0","0","0","0","0","0","0","0","0","1276","0","0","0"
"94","","You may speak with Koros to recruit this adventurer.","","1","33","0","0","0","0","0","0","0","0","0","1275","0","0","0"
"95","","You may speak with Koros to recruit this adventurer.","","1","38","0","0","0","0","0","0","0","0","0","1274","0","0","0"
