Id,FeatureDescription,ParentId,FeatureIcon
"1","Master the new Demon Hunter Class","2","1260827"
"2","Battle to level 110 on the Broken Isles","2","1064187"
"4","Embark on thousands of additional quests!","5","236669"
"5","Battle to Level 100 on the world of Draenor","5","1033987"
"6","Build and upgrade your garrison","5","1033989"
"7","Embark on thousands of additional quests!","4","236669"
"8","Battle to Level 110","4","1408997"
"9","Unlock six expansions including Legion","4","1260827"
"10","Recruit Allied Races","6","413576"
"11","Battle to level 120 on Kul Tiras and Zandalar","6","1064187"
"12","Boost a character to level 110","6","1033988"
