Id,Name,Description,DisplayIndex,UiCameraId,AltHandUICameraId,ForgeAttachmentOverride,Flags,ArtifactId
"1","Crystal Form","","1","72","0","-1","0","1"
"2","Spiky Form","","2","0","0","-1","0","1"
"3","Ashbringer","","1","62","0","-1","0","2"
"4","Greatsword of the Righteous","","2","65","0","-1","0","2"
"5","Burning Reprisal","","3","63","0","-1","0","2"
"6","Fallen Hope","","4","66","0","-1","0","2"
"7","Shattered Reckoning","","5","64","0","-1","0","2"
"8","Twinblades of the Deceiver","","1","72","161","-1","0","3"
"9","Hand of the Illidari","","2","76","928","-1","0","3"
"10","Darkenblade","","3","75","930","-1","0","3"
"11","Flamereaper","","5","77","931","-1","0","3"
"12","Demon's Touch","","4","73","929","-1","0","3"
"13","G'Hanir, the Mother Tree","","1","61","0","-1","0","13"
"14","Eldertree","","2","68","0","-1","0","13"
"15","Crystalline Awakening","","3","60","0","-1","0","13"
"16","Deadwood Keeper","","4","69","0","-1","0","13"
"17","Warden's Crown","","6","70","0","-1","1","13"
"20","Scale of the Earth-Warder","","1","183","71","-1","0","11"
"21","Fangs of the Devourer","","1","168","169","-1","0","17"
"22","Demon's Embrace","","3","172","173","-1","0","17"
"23","Shadowblade","","2","170","171","-1","0","17"
"24","Bloodfeaster","","4","174","175","-1","0","17"
"25","Iceshear","","5","176","177","-1","0","17"
"32","Maw of the Damned","","1","163","0","-1","0","15"
"33","Apocalypse","","1","162","0","-1","0","16"
"39","Blades of the Fallen Prince","","1","166","167","-1","0","12"
"40","The Fist of Ra-den","","1","191","192","-1","0","40"
"41","Thas'dorah, Legacy of the Windrunners","","1","719","0","-1","0","55"
"42","The Kingslayers","","1","391","392","-1","0","43"
"43","Sharas'dal, Scepter of Tides","","1","195","958","-1","0","42"
"44","Doomhammer","","1","189","0","-1","0","41"
"45","T'uure, Beacon of the Naaru","","1","194","0","-1","0","45"
"46","Blade of the Black Empire","","1","570","952","-1","0","47"
"47","The Silver Hand","","1","198","199","-1","0","48"
"48","Claws of Ursoc","","1","188","638","-1","0","57"
"49","Scepter of Sargeras","","1","357","0","-1","0","38"
"50","Sheilun, Staff of the Mists","","1","196","0","-1","0","51"
"51","Felo'melorn","","1","190","935","-1","0","54"
"52","Talonclaw","","1","197","0","-1","0","34"
"53","Aluneth","","1","178","0","-1","0","4"
